INT	STRING	STRING
23	shangjin_01	Chào, #{_PLAYERNAME}!{BR}Hoan nghênh các hÕ ðªn thª gi¾i "Thiên Long Bát Bµ 2", ta có th¬ dÕy các hÕ vài kiªn thÑc mÕo hi¬m và sinh hoÕt c½ bän, hy v÷ng nhæng kiªn thÑc này có ích cho các hÕ.#r
24	zhuxian_0101	Ta nghî các hÕ ðã nh§n ðßþc danh hi®u cüa mµt hi®p khách r°i, có ði«u khoäng cách so v¾i mµt ðÕi hi®p th§t sñ vçn còn r¤t xa.#rHi®n gi¶ trß¾c m¡t các hÕ ðang có 1 c½ hµi r¤t t¯t, hi®n gi¶ Tr¤n Nam Vß½ng cüa ÐÕi Lý qu¯c là Ðoàn Chính Thu¥n ðang có r¤t nhi«u công vi®c c¥n giäi quyªt, ông ta ðã phái r¤t nhi«u ngß¶i ðªn ch² cüa ta ð¬, tìm kiªm nhæng tân thü có nång lñc và có th¬ tin tß·ng ðßþc. Hi®n gi¶ ta phát hi®n các hÕ chính là ngß¶i mà ông ta ðang tìm kiªm.#rHãy c¯ g¡ng làm cho th§t t¯t, nªu làm th§t t¯t, ông ta s¨ không bÕc ðãi các hÕ ðâu.#r
25	zhuxian_0102	Tìm #RÐoàn Chính Thu¥n#W và nói chuy®n v¾i ông ta#r
26	zhuxian_0103	Các hÕ là #{_PLAYERNAME} phäi không! Ta r¤t vui khi các hÕ ðªn ðây.#r#rCh² này cüa ta có r¤t nhi«u vi®c r¡c r¯i, r¤t c¥n ngß¶i ð¬ giúp ðÞ. Các hÕ nhìn dáng vë cüa ta ch¡c ch¡n cûng ðã hi¬u làm mµt thân vß½ng chÆng phäi là vi®c d­ dàng gì.#r#rHy v÷ng chúng ta s¨ hþp tác vui vë
27	huangmeiseng_01	Ta là Hoàng My Tång#r
28	duanzhengming_01	Ta là Ðoàn Chính Minh#r
29	equip_info_lv01	Yêu c¥u c¤p: 
30	equip_info_lv02	Không hÕn chª ðÆng c¤p
31	equip_info_dur01	MÑc nhçn nÕi
32	equip_info_dur02	Tuy®t ð¯i không b¸ mài mòn
33	equip_info_fix01	S¯ l¥n sØa chæa: 
34	equip_info_band01	Thu nh£t v§t ph¦m
35	equip_info_band02	Lña ch÷n trang b¸
36	equip_info_band03	Ðã ch÷n chª ðµ... ch¡c ch¡n không thay ð±i
37	equip_info_maker	Ngß¶i sän xu¤t
38	equip_base_attack_p	NgoÕi công cån bän
39	equip_base_attack_m	Nµi công cån bän
40	equip_base_defence_p	NgoÕi thü cån bän
41	equip_base_defence_m	Nµi thü c½ bän
42	equip_base_miss	Né tránh c½ bän
43	equip_attr_maxhp	Máu lên gi¾i hÕn trên
44	equip_attr_restorehp	T¯c ðµ h°i phøc máu
45	equip_attr_maxmp	Khí lên gi¾i hÕn trên
46	equip_attr_restoremp	T¯c ðµ h°i phøc khí
47	equip_attr_attack_cold	Bång công
48	equip_attr_resist_cold	Có tính kháng bång
49	equip_attr_time_chihuan	Th¶i gian làm ch§m kéo dài
50	equip_attr_attack_fire	Höa công
51	equip_attr_resist_fire	Có tính kháng höa
52	equip_attr_time_ruohua	Th¶i gian làm yªu kéo dài: 
53	equip_attr_attack_light	Huy«n công
54	equip_attr_resist_light	Có tính kháng huy«n
55	equip_attr_time_xuanyun	Th¶i gian làm hoa m¡t kéo dài: 
56	equip_attr_attack_poison	Ðµc công
57	equip_attr_resist_poison	Có tính kháng ðµc
58	equip_attr_time_zhongdu	Th¶i gian trúng ðµc kéo dài: 
59	equip_attr_resist_all	T¤t cä tính kháng
60	equip_attr_attack_p	NgoÕi công
61	equip_attr_attack_ep	Vû khí ngoÕi công cån bän
62	equip_attr_attack_m	Nµi công
63	equip_attr_attack_em	Vû khí nµi công cån bän
64	equip_attr_defence_p	NgoÕi thü
65	equip_attr_defence_ep	Døng cø phòng b¸ ngoÕi thü cån bän
66	equip_attr_defence_m	Nµi thü
67	equip_attr_defence_em	Døng cø phòng b¸ nµi thü cån bän
68	equip_attr_immunity_p	Vô hi®u tác døng thß½ng t±n ngoÕi công
69	equip_attr_immunity_m	Vô hi®u tác døng thß½ng t±n nµi công
70	equip_attr_attackspeed	T¯c ðµ t¤n công
71	equip_attr_cooldowm	Th¶i gian ðóng bång
72	equip_attr_movespeed	T¯c ðµ di chuy¬n
73	equip_attr_hit	Chính xác
74	equip_attr_miss	Né tránh
75	equip_attr_2attack	Hµi công
76	equip_attr_nodefence	M¤y l¥n coi thß¶ng phòng ngñ cüa ð¯i phß½ng
77	equip_attr_damageret	Thß½ng t±n phän xÕ
78	equip_attr_damage2mp	Khí vô hi®u tác døng thß½ng t±n
79	equip_attr_str	Cß¶ng lñc
80	equip_attr_spr	Nµi lñc
81	equip_attr_con	Th¬ lñc
82	equip_attr_int	Trí lñc
83	equip_attr_dex	Thân pháp
84	equip_attr_all	T¤t cä thuµc tính
85	equip_attr_hp_thieve	L¤y trµm máu
86	equip_attr_mop_thieve	L¤y trµm khí
87	equip_yuliu	Hµi thü
88	M_700_TEXT1	L¨ nào các hÕ vçn còn sØ døng m¤y thÑ cû xßa, lÕc h§u nhß Tàng Bäo Ð°? Nªu ta là các hÕ, ta s¨ ngay l§p tÑc xé nhö bäo ð° ¤y ra thành t×ng mänh, sau ðó vo tròn nó lÕi, quång vào ð¥u nhæng kë phát bäo ð° gÕt ngß¶i ðó?#rThª nào, l¨ nào các hÕ cß¶i ta chßa ðào ðßþc bäo v§t? Ha ha ha...hô hô hô...#rXem xem ðây là cái gì, ðây là phát minh tiên tiªn nh¤t cüa ÐÕi T¯ng--Døng cø thåm dò bäo tàng. Các hÕ cho r¢ng ta l×a các hÕ ß? Có dám nh§n nhi®m vø cüa ta không, nªu dám ta s¨ ðßa cho các hÕ døng cø thåm dò này.
89	team_create_ok	Các hÕ ðã l§p nhóm thành công.
90	team_invite_send	Các hÕ ðã#r#{_INFOUSR%s}#W gØi l¶i m¶i, xin ch¶ h°i âm..
91	team_invite_fail_follow_err	Nhóm cüa các hÕ ðang trong trÕng thái theo chân nhóm trß·ng. Không th¬ ði xa m¶i ngß¶i khác.
92	team_invite_fail_already_team	Ð¯i phß½ng ðã · trong nhóm khác, ð« ngh¸ m¶i ngß¶i khác.
93	team_invite_refuse	Ð¯i phß½ng t× ch¯i l¶i m¶i cüa các hÕ.
94	team_join_send	Các hÕ ðã gØi l¶i m¶i lên nhóm trß·ng, xin ch¶ h°i âm
95	team_join_leader_refuse	Th§t ðáng tiªc, nhóm trß·ng ðã khß¾c t× l¶i m¶i cüa các hÕ
96	team_join_refuse	Ð¯i phß½ng t× ch¯i l¶i m¶i cüa các hÕ.
97	team_join_follow_fail	Nhóm các hÕ ðång ký ðang trong trÕng thái ði theo nhóm trß·ng. L¶i thïnh c¥u th¤t bÕi
98	team_leave_other	#Y#{_INFOUSR%s}#W ðã bö nhóm
99	team_leave_myself	Các hÕ ðã bö nhóm
100	team_join_other	#Y#{_INFOUSR%s}#W ðã gia nh§p nhóm
101	team_join_to_other	Các hÕ ðã #Y#{_INFOUSR%s}#W gia nh§p nhóm
102	team_join_member_full	Nhóm cüa ð¯i phß½ng ðã ð¥y, xin gia nh§p nhóm khác.
103	team_leave_force	Các hÕ b¸ m¶i ra khöi nhóm.
104	team_leave_force1	#Y#{_INFOUSR%s}#W b¸ m¶i ra khöi nhóm.
105	team_dismiss_myself	Ðµi ngû cüa b¢ng hæu ðã giäi tán
106	team_leader_change_other	#Y#{_INFOUSR%s}#W nh§m chÑc Trß·ng nhóm.
107	team_leader_change_myself	Các hÕ yêu c¥u giæ chÑc Trß·ng nhóm.
108	team_follow_send	Các hÕ ðã gØi ði yêu c¥u ðßþc ði theo. Xin ch¶ h°i âm..
109	team_follow_other1	#Y#{_INFOUSR%s}#W b¡t ð¥u theo nhóm.
110	team_follow_dismiss	Hi®n gi¶ ðã bö trÕng thái ði theo nhóm.
111	team_leave_leader_change	#Y#{_INFOUSR%s} #Wr¶i khöi nhóm, #Y#{_INFOUSR%s} #Wtr· thành nhóm trß·ng cüa nhóm.
112	team_leave_leader_change1	#{_INFOUSR%s} #Wr¶i khöi nhóm, các hÕ ðã tr· thành nhóm trß·ng cüa nhóm r°i
113	battle_get_myself	Các hÕ ðã nh§n ðßþc #H%s#W.
114	battle_get_other	#Y#{_INFOUSR%s}#W ðã giành ðßþc #B%s#W
115	battle_get_exp	Các hÕ ðã ðßþc thß·ng #cC8B88E%d#W ði¬m kinh nghi®m
116	battle_get_money	Các hÕ ðã ðßþc thß·ng Ngân lßþng g°m #cFF8000%d#W vàng #cFF8000%d#W bÕc và #cFF8000%d#W ð°ng
117	team_follow_other2	Bây gi¶ các hÕ b¡t ð¥u ði theo #Y#{_INFOUSR%s} #W
118	stall_begin	Các hÕ b¡t ð¥u bày hàng
119	stall_close	Các hÕ thu d÷n qu¥y hàng
120	stall_stock_up	Cho hàng lên qu¥y
121	stall_stock_down	D÷n hàng xu¯ng qu¥y
122	stall_sold	Các hÕ ðã bán #B%s #W*#R%d#W thu ðßþc #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
123	stall_buy	Các hÕ ðã mua #B%s #W*#R%d#W tiêu t¯n hªt #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
124	stall_drop	Các hÕ ðã bö ði #B%s #W*#R%d #W
125	stall_package_full	Tay näi cüa các hÕ ðã ð¥y, không th¬ chÑa thêm v§t ph¦m
126	stall_no_money	Ngân lßþng cüa các hÕ không ðü mua v§t ph¦m này
127	friend_add_ok	Các hÕ s¨ b± sung thêm #{_INFOUSR%s} làm bÕn hæu
128	friend_add_temp	Các hÕ s¨ b± sung thêm #{_INFOUSR%s} làm bÕn hæu tÕm th¶i
129	friend_add_state_err	#Y#{_INFOUSR%s}#W hi®n là trÕng thái không ðßþc b± sung thêm bÕn hæu
130	friend_add_other	Xin chú ý, #{_INFOUSR%s} ðã b± sung các hÕ thành bÕn hæu
131	friend_add_temp_other	#{_INFOUSR%s} ðã b± sung các hÕ thành bÕn hæu tÕm th¶i
132	exchange_send	Các hÕ ðã #{_INFOUSR%s} gØi yêu c¥u giao d¸ch, xin ch¶ ðþi h°i âm..
133	exchange_start	Các hÕ b¡t ð¥u giao d¸ch.#rÐ¯i tßþng giao d¸ch là #Y#{_INFOUSR%s} #W
134	exchange_other_nothing	Ð¯i phß½ng cûng không cung c¤p thÑ gì
135	exchange_myself_nothing	Các hÕ không cung c¤p thÑ gì
136	exchange_other_supply	Ð¯i phß½ng ðã cung c¤p #B%s #W*#r%d #W
137	exchange_myself_supply	Các hÕ ðã cung c¤p #B%s #W*#r%d #W
138	exchange_other_money	Ð¯i phß½ng ðã cung c¤p #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
139	exchange_myself_money	Các hÕ ðã cung c¤p #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
140	exchange_done	Giao d¸ch thành công!
141	exchange_result_nothing	Các hÕ không m¤t gì, cûng không ðÕt ðßþc gì!
142	exchange_result_get_supply	Các hÕ ðÕt ðßþc #B%s #W*#R%d #W
143	exchange_result_get_money	Các hÕ ðÕt ðßþc #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
144	exchange_result_pay_supply	Các hÕ phäi bö ra #B%s #W*#R%d #W
145	exchange_result_pay_money	Các hÕ phäi tiêu t¯n #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
146	repair_all_ok	Các hÕ ðã sØa chæa v§t ph¦m thành công
147	repair_all_pay_money	T±ng cµng tiêu t¯n #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
148	repair_not	V§t ph¦m này không c¥n phäi sØa
149	repair_no_money	Ngân lßþng trên ngß¶i các hÕ không ðü sØa v§t ph¦m này
150	repair_item_not	V§t ph¦m này không th¬ sØa ðßþc næa
151	repair_ok	Các hÕ ðã sØa thành công
152	repair_item	Các hÕ ðã sØa #c00CCFF%s #W
153	cure_npc	Các hÕ ðã ðßþc chæa tr¸
154	menpai_join_ok	Các hÕ ðã bái nh§p sß môn, t× nay các hÕ là ð® tØ cüa #G%s #W
155	xinfa_up	Tâm pháp cüa các hÕ do #B%d #Wthång c¤p lên #B%d #W
156	xinfa_exp_pay	Ðã tiêu t¯n #cC8B88E%d #Wkinh nghi®m
157	xinfa_money_pay	Ðã hao t±n ngân lßþng là: #cFF8000%d #Wvàng #cFF8000%d #WbÕc #cFF8000%d #Wð°ng
158	level_up	ÐÆng c¤p cüa các hÕ ðã tång
159	level_up_detail	ÐÆng c¤p cüa các hÕ t× #cFF8000%d #Wðã tång t¾i c¤p #cFF8000%d #W
160	skill_levle_up	Các hÕ có #c00CCFF%s #WKÛ nång ðã ðÕt t¾i c¤p #c00CCFF%d #W
161	no_money	Các hÕ không ðü ngân lßþng
162	no_exp	Các hÕ không ðü kinh nghi®m
163	no_prof	Các hÕ không ðü ðµ thành thÕo
164	ride_horse	CßÞi HÕc bay Vân Ðàm
165	ride_tiger	CßÞi H± tr¤n Kim Tinh
166	stall_sold_failure	Không th¬ bán v§t ph¦m này
167	ability_create_item	Các hÕ ðã làm ra 1 cái #H%s#W.
168	ability_create_failed	Các hÕ chßa làm ðßþc gì!
169	ability_compound_failed	Hþp thành th¤t bÕi
170	battle_nomore_exp	Kinh nghi®m ðã vßþt quá gi¾i hÕn
171	lv_maxmoney_warn	Ti«n cüa bÕn ðã vßþt quá gi¾i hÕn, s¯ ti«n gi¾i hÕn s¨ b¸ tr× m¤t khi bÕn d¸ch chuy¬n sang bän ð° khác ho£c trong l¥n ðång nh§p sau, mong bÕn lßu ý.
172	produce_change_scene_title	TianLongBaBu %s (GameServer:%s)
173	produce_change_scene_Info_Name_Not_Null	Không th¬ ð¬ tr¯ng tên!
174	produce_char_sel_Info_Please_Sel_Role	Hãy ch÷n mµt nhân v§t!
175	produce_char_sel_Info_Readying_To_Enter_Game	Chu¦n b¸ vào trò ch½i..
176	produce_char_sel_Info_Deling_Role	Ðang xóa nhân v§t..
177	produce_login_Info_Connecting_Server	    Ðang kªt n¯i ðªn máy chü...
178	produce_login_Info_Input_Name_err	Nh§p tên sai!
179	produce_login_Info_Input_Password_e_err	Nh§p m§t mã sai!
180	produce_login_Info_Name_Include_Gang	Tên ðång ký không ðßþc có \" \' \" 
181	produce_login_Info_Password_Include_Gang	M§t mã ðång ký không ðßþc có \" \' \" 
182	produce_login_Info_Checking_Password	Ðang ki¬m tra m§t mã..
183	GMActionSystem_Item_Info_Item_Is_Binded	V§t ph¦m này ðã ðßþc c¯ ð¸nh
184	GMActionSystem_Item_Info_Misstion_Item_Is_Full	V§t ph¦m nhi®m vø ðã ð¥y!
185	GMActionSystem_Item_Info_Target_Box_Is_Full	Rß½ng ðã ð¥y!
186	GMActionSystem_Item_Info_Item_Not_Require_Repair	V§t ph¦m này không c¥n sØa
187	GMActionSystem_Item_Info_You_Stalling	Các hÕ ðang bày hàng..
188	GMActionSystem_Item_Info_You_Can_Not_Repair_Item	Không th¬ sØa v§t ph¦m này
189	GMActionSystem_Item_Info_Money_Is_Not_Enough	Không ðü ngân lßþng
190	GMActionSystem_Item_Info_Item_Can_Not_Drop	Không th¬ vÑt v§t ph¦m nhi®m vø
191	GMActionSystem_Item_Info_Exchange_Box_Is_Full	Giao d¸ch ðã ð¥y
192	GMActionSystem_Item_Info_Item_Can_Not_Equip	Không th¬ trang b¸ v§t ph¦m này
193	GMActionSystem_Item_Info_Item_Exchanging	V§t ph¦m ðang giao d¸ch
194	GMActionSystem_Item_Info_Buy_Item_First	Hãy mua v§t ph¦m này trß¾c
195	GMActionSystem_Item_Info_Item_Is_Selling	V§t ph¦m này ðang bày bán
196	GMActionSystem_Item_Info_Item_Can_Put_In_ShortCut	V§t ph¦m này không th¬ ð£t vào phím nhanh
197	GMActionSystem_Item_Info_Level_Not_Enough	Không ðü ðÆng c¤p
198	ActionItem_PetSkill_Open	M·
199	ActionItem_PetSkill_Close	Ðóng
200	GMDataPool_Info_Xinfo_Level_Is_Top	ÐÆng c¤p Tâm pháp ðã ðÕt t¾i c¤p cao nh¤t
201	GMDataPool_Info_Can_Not_Learn	Không th¬ h÷c thêm næa
202	GMDataPool_Info_Up_Player_Level	Xin nâng cao ðÆng c¤p nhân v§t
203	GMDataPool_Info_Up_Level_Money_Is_Not_Enough	Không ðü ngân lßþng ð¬ thång c¤p
204	GMDataPool_Info_Up_Level_Exp_Is_Not_Enough	Không ðü kinh nghi®m ð¬ thång c¤p
205	GMDP_Struct_Relation_Info_ExitrGame	BÕn hæu cüa các hÕ #Y#{_INFOUSR%s} #Wðã r¶i khöi trò ch½i
206	GMDP_Struct_Relation_Info_EnterGame	BÕn hæu cüa các hÕ #Y#{_INFOUSR%s} #Wðã vào trò ch½i
207	GMDP_Struct_Skill_Info_No_Target	Không có møc tiêu
208	GMDP_Struct_Skill_Info_Invalidate_Target	Møc tiêu vô hi®u
209	GMUIDataPool_Info_Team_Dismiss	Ðµi ngû ðã giäi tán!
210	GMUIDataPool_Info_Can_Not_Find_Kick_Member	Không, tìm ðßþc ðµi hæu xin r¶i nhóm
211	GMUIDataPool_Info_Send_Leader_Msg_Fail	GØi thông tin nh§m l®nh nhóm trß·ng b¸ th¤t bÕi!
212	GMGameInterface_Info_Too_Far_To_Open_Stall	Khoäng cách quá xa, không th¬ m· qu¥y
213	GMGameInterface_Script_Info_Too_Far_To_Open_Stall	Không có v§t ph¦m c¥n sØa
214	GMGameInterface_Script_Bank_Info_Input_Money_Out_Cur_Money	S¯ ngân lßþng gØi vào nhi«u h½n s¯ ngân lßþng ðang có
215	GMGameInterface_Script_Bank_Info_Output_Money_Out_Bank_Money	Lßþng ti«n rút ra vßþt qua lßþng ti«n hi®n có trong ti«n trang
216	GMGameInterface_Script_DataPool_Info_None	Không
217	GMGameInterface_Script_DataPool_Info_Good_Friend	B¢ng hæu
218	GMGameInterface_Script_DataPool_Info_JieBai	Kªt bái
219	GMGameInterface_Script_DataPool_Info_Marry	Kªt bái phu thê
220	GMGameInterface_Script_DataPool_Info_Black_Name_Table	B¤t hæu
221	GMGameInterface_Script_DataPool_Info_Temp_Good_Friend	Häo hæu tÕm th¶i
222	GMGameInterface_Script_DataPool_Info_Stranger	Ngß¶i lÕ
223	GMGameInterface_Script_DataPool_Info_Teacher	Sß phø
224	GMGameInterface_Script_DataPool_Info_Student	Ð° ð®
225	GMGameInterface_Script_DataPool_Info_ShaoLin	Thiªu Lâm
226	GMGameInterface_Script_DataPool_Info_Mingjiao	Minh Giáo
227	GMGameInterface_Script_DataPool_Info_GaiBang	Cái Bang
228	GMGameInterface_Script_DataPool_Info_WuDang	Võ Ðang
229	GMGameInterface_Script_DataPool_Info_EMei	Nga My
230	GMGameInterface_Script_DataPool_Info_XingXiu	Tinh Túc
231	GMGameInterface_Script_DataPool_Info_DaLi	Thiên Long
232	GMGameInterface_Script_DataPool_Info_TianShan	Thiên S½n
233	GMGameInterface_Script_DataPool_Info_XiaoYao	Tiêu Dao
234	GMGameInterface_Script_DataPool_Info_WuMenPai	Không có
235	GMGameInterface_Script_Exchange_Info_Too_Far_To_Exchange	Cñ ly quá xa, không th¬ m¶i giao d¸ch
236	GMGameInterface_Script_Exchange_Info_Can_Exchange_Width_dead_Man	Không th¬ m¶i ngß¶i tØ nÕn giao d¸ch
237	GMGameInterface_Script_Exchange_Info_Send_Exchange_Msg	L¶i ð« ngh¸ giao d¸ch ðã ðßþc gØi ði
238	GMGameInterface_Script_Exchange_Info_Dead_Can_Not_Exchange	Các hÕ ðã tØ nÕn không th¬ giao d¸ch
239	GMGameInterface_Script_Exchange_Info_Can_Exchange_With_Player_in_Special_Status	Ð¯i phß½ng ðang · trong trÕng thái ð£c bi®t, không th¬ giao d¸ch
240	GMGameInterface_Script_Exchange_Info_Out_Exchange_Range	Ðã vßþt quá phÕm vi có th¬ giao d¸ch
241	GMGameInterface_Script_Exchange_Info_You_have_Locked_Exchange	BÕn ðã khóa giao d¸ch
242	GMGameInterface_Script_Exchange_Info_You_Money_Is_Not_Enough	Không ðü ngân lßþng
243	GMGameInterface_Script_Exchange_Info_Can_Not_Find_Name	Không, tìm th¤y tên
244	GMGameInterface_Script_GameLogin_Info_Del_Role_YesNo	Xác nh§n c¥n xóa nhân v§t  c¤p %d #c00ff00 %s #cffffff ?
245	Login_Create_Role_Info_Name_Too_Len	Tên nhân v§t quá dài
246	Login_Create_Role_Info_Name_Is_Empty	Không ðßþc bö tr¯ng tên nhân v§t
247	GMGameInterface_Script_GameLogin_Info_Sel_Del_Role	M¶i ch÷n nhân v§t bÕn mu¯n xóa
248	GMGameInterface_Script_GameLogin_Info_Exit_Game_YesNo	Các hÕ mu¯n thoát khöi trò ch½i?
249	GMGameInterface_Script_GameLogin_Info_Exit_To_Account_Input_YesNo	Xác nh§n r¶i bö giao di®n ðång nh§p tài khoän hay không?
250	GMGameInterface_Script_Package_Info_BianShen_Can_Not_Stall	Ðang biªn thân, không th¬ bày bán
251	GMGameInterface_Script_Package_Info_Ride_Can_Not_Stall	Ðang cßÞi thú, không th¬ bày bán
252	GMGameInterface_Script_Package_Info_Team_Follow_Can_Not_Stall	Các hÕ ðang ði theo ðµi, không th¬ bày bán
253	GMGameInterface_Script_Package_Info_Follow_Can_Not_Stall	Các hÕ ðang ði theo, không th¬ bày bán
254	GMGameInterface_Script_Package_Info_Bellow_30_Level_Can_Not_Stall	C¥n ðÕt ðÆng c¤p 15 m¾i có th¬ bày bán
255	GMGameInterface_Script_PlayerMySelf_Info_Exp_Not_Enough	Ði¬m kinh nghi®m không ðü
256	GMGameInterface_Script_PlayerMySelf_Info_Money_Not_Enough	Ngân lßþng không ðü
257	GMGameInterface_Script_PlayerMySelf_Info_Skill_Not_Enough	Ðµ thành thøc KÛ nång chßa ðü
258	GMGameInterface_Script_PlayerMySelf_Info_You_Reject_Team_Follow	BÕn t× ch¯i tham gia ði theo ðµi
259	GMGameInterface_Script_PlayerMySelf_Info_You_Can_Not_Create_Team	BÕn ðã · trong nhóm r°i, không l§p nhóm khác
260	GMGameInterface_Script_StallBbs_Info_Msg_Can_Not_Empty	Tin tÑc không ðßþc ð¬ tr¯ng
261	GMGameInterface_Script_StallBuy_Info_Too_Far_To_Exchange	Khoäng cách quá xa, không th¬ m· qu¥y
262	GMGameInterface_Script_StallBuy_Info_Too_Far_To_Open_Stall	Khoäng cách quá xa, không th¬ m· qu¥y
263	GMGameInterface_Script_StallSale_Info_Item_Price_Is_0	Không th¬ ð£t giá bán là 0
264	GMGameInterface_Script_StallSale_Info_Item_Price_Is_Over_100k_Gold	Khi bày bán không ðßþc thñc hi®n các giao d¸ch có giá tr¸ trên mµt vÕn lßþng vàng
265	GMGameInterface_Script_StallSale_Info_New_Price_Is_Same_With_Old	Giá thay ð±i và giá hi®n hành gi¯ng nhau!
266	GMGameInterface_Script_StallSale_Info_BianShen_Can_Not_Stall	Ðang biªn thân, không th¬ bày bán
267	GMGameInterface_Script_StallSale_Info_Ride_Can_Not_Stall	Ðang cßÞi thú, không th¬ bày bán
268	GMGameInterface_Script_StallSale_Info_Change_Ad_Success	Các hÕ ðã ðång ký câu quäng cáo thành công.
269	GMGameInterface_Script_PlayerShop_Info_Set_Name_To_Shop	Xin l²i, bÕn c¥n ð£t tên cho quý cØa hàng
270	GMGameInterface_Script_PlayerShop_Info_Item_Shop	V§t ph¦m
271	GMGameInterface_Script_PlayerShop_Info_Gem_Shop	Bäo thÕch
272	GMGameInterface_Script_PlayerShop_Info_Weapon_Shop	Vû khí
273	GMGameInterface_Script_PlayerShop_Info_Equip_Shop	Giáp trø
274	GMGameInterface_Script_PlayerShop_Info_Material_Shop	V§t li®u
275	GMGameInterface_Script_PlayerShop_Info_Pet_Shop	Trân Thú
276	GMGameInterface_Script_PlayerShop_Info_Item_Price_Is_0	Không th¬ ð£t giá bán là 0
277	GMGameInterface_Script_PlayerShop_Info_Please_Sel_Item	M¶i ch÷n mµt loÕi v§t ph¦m
278	GMGameInterface_Script_Talk_Info_Near_Channel	Kênh g¥n
279	GMGameInterface_Script_Talk_Info_Scene_Channel	Tình hu¯ng
280	GMGameInterface_Script_Talk_Info_Hide_Channel	Kênh ¦n
281	GMGameInterface_Script_Talk_Info_System_Channel	H® th¯ng
282	GMGameInterface_Script_Talk_Info_Template_Error	#RBän mçu b¸ l²i, ð« ngh¸ ki¬m tra lÕi! #BCäm ½n!
283	GMGameInterface_Script_Talk_Info_Level_Not_Enough	#R ÐÆng c¤p cüa b¢ng hæu chßa ðÕt ðªn 15, không th¬ nói chuy®n trên kênh chat !
284	GMGameInterface_Script_Talk_Info_Condition_Not_Enough	#rÐi«u ki®n không ðü ð¬ nói chuy®n!
285	GMGameInterface_Script_Talk_Info_Talk_Too_Fast	#rÐ« ngh¸ không nên nói chuy®n v¾i t¯c ðµ quá nhanh! #BCäm ½n!
286	GMGameInterface_Script_Talk_Info_SetPaoPaoTxt	#cCC99FF (Ðµi ngû) #W
287	GMGameInterface_Script_Talk_Info_You	Ngß½i
288	GMGameInterface_Script_Talk_Info_strHelp	#G (Giúp ðÞ)#W
289	netManager_Info_Create_Socket_err	Kh·i tÕo SOCKET kªt n¯i phát sinh l²i
290	netManager_Info_Server_Not_Work	Ðã ng¡t kªt n¯i v¾i máy chü!
291	netManager_Info_Connect_OverTime	    Xin ki¬m tra lÕi ðß¶ng mÕng và ðång nh§p lÕi. #rNªu nhß vçn còn cäm th¤y khó khån khi ðång nh§p xin b¢ng hæu hãy thÑ l²i.
292	netManager_Info_UNKnow_err	L²i không nh§n biªt ðßþc!
293	netManager_Info_Net_Err	L²i kªt n¯i!
294	GCAskTeamFollowHandler_Info_Join_Team_Model_YesNo	Các hÕ có tham gia hình thÑc ðµi hay không
295	GCBankAddItemHandler_Info_Item_Save_To_Bank_Ok	V§t ph¦m gØi vào ti«n trang thành công
