INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING
19	546	31	-1	0	0	62	60	92	20	Tiêu Tß¶ng		Dûng khí	545	-1	-1	164	158			
20	583	36	-1	0	0	25	23	55	24	Ðao Lang Cang		Ði tìm thäo dßþc	-1	-1	-1	57	73			
21	588	36	-1	0	0	30	28	60	24	Tát Ninh		Tát Ninh b¸ trói	-1	-1	-1	96	126			
22	591	35	-1	0	0	40	38	70	25	Tát Ðô		Câu chuy®n v« lß½ng thñc	-1	-1	-1	195	113			
23	593	35	-1	0	0	43	41	73	25	Tát Tang		Chï th¸ sáng su¯t	-1	-1	-1	202	108			
24	667	43	-1	0	0	53	51	83	32	ThuÖ Tiên		Di®t cö di®t t§n g¯c	664	665	666	205	44			
25	656	42	-1	0	0	38	36	68	31	A Thanh		Phàn tâm tñ ði®p	655	-1	-1	51	115			
26	657	42	-1	0	0	38	36	68	31	A Thanh		Quy vân chi mê	655	-1	-1	51	115			
27	550	32	-1	0	0	75	73	105	21	Ba Ð°		BÕch Lang Bì	-1	-1	-1	161	196			
28	551	32	-1	0	0	75	73	105	21	Ba Ð°		H¡c Phong M§t	-1	-1	-1	161	196			
29	560	33	-1	0	0	88	86	118	22	Hoàn Nhan A Lý B¯		Nµp c¯ng ph¦m	-1	-1	-1	117	107			
30	563	33	-1	0	0	88	86	118	22	Hoàn Nhan Cát Ly B¤t		Hùng ðäm	-1	-1	-1	166	94			
31	567	33	-1	0	0	90	88	120	22	Hoàn Nhan Ngµt thu§t		Ð½n thu¯c cüa Th¥n Y	562	-1	-1	118	107			
32	564	33	-1	0	0	88	86	118	22	Hoàn Nhan Niêm Mµt Khát		c¤p ph¦m nhân sâm	-1	-1	-1	147	120			
33	568	33	-1	0	0	90	88	120	22	Ð° Ðan Phúc T¤n		Thiên nha häi giác (chân tr¶i góc b¬)	567	-1	-1	148	118			
34	569	33	-1	0	0	90	88	120	22	Hoàn Nhan A C¯t Ðä		Ðµt kích	566	-1	-1	234	77			
35	631	40	-1	0	0	96	94	126	29	A Tùng		Thïnh c¥u cüa A Tùng	-1	-1	-1	201	256			
36	634	40	-1	0	0	98	96	128	29	A Vû		Ách Tu La	633	-1	-1	182	264			
37	635	40	-1	0	0	98	96	128	29	A Vû		Vînh DÕ Tu La	633	-1	-1	182	264			
38	636	40	-1	0	0	98	96	128	29	A Vû		VÕn Kiªp Tu La	633	-1	-1	182	264			
39	624	39	-1	0	0	87	85	117	28	Dß½ng Minh		Ð¢ng Giáp T£c nguyên soái	623	-1	-1	157	223			
40	627	39	-1	0	0	87	85	117	28	BÕch Lan		L¶i nói d¯i chân thñc	-1	-1	-1	147	47			
41	610	38	-1	0	0	70	68	100	27	La B¯c		La B¯c c¥n con nh®n	-1	-1	-1	46	51			
42	611	38	-1	0	0	70	68	100	27	La B¯c		La B¯c c¥n Vân Mçu	-1	-1	-1	46	51			
43	612	38	-1	0	0	70	68	100	27	La B¯c		La B¯c c¥n long huyªt	-1	-1	-1	46	51			
44	670	44	-1	0	0	65	63	95	33	Th¦m VÕn Tam		C½ hµi buôn bán vô hÕn	-1	-1	-1	170	73			
45	682	45	-1	0	0	80	78	110	34	Di®p Lßu Phàm		Nghiên cÑu chæ Tiªt	-1	-1	-1	115	58			
46	684	45	-1	0	0	80	78	110	34	NhÕc Tr÷ng Thu		Nåm hÕt quýt	-1	-1	-1	206	237			
47	686	45	-1	0	0	82	80	112	34	Di®p Lßu Phàm		Mµt tia sáng	683	-1	-1	115	58			
48	692	46	-1	0	0	92	90	122	35	Nguyên TØ Khâm		ÐÕo Th¥n	-1	-1	-1	241	159			
49	694	46	-1	0	0	92	90	122	35	Lång ºc T×		Thu¯c Hi¬n änh	693	-1	-1	246	151			
50	698	46	-1	0	0	94	92	124	35	NhÕc Lão Tam		Huy«n Vû Môn chi biªn	696	697	-1	256	242			
51	571	34	-1	0	0	98	96	128	23	Thác BÕt Vån		H½i th· ¤m áp	-1	-1	-1	163	191			
52	578	34	-1	0	0	98	96	128	23	Phù T¸ch Nhan		Sñ bùng n± ðau kh±	577	-1	-1	166	204			
53	490	17	-1	0	0	1	1	31	6	Mã Ngû ÐÑc		Cao S½n BÕch Viên	-1	-1	-1	92	127			
54	494	17	-1	0	0	3	1	33	6	Tân Song Thanh		Thi¬m Ði®n Báo	-1	-1	-1	240	175			
55	496	17	-1	0	0	5	3	35	6	Cát Quang Bµi		D©p loÕn	-1	-1	-1	240	173			
56	497	17	-1	0	0	7	5	37	6	Tân Song Thanh		ÐÕi Thiªt Võng	-1	-1	-1	240	175			
57	499	17	-1	0	0	9	7	39	6	Tân Song Thanh		Ám sát ð£c sÑ	-1	-1	-1	240	175			
58	500	18	-1	0	0	1	1	31	7	Khß½ng MÕt		Thøc ÐÕo BÕch Viên	-1	-1	-1	220	68			
59	501	18	-1	0	0	1	1	31	7	Khß½ng MÕt		Thøc ÐÕo H¡c Viên	-1	-1	-1	220	68			
60	506	18	-1	0	0	8	6	38	7	Khß½ng MÕt		Th¸t h¥m	-1	-1	-1	220	68			
61	508	18	-1	0	0	9	7	39	7	Khß½ng Quª Chi		Tu La Ti¬u QuÖ	-1	-1	-1	216	42			
62	510	19	-1	0	0	10	8	40	8	Dß½ng Vån Quäng		Tâm nguy®n	-1	-1	-1	252	144			
63	512	19	-1	0	0	10	8	40	8	Tri®u Hành ÐÑc		Binh mµ	-1	-1	-1	63	90			
64	513	19	-1	0	0	10	8	40	8	Tri®u Hành ÐÑc		Hoang Nguyên Báo	-1	-1	-1	63	90			
65	517	19	-1	0	0	18	16	48	8	Tào Diên Hu®		MÕc Cao Khu¤t	902	-1	-1	55	63			
66	460	14	-1	0	0	15	13	45	3	Sài Tiªn		BÕch NgÕch H±	-1	-1	-1	200	70			
67	461	14	-1	0	0	15	13	45	3	Sài Tiªn		Di Khí Mµc Nhân	-1	-1	-1	200	70			
68	462	14	-1	0	0	15	13	45	3	Sài Tiªn		Dînh ThuÖ Lang	-1	-1	-1	200	70			
69	641	41	-1	0	0	20	18	50	30	Mã Hán		Hoa Cäng Ðµc Phong	-1	-1	-1	187	256			
70	642	41	-1	0	0	20	18	50	30	Mã Hán		ThuÖ QuÖ Thám TØ	-1	-1	-1	187	256			
72	520	29	-1	0	0	30	28	60	18	Châu Vô Uý		Lang hÕi	-1	-1	-1	242	72			
73	521	29	-1	0	0	30	28	60	18	Châu Vô Uý		Báo HÕi	-1	-1	-1	242	72			
74	523	29	-1	0	0	32	30	62	18	Chüng Thª Hoành		L¥n thÑ nh¤t ðánh T¥n Gia TrÕi	-1	-1	-1	262	47			
75	525	29	-1	0	0	32	30	62	18	Chüng Thª Hoành		L¥n thÑ hai ðánh T¥n Gia TrÕi	-1	-1	-1	262	47			
76	526	29	-1	0	0	35	33	65	18	Châu Vô Uý		Chu XÑ quét sÕch 3 nÕn	520	521	-1	242	72			
77	527	29	-1	0	0	35	33	65	18	Chüng Thª Hoành		L¥n thÑ 3 ðánh T¥n Gia TrÕi	-1	-1	-1	262	47			
78	529	29	-1	0	0	35	33	65	18	Chüng Thª Hoành		Bình minh th¡ng lþi	523	525	527	262	47			
79	531	30	-1	0	0	45	43	75	19	Gia Lu§t Dß Ð²		Th± phï n±i loÕn	-1	-1	-1	195	41			
80	534	30	-1	0	0	45	43	75	19	Gia Lu§t Dß Ð²		Hµ v® h²n loÕn	-1	-1	-1	195	41			
81	538	30	-1	0	0	51	49	81	19	Gia Lu§t Dß Ð²		Giáo ð¥u náo loÕn	-1	-1	-1	195	41			
82	601	37	-1	0	0	55	53	85	26	Dß½ng Liên TØ		Lang Thù trong ThÕch Lâm	-1	-1	-1	180	160			
83	606	37	-1	0	0	55	53	85	26	T¥n H°ng Miên		Ði¬m ðªn	-1	-1	-1	45	44			
84	607	37	-1	0	0	55	53	85	26	Tr¸nh Huy«n		T§n sÑc tr× ác	606	-1	-1	183	164			
85	540	31	-1	0	0	60	58	90	20	Nguy­n Thñc		Ðß¶ng lß½ng thñc yªu	-1	-1	-1	198	202			
86	542	31	-1	0	0	62	60	92	20	Tiêu Tß¶ng		M®nh l®nh cüa Qu§n Chü	-1	-1	-1	164	158			
87	543	31	-1	0	0	62	60	92	20	Tiêu Tß¶ng		Minh chÑng anh hùng	-1	-1	-1	164	158			
88	548	31	-1	0	0	65	63	95	20	Nguy­n Thñc		Thiêu ð¯t	-1	-1	-1	198	202			
89	581	36	-1	0	0	25	23	55	24	Ðao Lang Cang		Quét sÕch ngß¶i r×ng	-1	-1	-1	57	73			
90	582	36	-1	0	0	25	23	55	24	Ðao Lang Cang		Hoa Ban Báo	-1	-1	-1	57	73			
91	585	36	-1	0	0	28	26	58	24	Ðao Nghiêu		Thu phøc khoáng ðµng	-1	-1	-1	207	49			
92	586	36	-1	0	0	28	26	58	24	Ðao Nghiêu		Thu phøc b¯i tØ	-1	-1	-1	207	49			
93	587	36	-1	0	0	28	26	58	24	Ðao Nghiêu		Thu phøc Trà Mã ÐÕo	-1	-1	-1	207	49			
94	590	35	-1	0	0	40	38	70	25	Tát Ðô		Khäo nghi®m vû lñc	-1	-1	-1	195	113			
95	592	35	-1	0	0	40	38	70	25	Tát Ðô		Tình hæu ngh¸ giæa các dân tµc	-1	-1	-1	195	113			
96	595	35	-1	0	0	43	41	73	25	Tát Mã		Tù trß·ng ch£n ðß¶ng	594	-1	-1	156	206			
97	596	35	-1	0	0	43	41	73	25	Tát Mã		Th± ty ch£n ðß¶ng	594	-1	-1	156	206			
98	598	35	-1	0	0	43	41	73	25	Tát Tang		CÑu chuµc linh h°n	597	-1	-1	202	108			
99	660	43	-1	0	0	50	48	80	32	TØ Vi		BÕch viên chi hÕi	-1	-1	-1	195	42			
100	661	43	-1	0	0	50	48	80	32	TØ Vi		Tai hÕi cüa nh®n	-1	-1	-1	195	42			
101	662	43	-1	0	0	50	48	80	32	TØ Vi		Kë phän bµi	-1	-1	-1	195	42			
102	664	43	-1	0	0	53	51	83	32	ThuÖ Tiên		Thü túc tß½ng tàn	663	-1	-1	205	44			
103	665	43	-1	0	0	53	51	83	32	ThuÖ Tiên		ÐÕi khai sát gi¾i	663	-1	-1	205	44			
104	666	43	-1	0	0	53	51	83	32	ThuÖ Tiên		Cách sát v§t lu§n	663	-1	-1	205	44			
105	650	42	-1	0	0	35	33	65	31	Ông Quý Chi		Bäo v® vß¶n trà	-1	-1	-1	154	131			
106	652	42	-1	0	0	35	33	65	31	Pháp Ni®m		LÕn Lµ ThuÖ QuÖ	651	-1	-1	207	63			
107	653	42	-1	0	0	35	33	65	31	Pháp Ni®m		Tung Hoä ThuÖ QuÖ	651	-1	-1	207	63			
108	654	42	-1	0	0	35	33	65	31	Pháp Ni®m		TÕc Thuy«n ThuÖ QuÖ	651	-1	-1	207	63			
109	555	32	-1	0	0	78	76	108	21	Gia Lu§t Kim		H°ng Y Mã Phï	-1	-1	-1	168	204			
110	556	32	-1	0	0	78	76	108	21	Gia Lu§t Kim		H¡c Y Mã Phï	-1	-1	-1	168	204			
111	557	32	-1	0	0	80	78	110	21	Gia Lu§t Kim		B¡t gi£c b¡t vua	-1	-1	-1	168	204			
112	559	32	-1	0	0	80	78	110	21	Gia Lu§t Kim		Mãng Cái Tam Ki®t	-1	-1	-1	168	204			
113	630	40	-1	0	0	96	94	126	29	A Vû		A Vû nhát gan	-1	-1	-1	182	264			
114	638	40	-1	0	0	98	96	128	28	Dß½ng Minh		Nguyên nhân cüa chiªn tranh	-1	-1	-1	157	223			
115	620	39	-1	0	0	84	82	114	28	A Ngõa		Phøng Hoàng cñu trÕi	-1	-1	-1	150	49			
116	622	39	-1	0	0	84	82	114	28	A Vßþng		H¡c Miêu Chiªn Sî	621	-1	-1	151	65			
117	623	39	-1	0	0	87	85	117	28	Dß½ng Minh		Ð¢ng Giáp T£c	-1	-1	-1	157	223			
118	626	39	-1	0	0	87	85	117	28	BÕch Lan		Tranh cß¾p Khoáng S½n	-1	-1	-1	147	47			
119	615	38	-1	0	0	72	70	102	27	A H¡c		Næ Oa ThÕch Nhân	-1	-1	-1	279	47			
120	616	38	-1	0	0	72	70	102	27	A H¡c		Y¬n Sß Hµ Pháp	-1	-1	-1	279	47			
121	617	38	-1	0	0	72	70	102	27	A H¡c		ÐÕi Y¬n Sß	-1	-1	-1	279	47			
122	671	44	-1	0	0	65	63	95	33	Th¦m VÕn Tam		Con ðß¶ng buôn bán g§p gh«nh	-1	-1	-1	170	73			
123	673	44	-1	0	0	67	65	97	33	Thái Dß½ng Hoa		Kinh V® phân minh	-1	-1	-1	195	48			
124	674	44	-1	0	0	67	65	97	33	Kinh Cúc		Ån miªng trä miªng	-1	-1	-1	161	286			
125	680	45	-1	0	0	80	78	110	34	Ðinh Liên Y		Ðen t¯i	-1	-1	-1	111	60			
126	690	46	-1	0	0	92	90	122	35	Du Du		Thanh thanh tØ câm	-1	-1	-1	274	269			
127	696	46	-1	0	0	94	92	124	35	NhÕc Lão Tam		Di®t tr× dûng sÛ	-1	-1	-1	256	242			
128	697	46	-1	0	0	94	92	124	35	NhÕc Lão Tam		Di®t tr× sát thü	-1	-1	-1	256	242			
129	570	34	-1	0	0	98	96	128	23	Thác BÕt Vån		Ð°ng b¢ng rµng l¾n hoang vu	-1	-1	-1	163	191			
130	572	34	-1	0	0	98	96	128	23	Phù T¸ch Nhan		Tình cänh nguy hi¬m	-1	-1	-1	166	204			
131	575	34	-1	0	0	98	96	128	23	Mµ Dung Thiên Lang		Tr§n chiªn trùng giáp	574	-1	-1	45	276			
132	576	34	-1	0	0	98	96	128	23	Mµ Dung Thiên Lang		Cuµc chiªn cüa Ba Luân	574	-1	-1	45	276			
133	547	31	-1	0	0	62	60	92	20	Tiêu Tß¶ng		L¶i kêu g÷i cüa linh h°n	546	-1	-1	163	158			
134	584	36	-1	0	0	25	23	55	24	Ðao Lang Cang		Muµi muµi v« nhà	583	-1	-1	57	73			
135	594	35	-1	0	0	43	41	73	25	Tát Tang		Tình cäm cüa Bång Phong	593	-1	-1	202	108			
136	677	44	-1	0	0	70	68	100	33	Kh¡c Lý Tß Ðª An		Th§p tñ quân	-1	-1	-1	169	240			
137	691	46	-1	0	0	92	90	122	35	Du Du		Hµ Hoa SÑ Giä	690	-1	-1	274	269			
138	495	17	-1	0	0	3	1	33	6	Tân Song Thanh		Vô Lßþng Ng÷c Bích	-1	-1	-1	240	175			
139	604	37	-1	0	0	55	53	85	26	Tr¸nh Huy«n		L¶i kêu g÷i lß½ng thi®n	602	-1	-1	183	164			
140	621	39	-1	0	0	84	82	114	28	A Vßþng		Ðàn Tª H° Ði®p Th¥n	-1	-1	-1	151	65			
141	491	17	-1	0	0	1	1	31	6	Mã Ngû ÐÑc		L¤y v§t li®u tÕi ch²	-1	-1	-1	92	127			
142	498	17	-1	0	0	9	7	39	6	Tân Song Thanh		Bao vây Ðôn Hoàng	-1	-1	-1	240	175			
143	502	18	-1	0	0	1	1	31	7	Khß½ng Quª Chi		Võ H¥u T×	-1	-1	-1	215	43			
144	507	18	-1	0	0	8	6	38	7	Th¶i MÕi		Tam phân thiên hÕ	503	504	505	263	201			
145	509	18	-1	0	0	10	8	40	7	Khß½ng Quª Chi		CÑu vi®n	508	-1	-1	215	43			
146	511	19	-1	0	0	10	8	40	8	H°i C¯t Vß½ng Næ		Mông Tr¥n	900	-1	-1	252	177			
147	514	19	-1	0	0	13	11	43	8	Tri®u Hành ÐÑc		Nghî cách cÑu vi®n	511	-1	-1	63	90			
148	516	19	-1	0	0	13	11	43	8	Dß½ng Vån Quäng		Quay tr· lÕi	515	-1	-1	252	144			
149	518	19	-1	0	0	18	16	48	8	Chu Vß½ng L­		Chiªn tranh	-1	-1	-1	63	81			
150	519	19	-1	0	0	18	16	48	8	Dß½ng Vån Quäng		SÑc chiªn ð¤u	901	-1	-1	252	144			
151	463	14	-1	0	0	15	13	45	3	Tiêu Nhßþng		Ng÷n ngu°n	-1	-1	-1	209	79			
152	464	14	-1	0	0	15	13	45	3	Løc Tùng		An th¥n dßþc	463	-1	-1	182	81			
153	467	14	-1	0	0	18	16	48	3	Løc Ngßng Sß½ng		H÷a t× Tiêu Nhßþng	466	-1	-1	181	81			
154	468	14	-1	0	0	18	16	48	3	Tiêu Nhßþng		Ðan Thß Thiªt Khoán	467	-1	-1	209	79			
155	640	41	-1	0	0	20	18	50	30	Trß½ng Thúc DÕ		MÛ tØu ca dao	-1	-1	-1	155	54			
156	643	41	-1	0	0	23	21	53	30	Tô Phi		Nghiên cÑu con r¯i	-1	-1	-1	164	262			
157	644	41	-1	0	0	23	21	53	30	Kim ÐÕi Kiên		Tu La Thu§t	643	-1	-1	142	47			
158	649	41	-1	0	0	25	23	55	30	Mã Hán		L§p nghi®p t× tay tr¡ng	-1	-1	-1	187	256			
159	528	29	-1	0	0	35	33	65	18	Chüng Thª Hoành		Tình hæu ngh¸ b¸ quên lãng. 	-1	-1	-1	262	47			
160	533	30	-1	0	0	48	46	78	19	Miêu Khánh		BÑc thß th¥n bí	530	532	-1	231	203			
161	535	30	-1	0	0	48	46	78	19	Khúc Ðoan		Tìm L² Bình	533	-1	-1	232	192			
162	537	30	-1	0	0	48	46	78	19	L² Bình		Phúc ðáp Khúc Ðoan	536	-1	-1	271	50			
163	539	30	-1	0	0	50	48	80	19	Khúc Ðoan		Mµt bÑc thß t× nhà gØi ðªn	-1	-1	-1	232	192			
164	603	37	-1	0	0	55	53	85	26	Tr¸nh Huy«n		Thª ngoÕi trà viên	602	-1	-1	183	164			
165	605	37	-1	0	0	55	53	85	26	Dß½ng Thiªt Tín		L¶i th«	-1	-1	-1	240	181			
166	609	37	-1	0	0	60	58	90	26	Tr¸nh Huy«n		Nhæng ngß¶i trên thäo nguyên	608	-1	-1	183	164			
167	545	31	-1	0	0	62	60	92	20	Nguy­n Thành		Thanh kiªm tuy®t tình	544	-1	-1	138	53			
168	549	31	-1	0	0	65	63	95	20	Nguy­n Thành		Nghe danh xu¯ng ngña	-1	-1	-1	138	53			
169	580	36	-1	0	0	25	23	55	24	Ðao Nghiêu		Tình mçu tØ	-1	-1	-1	207	49			
170	589	36	-1	0	0	30	28	60	24	Tát Ninh		Phát hi®n cüa Tát Ninh	588	-1	-1	96	126			
171	597	35	-1	0	0	43	41	73	25	Tát Mã		Thß½ng s½n tuyªt bay	595	596	-1	155	205			
172	599	35	-1	0	0	45	43	75	25	Tát Tang		Sñ ð«n ðáp h§u hî	-1	-1	-1	202	108			
173	663	43	-1	0	0	50	48	80	32	TØ Vi		Báo cáo tình hình nguy hi¬m	662	-1	-1	195	42			
174	668	43	-1	0	0	55	53	85	32	Khúc Dß½ng		Giäi thích rõ	-1	-1	-1	194	52			
175	669	43	-1	0	0	55	53	85	32	TØ Vi		Thiên m®nh t¯i cao	668	-1	-1	195	42			
176	651	42	-1	0	0	35	33	65	31	Ông Quý Chi		Chùa Ðµc Thßþng Kim S½n	-1	-1	-1	151	121			
177	655	42	-1	0	0	38	36	68	31	Pháp Ni®m		Chuy®n ðã qua coi nhß hß vô	-1	-1	-1	207	63			
178	659	42	-1	0	0	40	38	70	31	Lôi Hoán		Nh§t mµ Thß½ng s½n vi­n	-1	-1	-1	165	137			
179	553	32	-1	0	0	75	73	105	21	Bác Nhî Luân		Liêu Quân Nguyên Soái	552	-1	-1	163	191			
180	562	33	-1	0	0	88	86	118	22	Ð° Ðan Phúc T¤n		T£ng rßþu thu¯c	-1	-1	-1	147	123			
181	565	33	-1	0	0	90	88	120	22	Hoàn Nhan Doanh Ca		Tìm A C¯t Ðä	560	-1	-1	147	121			
182	566	33	-1	0	0	90	88	120	22	Hoàn Nhan A C¯t Ðä		Gi¤u tài	565	-1	-1	234	78			
183	632	40	-1	0	0	96	94	126	29	A Vû		Cäm ½n	-1	-1	-1	182	264			
184	633	40	-1	0	0	96	94	126	28	Dß½ng Minh		Kª hoÕch cüa Dß½ng Minh	632	-1	-1	157	223			
185	637	40	-1	0	0	98	96	128	29	A Vû		Chï th¸ cüa Tu La Vß½ng	634	635	636	182	264			
186	625	39	-1	0	0	87	85	117	28	Dß½ng Minh		Báo cáo kªt quä chi¬n ð¤u	624	-1	-1	157	223			
187	628	39	-1	0	0	87	85	117	28	BÕch Lan		Phßþng vån ngân töa phiªn	627	-1	-1	147	47			
188	629	39	-1	0	0	89	87	119	28	BÕch Cänh Võ		Anh hùng lúc già	-1	-1	-1	128	50			
189	613	38	-1	0	0	70	68	100	27	Sách Mçu LÕp		Tuy®t Thª Th¥n Binh	610	611	612	49	51			
190	614	38	-1	0	0	72	70	102	27	A Y Na		Ca ca ng¯c	-1	-1	-1	277	44			
191	619	38	-1	0	0	72	70	102	27	C± L² LÕp		Không h¤p bánh bánh bao	-1	-1	-1	276	45			
192	672	44	-1	0	0	65	63	95	33	Thái Dß½ng Hoa		Vô gian ðÕo	-1	-1	-1	195	48			
193	675	44	-1	0	0	67	65	97	33	Kinh Cúc		Làm khó	-1	-1	-1	161	286			
194	676	44	-1	0	0	70	68	100	33	Ðông Thích		Tuy®t thª häo nam nhi	-1	-1	-1	163	284			
195	679	44	-1	0	0	70	68	100	33	Th¦m VÕn Tam		D×ng xe Phong Lâm ðêm	-1	-1	-1	170	74			
196	681	45	-1	0	0	80	78	110	34	Di®p Lßu Phàm		Nhân v§t k¸ch tình	-1	-1	-1	115	58			
197	683	45	-1	0	0	80	78	110	34	Di®p Lßu Phàm		TÑ Thiêm Danh	682	-1	-1	115	58			
198	685	45	-1	0	0	82	80	112	34	Ðinh Liên Y		Phòng tr¯ng	-1	-1	-1	111	60			
200	689	45	-1	0	0	82	80	112	34	Di®p Lßu Phàm		Khách thuê phòng che m£t	686	-1	-1	115	58			
201	687	45	-1	0	0	82	80	112	34	Di®p Lßu Phàm		Bí m§t v« Lôi Th¥n Ki«u	-1	-1	-1	115	58			
202	693	46	-1	0	0	92	90	122	35	Nguyên TØ Khâm		Thß m§t	692	-1	-1	241	160			
203	695	46	-1	0	0	92	90	122	35	Lång ºc T×		Giäi sñ nghi ng¶	694	-1	-1	247	150			
204	699	46	-1	0	0	94	92	124	35	Lång ºc T×		Ð¯ng ð¤t sÕch cu¯i cùng	698	-1	-1	247	150			
205	573	34	-1	0	0	98	96	128	23	Phù T¸ch Nhan		Món quà t£ng ðau lòng	-1	-1	-1	166	204			
206	574	34	-1	0	0	98	96	128	23	Lßu NgÕo Thiên		Bäo v® thánh v§t	-1	-1	-1	190	48			
207	577	34	-1	0	0	98	96	128	23	Mµ Dung Thiên Lang		Chân tß¾ng	575	576	-1	46	276			
208	579	34	-1	0	0	99	97	129	23	Vû Vån Tô		Luân h°i tình cäm	578	-1	-1	155	195			
209	561	33	-1	0	0	88	86	118	22	Hoàn Nhan Ngµt thu§t		Tr¯n tìm	-1	-1	-1	118	107			
210	552	32	-1	0	0	75	73	105	21	Bá Nhan		Ðu±i theo H¡c Phong	-1	-1	-1	164	199			
211	554	32	-1	0	0	78	76	108	21	Gia Lu§t Kim		Xây dñng lÕi trang trÕi	-1	-1	-1	170	206			
213	658	42	-1	0	0	38	36	68	31	A Thanh		Tr§n ðánh cu¯i cùng	656	657	-1	51	115			
214	678	44	-1	0	0	70	68	100	33	Nguy®t Lý		Ð¥u sö tµi ác	673	674	675	192	70			
215	688	45	-1	0	0	82	80	112	34	ThÕch Cäm Ðß½ng		Vªt máu thÑ 2	687	-1	-1	251	186			
216	602	37	-1	0	0	55	53	85	26	Tr¸nh Huy«n		Vùng ð¤t tuy®t v÷ng	-1	-1	-1	183	164			
218	648	41	-1	0	0	25	23	55	30	Tô Phi		Thª gi¾i hoa cö	645	646	647	164	262			
219	536	30	-1	0	0	48	46	78	19	L² Bình		ThØ thách lòng thành	535	-1	-1	271	50			
220	618	38	-1	0	0	72	70	102	27	A H¡c		Anh hùng cÑu mÛ nhân	615	616	617	278	48			
221	1	51	-1	0	0	20	18	50	2	Tri®u Thiên Sß		Ðèn nhà ai n¤y sáng	-1	-1	-1	160	156			
229	9	48	-1	0	0	30	28	60	2	Tri®u Thiên Sß		Cô Tô Mµ Dung	8	-1	-1	160	156			
236	16	47	-1	0	0	40	38	70	2	Tri®u Thiên Sß		TÑ häi là nhà	15	-1	-1	160	156			
244	24	52	-1	0	0	50	48	80	2	Tri®u Thiên Sß		Bäo v® Mã phu nhân	23	-1	-1	160	156			
253	33	53	-1	0	0	60	58	90	2	Tri®u Thiên Sß		Trân Long kÏ hµi	32	-1	-1	160	156			
258	38	49	-1	0	0	70	68	100	2	Tri®u Thiên Sß		Cuµc thi ðá c¥u vÕn qu¯c	37	-1	-1	160	156			
267	440	13	-1	0	0	1	1	31	2	Tri®u Thiên Sß		Thanh vû khí thÑ nh¤t	-1	-1	-1	160	156			
268	441	13	-1	0	0	1	1	31	2	B° Lß½ng		L¥n ð¥u giao hàng	440	-1	-1	216	133			
269	442	13	-1	0	0	1	1	31	2	Ð² TØ Ð¢ng		Cái bánh bao thÑ nh¤t	441	-1	-1	110	159			
270	443	13	-1	0	0	1	1	31	2	Ð² TØ Ð¢ng		Ph¥n thu¯c thÑ nh¤t	442	-1	-1	110	159			
