INT	INT	INT	INT	INT	INT	INT	INT
81	-1	372	-1	-1	-1	4	56
82	-1	372	-1	-1	-1	5	56
83	-1	372	-1	-1	-1	6	56
84	-1	372	-1	-1	-1	7	56
85	-1	372	-1	-1	-1	8	56
86	-1	372	-1	-1	-1	9	56
87	-1	373	-1	-1	-1	2	57
88	-1	373	-1	-1	-1	3	57
89	-1	373	-1	-1	-1	4	57
90	-1	373	-1	-1	-1	5	57
91	-1	373	-1	-1	-1	6	57
92	-1	373	-1	-1	-1	7	57
93	-1	373	-1	-1	-1	8	57
94	-1	373	-1	-1	-1	9	57
95	-1	379	-1	-1	-1	1	63
96	-1	380	-1	-1	-1	1	96
97	-1	380	-1	-1	-1	2	96
98	-1	380	-1	-1	-1	3	96
99	-1	380	-1	-1	-1	4	96
100	-1	380	-1	-1	-1	5	96
101	-1	380	-1	-1	-1	6	96
102	-1	380	-1	-1	-1	7	96
103	-1	380	-1	-1	-1	8	96
104	-1	380	-1	-1	-1	9	96
106	-1	382	-1	-1	-1	1	106
107	-1	383	-1	-1	-1	1	107
108	-1	384	-1	-1	-1	1	108
109	-1	385	-1	-1	-1	1	109
110	-1	283	-1	-1	-1	2	35
111	-1	283	-1	-1	-1	3	35
112	-1	283	-1	-1	-1	4	35
113	-1	283	-1	-1	-1	5	35
114	-1	283	-1	-1	-1	6	35
115	-1	283	-1	-1	-1	7	35
116	-1	283	-1	-1	-1	8	35
117	-1	283	-1	-1	-1	9	35
118	-1	341	-1	-1	-1	2	41
119	-1	341	-1	-1	-1	3	41
120	-1	341	-1	-1	-1	4	41
121	-1	341	-1	-1	-1	5	41
122	-1	341	-1	-1	-1	6	41
123	-1	341	-1	-1	-1	7	41
124	-1	341	-1	-1	-1	8	41
125	-1	341	-1	-1	-1	9	41
126	-1	395	-1	-1	-1	1	126
129	-1	398	-1	-1	-1	1	398
130	-1	399	-1	-1	-1	1	399
131	-1	400	-1	-1	-1	1	400
133	-1	402	-1	-1	-1	1	402
134	-1	403	-1	-1	-1	1	134
136	-1	405	-1	-1	-1	1	136
137	-1	406	-1	-1	-1	1	137
138	-1	433	-1	-1	-1	1	138
139	-1	434	-1	-1	-1	1	139
140	-1	435	-1	-1	-1	1	140
141	-1	436	-1	-1	-1	1	141
142	-1	446	-1	-1	-1	1	142
143	-1	447	-1	-1	-1	1	143
144	-1	448	-1	-1	-1	1	144
145	-1	449	-1	-1	-1	1	145
146	-1	450	-1	-1	-1	1	146
147	-1	451	-1	-1	-1	1	147
148	-1	452	-1	-1	-1	1	148
149	-1	453	-1	-1	-1	1	149
150	-1	454	-1	-1	-1	1	150
151	-1	455	-1	-1	-1	1	151
152	-1	456	-1	-1	-1	1	152
153	-1	457	-1	-1	-1	1	153
155	-1	459	-1	-1	-1	1	155
172	-1	460	-1	-1	-1	1	172
181	-1	461	-1	-1	-1	1	181
182	-1	462	-1	-1	-1	1	182
183	-1	463	-1	-1	-1	1	183
184	-1	464	-1	-1	-1	1	184
186	-1	465	-1	-1	-1	1	186
194	-1	466	-1	-1	-1	1	194
195	-1	467	-1	-1	-1	1	195
204	-1	468	-1	-1	-1	1	204
213	-1	469	-1	-1	-1	1	213
214	-1	470	-1	-1	-1	1	214
215	-1	471	-1	-1	-1	1	215
220	-1	479	-1	-1	-1	1	220
221	-1	480	-1	-1	-1	1	221
230	-1	481	-1	-1	-1	1	230
231	-1	482	-1	-1	-1	1	231
240	-1	483	-1	-1	-1	1	240
241	-1	484	-1	-1	-1	1	241

#BichMacOLD
999	-1	999	-1	-1	-1	1	999
1000	-1	1000	-1	-1	-1	1	1000
1001	-1	1001	-1	-1	-1	1	1001
1002	-1	1002	-1	-1	-1	1	1002
1003	-1	1003	-1	-1	-1	1	1003
1004	-1	1004	-1	-1	-1	1	1004
1005	-1	1005	-1	-1	-1	1	1005
1006	-1	1006	-1	-1	-1	1	1006
1007	-1	1007	-1	-1	-1	1	1007
1008	-1	1008	-1	-1	-1	1	1008
1010	-1	1010	-1	-1	-1	1	1010
1020	-1	1020	-1	-1	-1	1	1020
1030	-1	1030	-1	-1	-1	1	1030
1031	-1	1031	-1	-1	-1	1	1031
1032	-1	1032	-1	-1	-1	1	1032
1033	-1	1033	-1	-1	-1	1	1033
1034	-1	1034	-1	-1	-1	1	1034
1035	-1	1035	-1	-1	-1	1	1035
1036	-1	1036	-1	-1	-1	1	1036
1037	-1	1037	-1	-1	-1	1	1037
1038	-1	1038	-1	-1	-1	1	1038
1040	-1	1040	-1	-1	-1	1	1040
1050	-1	1050	-1	-1	-1	1	1050
1051	-1	1051	-1	-1	-1	1	1051
1052	-1	1052	-1	-1	-1	1	1052
1053	-1	1053	-1	-1	-1	1	1053
1054	-1	1054	-1	-1	-1	1	1054
1055	-1	1055	-1	-1	-1	1	1055
1056	-1	1056	-1	-1	-1	1	1056
1057	-1	1057	-1	-1	-1	1	1057
1058	-1	1058	-1	-1	-1	1	1058
1059	-1	1059	-1	-1	-1	1	1059
1060	-1	1060	-1	-1	-1	1	1060
1070	-1	1070	-1	-1	-1	1	1070
1080	-1	1080	-1	-1	-1	1	1080
1081	-1	1081	-1	-1	-1	1	1081
1082	-1	1082	-1	-1	-1	1	1082
1083	-1	1083	-1	-1	-1	1	1083
1084	-1	1084	-1	-1	-1	1	1084
1085	-1	1085	-1	-1	-1	1	1085
1086	-1	1086	-1	-1	-1	1	1086
1087	-1	1087	-1	-1	-1	1	1087
1088	-1	1088	-1	-1	-1	1	1088
1090	-1	1090	-1	-1	-1	1	1090
1100	-1	1100	-1	-1	-1	1	1100
1110	-1	1110	-1	-1	-1	1	1110
1120	-1	1120	-1	-1	-1	1	1120
1130	-1	1130	-1	-1	-1	1	1130
1140	-1	1140	-1	-1	-1	1	1140
1150	-1	1150	-1	-1	-1	1	1150
1151	-1	1151	-1	-1	-1	1	1151
1152	-1	1152	-1	-1	-1	1	1152
1153	-1	1153	-1	-1	-1	1	1153
1154	-1	1154	-1	-1	-1	1	1154
1155	-1	1155	-1	-1	-1	1	1155
1156	-1	1156	-1	-1	-1	1	1156
1157	-1	1157	-1	-1	-1	1	1157
1158	-1	1158	-1	-1	-1	1	1158
1159	-1	1159	-1	-1	-1	1	1159
1160	-1	1160	-1	-1	-1	1	1160
1170	-1	1170	-1	-1	-1	1	1170
1180	-1	1180	-1	-1	-1	1	1180
1190	-1	1190	-1	-1	-1	1	1190
1200	-1	1200	-1	-1	-1	1	1200
1210	-1	1210	-1	-1	-1	1	1210
1220	-1	1220	-1	-1	-1	1	1220
1230	-1	1230	-1	-1	-1	1	1230
1240	-1	1240	-1	-1	-1	1	1240
1241	-1	1241	-1	-1	-1	1	1241
1242	-1	1242	-1	-1	-1	1	1242
1243	-1	1243	-1	-1	-1	1	1243
1244	-1	1244	-1	-1	-1	1	1244
1245	-1	1245	-1	-1	-1	1	1245
1246	-1	1246	-1	-1	-1	1	1246
1247	-1	1247	-1	-1	-1	1	1247
1248	-1	1248	-1	-1	-1	1	1248
1250	-1	1250	-1	-1	-1	1	1250
1260	-1	1260	-1	-1	-1	1	1260
1270	-1	1270	-1	-1	-1	1	1270
1280	-1	1280	-1	-1	-1	1	1280
1290	-1	1290	-1	-1	-1	1	1290
1300	-1	1300	-1	-1	-1	1	1300
1301	-1	1301	-1	-1	-1	1	1301
1302	-1	1302	-1	-1	-1	1	1302
1303	-1	1303	-1	-1	-1	1	1303
1304	-1	1304	-1	-1	-1	1	1304
1305	-1	1305	-1	-1	-1	1	1305
1306	-1	1306	-1	-1	-1	1	1306
1307	-1	1307	-1	-1	-1	1	1307
1308	-1	1308	-1	-1	-1	1	1308
1310	-1	1310	-1	-1	-1	1	1310
1311	-1	1311	-1	-1	-1	1	1311
1312	-1	1312	-1	-1	-1	1	1312
1313	-1	1313	-1	-1	-1	1	1313
1314	-1	1314	-1	-1	-1	1	1314
1315	-1	1315	-1	-1	-1	1	1315
1316	-1	1316	-1	-1	-1	1	1316
1317	-1	1317	-1	-1	-1	1	1317
1318	-1	1318	-1	-1	-1	1	1318
1320	-1	1320	-1	-1	-1	1	1320
1330	-1	1330	-1	-1	-1	1	1330
1331	-1	1331	-1	-1	-1	1	1331
1332	-1	1332	-1	-1	-1	1	1332
1333	-1	1333	-1	-1	-1	1	1333
1334	-1	1334	-1	-1	-1	1	1334
1335	-1	1335	-1	-1	-1	1	1335
1336	-1	1336	-1	-1	-1	1	1336
1337	-1	1337	-1	-1	-1	1	1337
1338	-1	1338	-1	-1	-1	1	1338
1340	-1	1340	-1	-1	-1	1	1340
1350	-1	1350	-1	-1	-1	1	1350
1360	-1	1360	-1	-1	-1	1	1360
1370	-1	1370	-1	-1	-1	1	1370
1380	-1	1380	-1	-1	-1	1	1380
1390	-1	1390	-1	-1	-1	1	1390
1400	-1	1400	-1	-1	-1	1	1400
1410	-1	1410	-1	-1	-1	1	1410
1420	-1	1420	-1	-1	-1	1	1420
1430	-1	1430	-1	-1	-1	1	1430
1440	-1	1440	-1	-1	-1	1	1440
1450	-1	1450	-1	-1	-1	1	1450
1460	-1	1460	-1	-1	-1	1	1460
1470	-1	1470	-1	-1	-1	1	1470
1480	-1	1480	-1	-1	-1	1	1480
1490	-1	1490	-1	-1	-1	1	1490
1500	-1	1500	-1	-1	-1	1	1500
1510	-1	1510	-1	-1	-1	1	1510
1520	-1	1520	-1	-1	-1	1	1520
1530	-1	1530	-1	-1	-1	1	1530
1540	-1	1540	-1	-1	-1	1	1540
1550	-1	1550	-1	-1	-1	1	1550
1560	-1	1560	-1	-1	-1	1	1560
1561	-1	1561	-1	-1	-1	1	1561
1562	-1	1562	-1	-1	-1	1	1562
1563	-1	1563	-1	-1	-1	1	1563
1564	-1	1564	-1	-1	-1	1	1564
1565	-1	1565	-1	-1	-1	1	1565
1566	-1	1566	-1	-1	-1	1	1566
1567	-1	1567	-1	-1	-1	1	1567
1568	-1	1568	-1	-1	-1	1	1568
1570	-1	1570	-1	-1	-1	1	1570
1571	-1	1571	-1	-1	-1	1	1571
1572	-1	1572	-1	-1	-1	1	1572
1573	-1	1573	-1	-1	-1	1	1573
1574	-1	1574	-1	-1	-1	1	1574
1575	-1	1575	-1	-1	-1	1	1575
1576	-1	1576	-1	-1	-1	1	1576
1577	-1	1577	-1	-1	-1	1	1577
1578	-1	1578	-1	-1	-1	1	1578
1579	-1	1579	-1	-1	-1	1	1579
1580	-1	1580	-1	-1	-1	1	1580
1581	-1	1581	-1	-1	-1	1	1581
1582	-1	1582	-1	-1	-1	1	1582
1583	-1	1583	-1	-1	-1	1	1583
1584	-1	1584	-1	-1	-1	1	1584
1585	-1	1585	-1	-1	-1	1	1585
1586	-1	1586	-1	-1	-1	1	1586
1587	-1	1587	-1	-1	-1	1	1587
1588	-1	1588	-1	-1	-1	1	1588
1590	-1	1590	-1	-1	-1	1	1590
1600	-1	1600	-1	-1	-1	1	1600
1610	-1	1610	-1	-1	-1	1	1610
1620	-1	1620	-1	-1	-1	1	1620
1630	-1	1630	-1	-1	-1	1	1630
1640	-1	1640	-1	-1	-1	1	1640
1641	-1	1641	-1	-1	-1	1	1641
1642	-1	1642	-1	-1	-1	1	1642
1643	-1	1643	-1	-1	-1	1	1643
1644	-1	1644	-1	-1	-1	1	1644
1645	-1	1645	-1	-1	-1	1	1645
1646	-1	1646	-1	-1	-1	1	1646
1647	-1	1647	-1	-1	-1	1	1647
1648	-1	1648	-1	-1	-1	1	1648
1650	-1	1650	-1	-1	-1	1	1650
1660	-1	1660	-1	-1	-1	1	1660
1670	-1	1670	-1	-1	-1	1	1670
1680	-1	1680	-1	-1	-1	1	1680
1690	-1	1690	-1	-1	-1	1	1690
1700	-1	1700	-1	-1	-1	1	1700
1701	-1	1701	-1	-1	-1	1	1701
1702	-1	1702	-1	-1	-1	1	1702
1703	-1	1703	-1	-1	-1	1	1703
1704	-1	1704	-1	-1	-1	1	1704
1705	-1	1705	-1	-1	-1	1	1705
1706	-1	1706	-1	-1	-1	1	1706
1707	-1	1707	-1	-1	-1	1	1707
1708	-1	1708	-1	-1	-1	1	1708
1710	-1	1710	-1	-1	-1	1	1710
1711	-1	1711	-1	-1	-1	1	1711
1712	-1	1712	-1	-1	-1	1	1712
1713	-1	1713	-1	-1	-1	1	1713
1714	-1	1714	-1	-1	-1	1	1714
1715	-1	1715	-1	-1	-1	1	1715
1716	-1	1716	-1	-1	-1	1	1716
1717	-1	1717	-1	-1	-1	1	1717
1718	-1	1718	-1	-1	-1	1	1718
1719	-1	1719	-1	-1	-1	1	1719
1720	-1	1720	-1	-1	-1	1	1720
1730	-1	1730	-1	-1	-1	1	1730
1740	-1	1740	-1	-1	-1	1	1740
1750	-1	1750	-1	-1	-1	1	1750
1751	-1	1751	-1	-1	-1	1	1751
1752	-1	1752	-1	-1	-1	1	1752
1753	-1	1753	-1	-1	-1	1	1753
1754	-1	1754	-1	-1	-1	1	1754
1755	-1	1755	-1	-1	-1	1	1755
1756	-1	1756	-1	-1	-1	1	1756
1757	-1	1757	-1	-1	-1	1	1757
1758	-1	1758	-1	-1	-1	1	1758
1759	-1	1759	-1	-1	-1	1	1759
1760	-1	1760	-1	-1	-1	1	1760
1761	-1	1761	-1	-1	-1	1	1761
1762	-1	1762	-1	-1	-1	1	1762
1763	-1	1763	-1	-1	-1	1	1763
1764	-1	1764	-1	-1	-1	1	1764
1765	-1	1765	-1	-1	-1	1	1765
1766	-1	1766	-1	-1	-1	1	1766
1767	-1	1767	-1	-1	-1	1	1767
1768	-1	1768	-1	-1	-1	1	1768
1770	-1	1770	-1	-1	-1	1	1770
1771	-1	1771	-1	-1	-1	1	1771
1772	-1	1772	-1	-1	-1	1	1772
1773	-1	1773	-1	-1	-1	1	1773
1774	-1	1774	-1	-1	-1	1	1774
1775	-1	1775	-1	-1	-1	1	1775
1776	-1	1776	-1	-1	-1	1	1776
1777	-1	1777	-1	-1	-1	1	1777
1778	-1	1778	-1	-1	-1	1	1778
1780	-1	1780	-1	-1	-1	1	1780
1781	-1	1781	-1	-1	-1	1	1781
1782	-1	1782	-1	-1	-1	1	1782
1783	-1	1783	-1	-1	-1	1	1783
1784	-1	1784	-1	-1	-1	1	1784
1785	-1	1785	-1	-1	-1	1	1785
1786	-1	1786	-1	-1	-1	1	1786
1787	-1	1787	-1	-1	-1	1	1787
1788	-1	1788	-1	-1	-1	1	1788
1789	-1	1789	-1	-1	-1	1	1789
1790	-1	1790	-1	-1	-1	1	1790
1800	-1	1800	-1	-1	-1	1	1800
1801	-1	1801	-1	-1	-1	1	1801
1802	-1	1802	-1	-1	-1	1	1802
1803	-1	1803	-1	-1	-1	1	1803
1804	-1	1804	-1	-1	-1	1	1804
1805	-1	1805	-1	-1	-1	1	1805
1806	-1	1806	-1	-1	-1	1	1806
1807	-1	1807	-1	-1	-1	1	1807
1808	-1	1808	-1	-1	-1	1	1808
1810	-1	1810	-1	-1	-1	1	1810
1811	-1	1811	-1	-1	-1	1	1811
1812	-1	1812	-1	-1	-1	1	1812
1813	-1	1813	-1	-1	-1	1	1813
1814	-1	1814	-1	-1	-1	1	1814
1815	-1	1815	-1	-1	-1	1	1815
1816	-1	1816	-1	-1	-1	1	1816
1817	-1	1817	-1	-1	-1	1	1817
1818	-1	1818	-1	-1	-1	1	1818
1820	-1	1820	-1	-1	-1	1	1820
1821	-1	1821	-1	-1	-1	1	1821
1822	-1	1822	-1	-1	-1	1	1822
1823	-1	1823	-1	-1	-1	1	1823
1824	-1	1824	-1	-1	-1	1	1824
1825	-1	1825	-1	-1	-1	1	1825
1826	-1	1826	-1	-1	-1	1	1826
1827	-1	1827	-1	-1	-1	1	1827
1828	-1	1828	-1	-1	-1	1	1828
1830	-1	1830	-1	-1	-1	1	1830
1831	-1	1831	-1	-1	-1	1	1831
1832	-1	1832	-1	-1	-1	1	1832
1833	-1	1833	-1	-1	-1	1	1833
1834	-1	1834	-1	-1	-1	1	1834
1835	-1	1835	-1	-1	-1	1	1835
1836	-1	1836	-1	-1	-1	1	1836
1837	-1	1837	-1	-1	-1	1	1837
1838	-1	1838	-1	-1	-1	1	1838
1840	-1	1840	-1	-1	-1	1	1840
1850	-1	1850	-1	-1	-1	1	1850
1851	-1	1851	-1	-1	-1	1	1851
1852	-1	1852	-1	-1	-1	1	1852
1853	-1	1853	-1	-1	-1	1	1853
1854	-1	1854	-1	-1	-1	1	1854
1855	-1	1855	-1	-1	-1	1	1855
1856	-1	1856	-1	-1	-1	1	1856
1857	-1	1857	-1	-1	-1	1	1857
1858	-1	1858	-1	-1	-1	1	1858
1860	-1	1860	-1	-1	-1	1	1860
1870	-1	1870	-1	-1	-1	1	1870
1880	-1	1880	-1	-1	-1	1	1880
1890	-1	1890	-1	-1	-1	1	1890
1891	-1	1891	-1	-1	-1	1	1891
1892	-1	1892	-1	-1	-1	1	1892
1893	-1	1893	-1	-1	-1	1	1893
1894	-1	1894	-1	-1	-1	1	1894
1895	-1	1895	-1	-1	-1	1	1895
1896	-1	1896	-1	-1	-1	1	1896
1897	-1	1897	-1	-1	-1	1	1897
1898	-1	1898	-1	-1	-1	1	1898
1900	-1	1900	-1	-1	-1	1	1900
1910	-1	1910	-1	-1	-1	1	1910
1911	-1	1911	-1	-1	-1	1	1911
1912	-1	1912	-1	-1	-1	1	1912
1913	-1	1913	-1	-1	-1	1	1913
1914	-1	1914	-1	-1	-1	1	1914
1915	-1	1915	-1	-1	-1	1	1915
1916	-1	1916	-1	-1	-1	1	1916
1917	-1	1917	-1	-1	-1	1	1917
1918	-1	1918	-1	-1	-1	1	1918
1920	-1	1920	-1	-1	-1	1	1920
1930	-1	1930	-1	-1	-1	1	1930
1940	-1	1940	-1	-1	-1	1	1940
1950	-1	1950	-1	-1	-1	1	1950
1960	-1	1960	-1	-1	-1	1	1960
1970	-1	1970	-1	-1	-1	1	1970
1980	-1	1980	-1	-1	-1	1	1980
1990	-1	1990	-1	-1	-1	1	1990
1991	-1	1991	-1	-1	-1	1	1991
1992	-1	1992	-1	-1	-1	1	1992
1993	-1	1993	-1	-1	-1	1	1993
1994	-1	1994	-1	-1	-1	1	1994
1995	-1	1995	-1	-1	-1	1	1995
1996	-1	1996	-1	-1	-1	1	1996
1997	-1	1997	-1	-1	-1	1	1997
1998	-1	1998	-1	-1	-1	1	1998
2000	-1	2000	-1	-1	-1	1	2000
2001	-1	2001	-1	-1	-1	1	2001
2002	-1	2002	-1	-1	-1	1	2002
2003	-1	2003	-1	-1	-1	1	2003
2004	-1	2004	-1	-1	-1	1	2004
2005	-1	2005	-1	-1	-1	1	2005
2006	-1	2006	-1	-1	-1	1	2006
2007	-1	2007	-1	-1	-1	1	2007
2008	-1	2008	-1	-1	-1	1	2008
2010	-1	2010	-1	-1	-1	1	2010
2011	-1	2011	-1	-1	-1	1	2011
2012	-1	2012	-1	-1	-1	1	2012
2013	-1	2013	-1	-1	-1	1	2013
2014	-1	2014	-1	-1	-1	1	2014
2015	-1	2015	-1	-1	-1	1	2015
2016	-1	2016	-1	-1	-1	1	2016
2017	-1	2017	-1	-1	-1	1	2017
2018	-1	2018	-1	-1	-1	1	2018
2020	-1	2020	-1	-1	-1	1	2020
2021	-1	2021	-1	-1	-1	1	2021
2022	-1	2022	-1	-1	-1	1	2022
2023	-1	2023	-1	-1	-1	1	2023
2024	-1	2024	-1	-1	-1	1	2024
2025	-1	2025	-1	-1	-1	1	2025
2026	-1	2026	-1	-1	-1	1	2026
2027	-1	2027	-1	-1	-1	1	2027
2028	-1	2028	-1	-1	-1	1	2028
2030	-1	2030	-1	-1	-1	1	2030
2040	-1	2040	-1	-1	-1	1	2040
2041	-1	2041	-1	-1	-1	1	2041
2042	-1	2042	-1	-1	-1	1	2042
2043	-1	2043	-1	-1	-1	1	2043
2044	-1	2044	-1	-1	-1	1	2044
2045	-1	2045	-1	-1	-1	1	2045
2046	-1	2046	-1	-1	-1	1	2046
2047	-1	2047	-1	-1	-1	1	2047
2048	-1	2048	-1	-1	-1	1	2048
2050	-1	2050	-1	-1	-1	1	2050
2051	-1	2051	-1	-1	-1	1	2051
2052	-1	2052	-1	-1	-1	1	2052
2053	-1	2053	-1	-1	-1	1	2053
2054	-1	2054	-1	-1	-1	1	2054
2055	-1	2055	-1	-1	-1	1	2055
2056	-1	2056	-1	-1	-1	1	2056
2057	-1	2057	-1	-1	-1	1	2057
2058	-1	2058	-1	-1	-1	1	2058
2060	-1	2060	-1	-1	-1	1	2060
2061	-1	2061	-1	-1	-1	1	2061
2062	-1	2062	-1	-1	-1	1	2062
2063	-1	2063	-1	-1	-1	1	2063
2064	-1	2064	-1	-1	-1	1	2064
2065	-1	2065	-1	-1	-1	1	2065
2066	-1	2066	-1	-1	-1	1	2066
2067	-1	2067	-1	-1	-1	1	2067
2068	-1	2068	-1	-1	-1	1	2068
2069	-1	2069	-1	-1	-1	1	2069
2070	-1	2070	-1	-1	-1	1	2070
2080	-1	2080	-1	-1	-1	1	2080
2081	-1	2081	-1	-1	-1	1	2081
2082	-1	2082	-1	-1	-1	1	2082
2083	-1	2083	-1	-1	-1	1	2083
2084	-1	2084	-1	-1	-1	1	2084
2085	-1	2085	-1	-1	-1	1	2085
2086	-1	2086	-1	-1	-1	1	2086
2087	-1	2087	-1	-1	-1	1	2087
2088	-1	2088	-1	-1	-1	1	2088
2089	-1	2089	-1	-1	-1	1	2089
2090	-1	2090	-1	-1	-1	1	2090
2100	-1	2100	-1	-1	-1	1	2100
2110	-1	2110	-1	-1	-1	1	2110
2111	-1	2111	-1	-1	-1	1	2111
2112	-1	2112	-1	-1	-1	1	2112
2113	-1	2113	-1	-1	-1	1	2113
2114	-1	2114	-1	-1	-1	1	2114
2115	-1	2115	-1	-1	-1	1	2115
2116	-1	2116	-1	-1	-1	1	2116
2117	-1	2117	-1	-1	-1	1	2117
2118	-1	2118	-1	-1	-1	1	2118
2120	-1	2120	-1	-1	-1	1	2120
2121	-1	2121	-1	-1	-1	1	2121
2122	-1	2122	-1	-1	-1	1	2122
2123	-1	2123	-1	-1	-1	1	2123
2124	-1	2124	-1	-1	-1	1	2124
2125	-1	2125	-1	-1	-1	1	2125
2126	-1	2126	-1	-1	-1	1	2126
2127	-1	2127	-1	-1	-1	1	2127
2128	-1	2128	-1	-1	-1	1	2128
2130	-1	2130	-1	-1	-1	1	2130
2140	-1	2140	-1	-1	-1	1	2140
2141	-1	2141	-1	-1	-1	1	2141
2142	-1	2142	-1	-1	-1	1	2142
2143	-1	2143	-1	-1	-1	1	2143
2144	-1	2144	-1	-1	-1	1	2144
2145	-1	2145	-1	-1	-1	1	2145
2146	-1	2146	-1	-1	-1	1	2146
2147	-1	2147	-1	-1	-1	1	2147
2148	-1	2148	-1	-1	-1	1	2148
2150	-1	2150	-1	-1	-1	1	2150
2160	-1	2160	-1	-1	-1	1	2160
2170	-1	2170	-1	-1	-1	1	2170
2171	-1	2171	-1	-1	-1	1	2171
2172	-1	2172	-1	-1	-1	1	2172
2173	-1	2173	-1	-1	-1	1	2173
2174	-1	2174	-1	-1	-1	1	2174
2175	-1	2175	-1	-1	-1	1	2175
2176	-1	2176	-1	-1	-1	1	2176
2177	-1	2177	-1	-1	-1	1	2177
2178	-1	2178	-1	-1	-1	1	2178
2180	-1	2180	-1	-1	-1	1	2180
2190	-1	2190	-1	-1	-1	1	2190
2200	-1	2200	-1	-1	-1	1	2200
2210	-1	2210	-1	-1	-1	1	2210
2220	-1	2220	-1	-1	-1	1	2220
2230	-1	2230	-1	-1	-1	1	2230
2240	-1	2240	-1	-1	-1	1	2240
2241	-1	2241	-1	-1	-1	1	2241
2242	-1	2242	-1	-1	-1	1	2242
2243	-1	2243	-1	-1	-1	1	2243
2244	-1	2244	-1	-1	-1	1	2244
2245	-1	2245	-1	-1	-1	1	2245
2246	-1	2246	-1	-1	-1	1	2246
2247	-1	2247	-1	-1	-1	1	2247
2248	-1	2248	-1	-1	-1	1	2248
2250	-1	2250	-1	-1	-1	1	2250
2260	-1	2260	-1	-1	-1	1	2260
2270	-1	2270	-1	-1	-1	1	2270
2271	-1	2271	-1	-1	-1	1	2271
2272	-1	2272	-1	-1	-1	1	2272
2273	-1	2273	-1	-1	-1	1	2273
2274	-1	2274	-1	-1	-1	1	2274
2275	-1	2275	-1	-1	-1	1	2275
2276	-1	2276	-1	-1	-1	1	2276
2277	-1	2277	-1	-1	-1	1	2277
2278	-1	2278	-1	-1	-1	1	2278
2280	-1	2280	-1	-1	-1	1	2280
2290	-1	2290	-1	-1	-1	1	2290
