INT	STRING	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	INT
26	Â½Îá	1	1029	0.6	440	24	attach1	24	attach1	-1	1
27	Ä¾Å£Á÷Âí	1	1030	0.6	439	25	attach1	25	attach1	-1	1
28	ÍÒÄñ	1	1031	0.6	436	23	attach1	23	attach1	-1	1
29	Ï¬Å£	2	1032	0.7	442	23	attach1	23	attach2	-1	1
30	ĞÜ	1	1033	0.6	438	25	attach1	25	attach1	-1	1
31	Ğş¹ê	2	1034	0.5	441	26	attach1	26	attach2	-1	1
32	·ûÎÄÆïÊ¿	1	1035	0.6	437	24	attach1	24	attach1	-1	1
33	ºÓÂí	2	1036	0.7	430	23	attach1	23	attach2	-1	1
34	Âí³µ	1	1037	0.7	431	27	attach1	27	attach1	-1	-1
35	ÌìÂí	1	1038	0.7	432	25	attach1	25	attach1	-1	1
36	ÍÃ×Ó	1	1039	0.7	433	26	attach1	26	attach1	-1	1
37	ÎèÊ¨	1	1040	0.7	434	23	attach1	23	attach1	-1	1
38	Ñ±Â¹	1	1041	0.7	435	25	attach1	25	attach1	-1	1
39	Ñ©Óğ	1	1042	0.7	429	28	attach1	28	attach1	-1	-1
40	»Æ½íÁ¦Ê¿	1	1043	0.7	427	26	attach1	26	attach1	-1	1
41	´ó·ç	2	1044	0.7	428	23	attach2	23	attach1	-1	-1
42	Ñ©ÇÁ	2	1045	0.7	425	27	attach1	27	attach2	-1	-1
43	×Ïµç	2	1046	0.7	426	23	attach1	23	attach2	-1	1
44	Ú¤Óğ	1	1061	0.7	424	28	attach1	28	attach1	-1	-1
45	ÈçÒâĞÜ	1	2051	0.6	438	25	attach1	25	attach1	-1	1
46	±ÌË®½ğ¾¦ÊŞ	1	2172	0.7	532	23	attach1	23	attach1	-1	1
47	Ğı×ªÄ¾Âí	2	2244	0.7	1079	23	attach1	23	attach2	-1	-1
48	ÄêÊŞ	1	2253	0.7	1077	23	attach1	23	attach1	-1	1
49	»¨³µ	2	2254	0.6	1078	26	attach1	26	attach2	-1	-1
50	°×ÔÆ	1	2293	0.7	1080	23	attach1	23	attach1	-1	1
51	ºÚÍÁ	1	2294	0.7	1081	23	attach1	23	attach1	-1	1
52	¾ŞÔ³	1	5023	0.7	1083	26	attach1	26	attach1	-1	1
53	ğÍÓ°µñ	1	2365	0.5	1089	23	attach1	12	attach1	-1	-1
54	ÁğÁ§·ï	1	2366	0.5	1084	23	attach1	15	attach1	-1	-1
55	ÈğÁ«º×	1	2367	0.9	1090	26	attach1	14	attach1	-1	-1
56	ÈçÒâ»¢	1	2368	0.5	1087	23	attach1	9	attach1	-1	1
57	ÒøÔÂÀÇ	1	2369	0.5	1085	23	attach1	11	attach1	-1	1
58	Æß²ÊÂ¹	1	2370	0.6	1091	23	attach1	13	attach1	-1	1
59	ÁúÑªÂí	1	2371	0.6	1088	23	attach1	10	attach1	-1	1
60	ÇàêóÅ£	1	2372	0.6	1092	23	attach1	17	attach1	-1	1
61	ÁÒÑæÊ¨	1	2373	0.6	1086	23	attach1	19	attach1	-1	1
62	»ÃÓğ	1	2376	0.7	541	28	attach1	28	attach1	-1	-1
63	ÉÁµçõõ	1	2399	0.6	1093	25	attach1	25	attach1	-1	1
64	µûÓğ	1	2419	0.7	1094	28	attach1	28	attach1	-1	-1
65	°ÍÌì»¢	1	2492	0.7	1095	23	attach1	23	attach1	-1	1
66	ÁçÑò	1	2508	0.6	1097	25	attach1	25	attach1	-1	1
67	Ñ©ÁçÑò	1	2509	0.6	1098	25	attach1	25	attach1	-1	1
68	ÓÄ¹âÁç	1	2510	0.6	1099	23	attach1	17	attach1	-1	1
69	·ÉÁúÒÎ	2	2512	0.6	1096	26	attach1	26	attach2	-1	-1
70	»ğÑæõõ	1	2551	0.6	1123	25	attach1	25	attach1	-1	1
71	ĞÜÃ¨	1	2552	0.7	1124	23	attach1	23	attach1	-1	1
72	À×ÈĞÊŞ	1	2553	0.7	1125	23	attach1	23	attach1	-1	1
73	³à÷ÈÓ¥	2	2554	0.7	1126	23	attach1	23	attach2	-1	-1
74	°µ÷ÈÓ¥	2	2555	0.7	1127	23	attach1	23	attach2	-1	-1
75	×Ï÷ÈÓ¥	2	2556	0.7	1128	23	attach1	23	attach2	-1	-1
76	¿İÄ¾¿şÀÜ	1	2597	0.7	1129	26	attach1	26	attach1	-1	1
77	»ğÔÆĞ°ÊŞ	1	2598	0.7	1130	23	attach1	23	attach1	-1	1
78	ĞşÌìÀ×ÊŞ	1	2599	0.7	1131	23	attach1	23	attach1	-1	1
79	¾ÅÖİÉñÁú	6	2674	0.7	1140	23	attach1	23	attach2	-1	-1
80	ÔÂÍÃ	1	2686	0.7	1141	26	attach1	26	attach1	-1	1
81	½­ÄÏËø¼×Âí	1	2727	0.6	1142	23	attach1	10	attach1	-1	1
82	´óÄ®½ğ¸êÂí	1	2728	0.6	1143	23	attach1	10	attach1	-1	1
83	ÑÌÓêÇåºÉ	1	2780	0.6	1146	26	attach1	26	attach1	-1	-1
84	»Ã»ğ³à÷ëÊŞ	1	2778	0.6	1147	23	attach1	10	attach1	-1	1
85	ÖË×ã¹íÂí	1	2779	0.6	1150	23	attach1	10	attach1	-1	1
86	Ìí¸£½õÁÛ	1	2781	0.7	1149	23	attach1	23	attach1	-1	-1
87	Ìì¹¤ÁáççÊó	1	2782	0.7	1148	26	attach1	26	attach1	-1	1
88	Â½ĞĞÄñ	1	2783	0.7	1145	23	attach1	23	attach1	-1	1
89	½ğ÷ëÎèÊ¨	1	2798	0.7	1151	23	attach1	23	attach1	-1	1
90	¼Ä¾ÓĞ·	2	2801	0.7	1152	26	attach1	26	attach2	-1	1
91	Æß±¦Á«×ù	2	2838	0.6	1154	26	attach1	26	attach2	-1	-1
92	³à÷ë°×Ôó	1	2840	0.7	1155	23	attach1	23	attach1	-1	1
93	Çà÷ë°×Ôó	1	2839	0.7	1156	23	attach1	23	attach1	-1	1
94	½ğ³á	1	2841	0.7	1153	23	attach1	23	attach1	-1	-1
95	½ğ³á¸½¼ş	1	2841	0.7	-1	23	attach1	23	attach1	-1	-1
96	ôä´äÓù¼İ	6	2926	0.7	1160	26	attach1	26	attach2	-1	-1
97	ÑÌÓêÇåºÉ¸½¼ş	1	2780	0.6	-1	26	attach1	26	attach1	-1	-1
98	ÁÒÑæ¿ñÏ¬	1	2962	0.7	1157	23	attach1	23	attach1	-1	1
99	Í¯×ÓÌ¨	2	2963	0.7	1158	26	attach1	26	attach2	-1	1
100	ÔÂ°×òÔÂí	1	2964	0.7	1159	25	attach1	25	attach1	-1	1
102	³õ¼¶ÄêÊŞ×øÆï	1	5004	0.7	1077	23	attach1	23	attach1	-1	1
103	ÖĞ¼¶ÄêÊŞ×øÆï	1	5005	0.7	1077	23	attach1	23	attach1	-1	1
104	¸ß¼¶ÄêÊŞ×øÆï	1	5006	0.7	1077	23	attach1	23	attach1	-1	1
151	´ó·ç	2	2958	0.7	428	23	attach2	23	attach1	-1	-1
152	´ó·ç¸½¼ş	2	2958	0.7	-1	23	attach2	23	attach1	-1	-1
153	½ğ³áÀ¶É«	1	2842	0.7	1161	23	attach1	23	attach1	-1	-1
154	½ğ³áÇàÉ«	1	2843	0.7	1162	23	attach1	23	attach1	-1	-1
155	½ğ³áÀ¶É«¸½¼ş	1	2842	0.7	-1	23	attach1	23	attach1	-1	-1
156	½ğ³áÇàÉ«¸½¼ş	1	2843	0.7	-1	23	attach1	23	attach1	-1	-1
157	°ÁÑ©ÁéÊ¨	1	2978	0.7	1163	23	attach1	23	attach1	-1	1
158	°ÔÊÀÓğÁú	2	3016	0.7	1194	23	attach2	23	attach1	-1	1
159	°ÔÊÀÓğÁú¸½¼ş	2	3016	0.7	-1	23	attach2	23	attach1	-1	1
160	ÇàÒíÕ½Áú	2	3018	0.7	1195	23	attach2	23	attach1	-1	1
161	ÇàÒíÕ½Áú¸½¼ş	2	3018	0.7	-1	23	attach2	23	attach1	-1	1
162	¾øÔÆìÍÁú	2	3017	0.7	1196	23	attach2	23	attach1	-1	1
163	¾øÔÆìÍÁú¸½¼ş	2	3017	0.7	-1	23	attach2	23	attach1	-1	1
164	¸£ÈğÑ©õõ	2	3210	0.6	1212	25	attach1	25	attach1	-1	1
165	ºìÃ·Èí¼İ	2	3256	0.7	1213	26	attach1	26	attach2	-1	-1
166	½ğÓğ	1	5062	0.7	1208	28	attach1	28	attach1	-1	-1
167	Ú¤Ğ°ÊŞ	1	3306	0.7	1209	23	attach1	23	attach1	-1	-1
168	ÁÒ»ğ½ğ¸Õ	1	3310	0.7	1210	26	attach1	26	attach1	-1	1
169	³àÏöÑ×ÀÇ	1	3320	0.7	1211	23	attach1	23	attach1	-1	1
171	÷ÈÓğ	1	3362	0.7	1149	28	attach1	28	attach1	-1	-1
172	ÌìºÓÁéÈµ	1	3363	0.5	1150	26	attach1	15	attach1	-1	-1
173	°×±ÌË®½ğ¾¦ÊŞ	1	3545	0.7	1151	23	attach1	23	attach1	-1	1
174	ºÚÌìÂí	1	3544	0.7	1152	25	attach1	25	attach1	-1	1
175	ĞşÍ®º£Áú	1	3555	0.7	1153	23	attach1	23	attach1	-1	1
176	ÓÄÀ¶º£Áú	1	3556	0.7	1154	23	attach1	23	attach1	-1	1
177	°µÑ×¿ªÃ÷ÊŞ	1	3585	0.7	1155	23	attach1	23	attach1	-1	1
178	Ñş¹â¿ªÃ÷ÊŞ	1	3586	0.7	1156	23	attach1	23	attach1	-1	1
179	ĞÇºçÔÆÖÛ	2	3597	0.7	1222	26	attach1	26	attach2	-1	-1
180	°µÑ×Ú¤Ê¨	1	3619	0.7	1223	23	attach1	23	attach1	-1	1
181	ÓÄÁéĞÜ	1	3620	0.6	1223	25	attach1	25	attach1	-1	1
182	Â½ĞĞº×	1	3621	0.7	1145	23	attach1	23	attach1	-1	1
183	±ª	1	3623	0.5	-1	23	attach1	23	attach1	-1	1
184	°×±ª	1	3624	0.5	-1	23	attach1	23	attach1	-1	1
185	°µÓ°±ª	1	3625	0.6	-1	23	attach1	23	attach1	-1	1
186	Ñ×Óğ	1	3631	0.7	1149	28	attach1	28	attach1	-1	-1
187	ÏÄÈÕ±ùÁú	1	3632	0.7	-1	23	attach1	23	attach1	-1	1
188	ºÚÃµ¹å	1	3733	0.7	432	25	attach1	25	attach1	-1	1
189	ÈŞÑ©ÉñÅ£	1	3766	0.7	432	25	attach1	25	attach1	-1	1
190	²×º£Áú¾Ô	1	3769	0.7	432	25	attach1	25	attach1	-1	1
191	°Ù±ä½ğ¸Õ	1	3770	0.7	432	25	attach1	25	attach1	-1	1
192	Æó¶ìÀ­³µ	2	3780	0.7	-1	27	attach1	27	attach2	-1	1
194	ÔÂÂíÏã¾Ô	2	3823	0.7	-1	27	attach1	27	attach2	-1	-1
195	»ğÑæÂí	1	3824	0.7	-1	23	attach1	23	attach2	-1	1
196	±Ì¼×Ğş¹ê	1	3825	0.7	-1	26	attach1	26	attach2	-1	-1
197	º£Áú	2	3826	0.7	1194	23	attach1	23	attach2	-1	1
198	²×À½ÓğÒí	1	3827	0.7	-1	28	attach1	28	attach1	-1	-1
199	ÔÆÏöÓğÒí	1	3828	0.7	-1	28	attach1	28	attach1	-1	-1
200	ÍÅÑòÑò	2	4099	0.7	1079	26	attach1	26	attach2	-1	1
201	ÔÆË®ÇàºÉ	2	4158	0.7	-1	27	attach1	27	attach2	-1	-1
202	×øÆï£ºÁ¶Óü·ï»Ë	1	4159	0.7	-1	26	attach1	26	attach1	-1	-1
203	×øÆï£ºÁÑº£Ä§Áú	1	4160	0.7	-1	25	attach1	25	attach1	-1	1
204	×øÆï£ºÊÉ»ê»¨Ñı	1	4161	0.7	-1	26	attach1	26	attach1	-1	-1
205	Ë®±Ì·Éğ°	1	4164	0.7	-1	26	attach1	26	attach1	-1	-1
206	ç­×Ï·Éğ°	1	4165	0.7	-1	26	attach1	26	attach1	-1	-1
207	¸Ö××ÊŞ	1	4225	0.7	-1	23	attach1	23	attach1	-1	1
208	¹íÂíÁúÖÛ	2	4234	0.7	-1	27	attach1	27	attach2	-1	1
209	ÍûÔÂÁú¾Ô	1	4277	0.7	-1	23	attach1	23	attach1	-1	1
210	Ì¤Ñ©ÎÚæí	1	4278	0.7	-1	23	attach1	23	attach1	-1	1
211	Óñ÷ëÁú	1	4287	0.7	-1	23	attach1	23	attach1	-1	1
212	ÃÎÁéÏÉ¾Ô	1	4332	0.7	-1	23	attach1	23	attach1	-1	1
213	ÃÎ»ÃÏÉ¾Ô	1	4331	0.7	-1	23	attach1	23	attach1	-1	1
214	ÔÆğÀ½õ³µ	2	4333	0.7	-1	27	attach1	27	attach2	-1	-1
215	±ÌË®Áé¾ı	1	4660	0.7	-1	23	attach1	23	attach1	-1	1
216	×ÏÓñÁéÃ¨	1	4452	0.7	-1	23	attach1	23	attach1	-1	1
217	ËØÑ©ÁéÃ¨	1	4454	0.7	-1	23	attach1	23	attach1	-1	1
218	º©±¦ĞÜ	1	4724	0.7	-1	23	attach1	23	attach1	-1	1
219	ºìŞ±ÃÎÒÎ	1	4503	0.7	-1	27	attach1	27	attach1	-1	-1
220	ÁéŞ±ÃÎÒÎ	1	4504	0.7	-1	27	attach1	27	attach1	-1	-1
221	ÁéÎ×È¸Óğ	1	4740	0.7	-1	28	attach1	28	attach1	-1	-1
222	ÁğÁ§È¸Óğ	1	4741	0.7	-1	28	attach1	28	attach1	-1	-1
223	·É»ËÓğÒí	1	4530	0.7	-1	28	attach1	28	attach1	-1	-1
224	Ï²ÇìĞÜÃ¨	1	4769	0.7	-1	23	attach1	23	attach1	-1	1
225	µØ»ğÀëÑ×ÊŞ	1	4797	0.7	-1	23	attach1	23	attach1	-1	1
226	ÌğĞÄ²¼¶¡	1	4808	0.7	-1	27	attach1	27	attach1	-1	-1
231	Õ½ÌìÀÇ	1	5355	0.7	-1	23	attach1	23	attach1	-1	1
232	µûÓğ·Û	1	5394	0.7	-1	28	attach1	28	attach1	-1	-1
233	Ñ©Ñ±Â¹	2	5432	0.7	-1	27	attach1	27	attach2	-1	1

276	×øÆï£º´¿°×½ğÒí	1	6058	0.7	-1	28	attach1	28	attach1	-1	-1
277	×øÆï£ºåªÀ¶Ö®Òí	1	6059	0.7	-1	28	attach1	28	attach1	-1	-1
297	²Ê·ï³ÊÏé	1	6062	0.7	-1	28	attach1	28	attach1	-1	-1
298	·É»ËÒıÃÎ	1	6063	0.7	-1	28	attach1	28	attach1	-1	-1
336	×øÆï£º·öÒ¡ÍòÀï	1	6064	0.7	-1	28	attach1	28	attach1	-1	-1
337	×øÆï£ºÊ°¹âÁµÓğ	1	6065	0.7	-1	28	attach1	28	attach1	-1	-1
343	ThuCuoi£ºDa Ha Xich Vu	1	6060	0.7	-1	28	attach1	28	attach1	-1	-1
344	ThuCuoi£ºThu Quang Huynh Duc	1	6061	0.7	-1	28	attach1	28	attach1	-1	-1

1080	Luu Ly Diem	2	2341	0.7	1233	26	attach1	26	attach1	-1	1
1081	Luu Ly Diem 01	2	2342	0.7	1233	26	attach1	26	attach1	-1	1
1082	Luu Ly Diem 02	2	2343	0.7	1233	26	attach1	26	attach1	-1	1
1083	Luu Ly Diem 03	2	2344	0.7	1233	26	attach1	26	attach1	-1	1
1084	Luu Ly Diem 04	2	2345	0.7	1233	26	attach1	26	attach1	-1	1
1085	Ngu Dao Ban	2	2346	0.7	1233	26	attach1	26	attach1	-1	1
1086	Ngu Dao Ban 01	2	2347	0.7	1233	26	attach1	26	attach1	-1	1
1087	Ngu Dao Ban 02	2	2348	0.7	1233	26	attach1	26	attach1	-1	1
1088	Ngu Dao Ban 03	2	2349	0.7	1233	26	attach1	26	attach1	-1	1
1089	Ngu Dao Ban 04	2	2350	0.7	1233	26	attach1	26	attach1	-1	1
