INT	INT
10172082	1000
10172083	1000
10172084	1000
10172085	1000
10172086	1000
10172087	1000
10172088	1000
10172089	1000
10172090	1000
10172091	1000
10172092	1000
10172093	1000
10172094	1000
10172095	1000
10172096	1000
10172097	1000
10172098	1000
10172099	1000
10172100	1000
10172101	1000
10172102	1000
10172103	1000
10172104	1000
10172105	1000
10172106	1000
10172107	1000
10172108	1000
10172109	1000
10172110	1000
10172111	1000
10172112	1000
10172113	1000
10172114	1000
10172115	1000
10172116	1000
10172117	1000
10172118	1000
10172119	1000
10172120	1000
10172121	1000
10172122	1000
10172123	1000
10172124	1000
10172125	1000
10172126	1000
10172127	1000
10172128	1000
10172129	1000
10172130	1000
10172131	1000
10172132	1000
10172133	1000
10172134	1000
10172135	1000
10172136	1000
10172137	1000
10172138	1000
10172139	1000
10172140	1000
10172141	1000
10172142	1000
10172143	1000
10172144	1000
10172145	1000
10172146	1000
10172147	1000
10172148	1000
10172149	1000
10172150	1000
10172151	1000
10172152	1000
10172153	1000
10172154	1000
10172155	1000
10172156	1000
10172157	1000
10172158	1000
10172159	1000
10172160	1000
10172161	1000
10172162	1000
10172163	1000
10172164	1000
10172165	1000
10172166	1000
10172167	1000
10172168	1000
10172169	1000
10172170	1000
10173001	600
10173002	600
10173003	600
10173004	600
10173005	600
10173006	600
10173007	600
10173008	600
10173009	600
10173010	600
10173011	600
10173012	600
10173013	600
10173014	600
10173015	600
10173016	600
10173017	600
10173018	600
10173019	600
10173020	600
10173021	600
10173022	600
10173023	600
10173024	600
10173025	600
10173026	600
10173027	600
10173028	600
10173029	600
10173030	600
10173031	600
10173032	600
10173033	600
10173034	600
10173035	600
10173036	600
10173037	600
10173038	600
10173039	600
10173040	600
10173041	600
10173042	600
10173043	600
10173044	600
10173045	600
10173046	600
10173047	600
10173048	600
10173049	600
10173050	600
10173051	600
10173052	600
10173053	600
10173054	600
10173055	600
10173056	600
10173057	600
10173058	600
10173059	600
10173060	600
10173061	600
10173062	600
10173063	600
10173064	600
10173065	600
10173066	600
10173067	600
10173068	600
10173069	600
10173070	600
10173071	600
10173072	600
10173073	600
10173074	600
10173075	600
10173076	600
10173077	600
10173078	600
10173079	600
10173080	600
10173081	600
10173082	600
10173083	600
10173084	600
10173085	600
10173086	600
10173087	600
10173088	600
10173089	600
10173090	600
10173091	600
10173092	600
10173093	600
10173094	600
10173095	600
10173096	600
10173097	600
10173098	600
10173099	600
10173100	600
10173101	600
10173102	600
10173103	600
10173104	600
10173105	600
10173106	600
10173107	600
10173108	600
10173109	600
10173110	600
10173111	600
10173112	600
10173113	600
10173114	600
10173115	600
10173116	600
10173117	600
10173118	600
10173119	600
10173120	600
10173121	600
10173122	600
10173123	600
10173124	600
10173125	600
10173126	600
10173127	600
10173128	600
10173129	600
10173130	600
10173131	600
10173132	600
10173133	600
10173134	600
10173135	600
10173136	600
10173137	600
10173138	600
10173139	600
10173140	600
10173141	600
10173142	600
10173143	600
10173144	600
10173145	600
10173146	600
10173147	600
10173148	600
10173149	600
10173150	600
10173151	600
10173152	600
10173153	600
10173154	600
10173155	600
10173156	600
10173157	600
10173158	600
10173159	600
10173160	600
10173161	600
10173162	600
10173163	600
10173164	600
10173165	600
10173166	600
10173167	600
10173168	600
10173169	600
10173170	600
