INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
10	10	1000	Medicine2_6							0	0	0	1	0		H°i khí: liên tøc h°i khí
11	11	1000	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Vây ch£t: không th¬ di chuy¬n, không th¬ thao tác, không th¬ b¸ công kích
12	12	1000	Buff0_8							0	1	1	0	0		ThÕch hoá: không th¬ di chuy¬n, không th¬ thao tác, không th¬ b¸ công kích
13	13	1000	Buff0_9	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Phong huy®t: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
14	14	1000	Buff0_10				npc_buff_02		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ma tí: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
15	15	1000	Buff0_11				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Hôn mê: Không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ğßşc ğánh tïnh
16	16	1000	Buff0_12				g01_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Th¤t h°n: Không th¬ di chuy¬n ğßşc, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ğßşc ğánh tïnh
17	17	1000	Buff0_13				g01_em_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Th¤t minh: Di chuy¬n tuÏ c½, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
18	18	1000	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		Í·¶¥×´Ì¬µã	0	1	1	0	0		Sş hãi: Di chuy¬n tuÏ c½, không th¬ thao tác, có th¬ b¸ công kích, không có cách gì ğánh tïnh
19	19	1000	Buff0_15		Skills\Sl\Sl_½ğ¸Õ·üÄ§È¦_¶¨Éí.wav		g01_buff27		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Ğ¸nh Thân: trong trÕng thái ğ¸nh thân có th¬ b¸ công kích, và không th¬ di chuy¬n
20	20	1000	Buff0_15				npc_buff_09		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Chèn ch£n: Không cách gì di chuy¬n
21	21	1000	Buff0_16				buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tán công: không có cách gì có th¬ sØ døng b¤t kì kÛ nång nào cüa môn phái
22	22	1000	Buff0_16				g01_buff34		Í·¶¥×´Ì¬µã	0	1	1	0	0		Tñu c¥m: không có cách gì có th¬ sØ døng b¤t kì kÛ nång nào cüa môn phái
23	23	1000	Buff1_1	g01_yanggetianjun		ÉíÌåÊÜ»÷µã	g01_buff100		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Cß½ng nghÕnh: T¯c ğµ di chuy¬n ch§m
24	24	1000	Buff1_2							0	1	1	0	0		Phá trán: Giäm công kích
25	25	1000	Buff1_3							0	1	1	0	0		Phá trán: Giäm phòng ngñ
26	26	1000	Buff1_4							0	1	1	0	0		Phá trán: Giäm công kích và phòng ngñ
27	27	1000	Buff1_4							0	1	1	0	0		Phá trán: Giäm tính nång kháng v¯n có
28	28	1000	Buff1_4	g01_geanguanhuo		ÉíÌåÊÜ»÷µã				0	1	1	0	0		Phá trán: Giäm ngoÕi thü
29	29	1000	Buff1_4							0	1	1	0	0		Phá trán: Giäm nµi thü
30	30	1000	Buff1_4							0	1	1	0	0		Phá trán: M· rµng phÕm vi sát thß½ng
31	31	1000	Buff1_4							0	1	1	0	0		Phá trán: Giäm b¾t th¶i gian duy trì phát công
32	32	1000	Buff1_5							0	1	1	0	0		Hß nhßşc: Giäm mÑc máu và khí
33	33	1000	Buff1_5							0	1	1	0	0		Hß nhßşc: Giäm thân pháp
34	34	1000	Buff1_5							0	1	1	0	0		Hß nhßşc: Giäm cß¶ng lñc, nµi lñc
35	35	1000	Buff1_5							0	1	1	0	0		Hß nhßşc: Giäm th¬ lñc, trí lñc
36	36	8800	FightSkillDaLi_7							0	1	1	0	0		Hß nhßşc: M· rµng phÕm vi sát thß½ng
37	37	1000	Buff1_5							0	1	1	0	0		Hß nhßşc: Giäm công kích
38	38	1000	Buff1_6							0	1	1	0	0		Cß½ng ngÕnh: Giäm chính xác
39	39	1000	Buff1_7							0	0	0	1	0		Cß¶ng hoá: NgoÕi công
40	40	1000	Buff1_8							0	0	0	1	0		Cß¶ng hoá: Nµi công
41	41	1000	Buff1_9							0	0	0	1	0		Cß¶ng hoá: NgoÕi thü
42	42	1000	Buff1_10							0	0	0	1	0		Cß¶ng hoá: Nµi thü
43	43	1000	Buff1_11							0	0	0	1	0		Cß¶ng hoá: Công kích
44	44	1000	Buff1_12							0	0	0	1	0		Cß¶ng hoá: Phòng ngñ
45	45	1000	Buff1_13							0	0	0	1	0		Cß¶ng hoá: Công phòng
46	46	1000	Buff1_14							0	0	0	1	0		Cß¶ng hoá: Tính kháng
47	47	1000	Buff1_15							0	0	0	1	0		Cß¶ng hoá: Phòng ngñ bång
48	48	1000	Buff1_16							0	0	0	1	0		Cß¶ng hoá: Phòng ngñ hoä
49	49	1000	Buff2_1							0	0	0	1	0		Cß¶ng hoá: Phòng ngñ ğµc
50	50	1000	Buff2_2							0	0	0	1	0		Cß¶ng hoá: Phòng ngñ huy«n
51	51	1000	Buff2_3	cw_jieli		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng hoá: Cß¶ng lñc
52	52	1000	Buff2_4	cw_ningshen		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng hoá: Nµi lñc
53	53	1000	Buff2_5	cw_qiangshen		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng hoá: Th¬ lñc
54	54	1000	Buff2_6	cw_yihun		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng hoá: Trí lñc
55	55	1000	Buff2_7	cw_jiasu		Í·¶¥×´Ì¬µã				0	0	0	1	0		Cß¶ng hoá: Thân pháp
56	56	1000	Buff2_8							0	0	0	1	0		Cß¶ng hoá: Chính xác
57	57	1000	Buff2_9							0	0	0	1	0		Cß¶ng hoá: Né tránh
58	58	1000	Buff2_10							0	0	0	1	0		Cß¶ng hoá: hµi công
59	59	1000	Buff2_11							0	0	0	1	0		Cß¶ng hoá: máu gi¾i hÕn trên
60	60	1000	Buff2_12							0	0	0	1	0		Tång cß¶ng: NgoÕi công
61	61	1000	Buff2_13							0	0	0	1	0		Tång cß¶ng: Nµi công
62	62	1000	Buff2_14							0	0	0	1	0		Tång cß¶ng: NgoÕi thü
63	63	1000	Buff2_15							0	0	0	1	0		Tång cß¶ng: Nµi thü
64	64	1000	Buff2_16							0	0	0	1	0		Tång cß¶ng: Bång công
65	65	1000	Buff3_1							0	0	0	1	0		Tång cß¶ng: Hoä công
66	66	1000	Buff3_2							0	0	0	1	0		Tång cß¶ng: Ğµc công
67	67	1000	Buff3_3							0	0	0	1	0		Tång cß¶ng: Huy«n công
68	68	1000	Buff3_4							0	0	0	1	0		Tång cß¶ng: Kháng bång
69	69	1000	Buff3_5							0	0	0	1	0		Tång cß¶ng: Kháng hoä
70	70	1000	Buff3_6							0	0	0	1	0		Tång cß¶ng: Kháng ğµc
71	71	1000	Buff3_7							0	0	0	1	0		Tång cß¶ng: Kháng huy«n
72	72	1000	Buff3_8							0	0	0	1	0		Tång cß¶ng: Cß¶ng lñc
73	73	1000	Buff3_9							0	0	0	1	0		Tång cß¶ng: Nµi lñc
74	74	1000	Buff3_10							0	0	0	1	0		Tång cß¶ng: Th¬ lñc
75	75	1000	Buff3_11							0	0	0	1	0		Tång cß¶ng: Trí lñc
76	76	1000	Buff3_12							0	0	0	1	0		Tång cß¶ng: Thân pháp
77	77	1000	Buff3_13							0	0	0	1	0		Tång cß¶ng: Chính xác
78	78	1000	Buff3_14							0	0	0	1	0		Tång cß¶ng: Né tránh
79	79	1000	Buff3_15							0	0	0	1	0		Tång cß¶ng: hµi công
80	80	1000	Buff3_16							0	0	0	1	0		Tång cß¶ng: máu gi¾i hÕn trên
81	81	1000	Buff4_1							0	0	0	1	0		Ğ« kháng: Khai thang
82	82	1000	Buff4_2							0	0	0	1	0		Ğ« kháng: ThÕch hoá
83	83	1000	Buff4_3							0	0	0	1	0		Ğ« kháng: Ma tí
84	84	1000	Buff4_4							0	0	0	1	0		Ğ« kháng: Sş hãi
85	85	1000	Buff4_5							0	0	0	1	0		Ğ« kháng: Chèn ch£n
86	86	1000	Buff4_6							0	0	0	1	0		Ğ« kháng: C¡n máu
87	87	1000	Buff4_7							0	0	0	1	0		Ğ« kháng: Thú ğµc
88	88	1000	Buff4_8							0	0	0	1	0		Ğ« kháng: Th¤t h°n
89	89	1000	Buff4_9							0	0	0	1	0		Ğ« kháng: Tñu c¥m
90	90	1000	Buff4_10							0	0	0	1	0		Ğ« kháng: Tán công
91	91	1000	Buff4_11							0	0	0	1	0		Ğ« kháng: Vây ch£t
92	92	1000	Buff4_12							0	0	0	1	0		Ğ« kháng: Hôn mê
93	93	1000	Buff4_13							0	0	0	1	0		Ğ« kháng: Phong huy®t
94	94	1000	Buff4_14							0	0	0	1	0		Ğ« kháng: Th¤t minh
95	95	1000	Buff4_15							0	0	0	1	0		Ğ« kháng: Ğ¸nh thân
96	96	1000	Buff4_16							0	0	0	1	0		Vô ğ¸ch
97	15	1000	FightSkillMingJiao_9				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	0	0	1	0		Ğ¸a ngøc hoä: Hôn mê, không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ğßşc ğánh thÑc
98	98	1000	FightSkillEMei1_14							0	1	1	0	0		Cß½ng ngÕnh: Th¶i gian kÛ nång làm lÕnh ğßşc kéo dài
99	99	1000	Buff5_1							0	0	0	1	0		†n thân s½ c¤p
100	100	1000	FightSkillShaoLin1_4				g01_buff10		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Nh¤t vi ğµ giang: Tång t¯c ğµ di chuy¬n
101	21	1000	FightSkillShaoLin1_5	g01_sl_zdo_nianhuazhi_01	Skills\Sl\Sl_Äé»¨Ö¸_É¢¹¦.wav	ÉíÌåÊÜ»÷µã	buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Niêm Hoa Chï: tän công, có th¬ di chuy¬n, nhßng không th¬ sØ døng b¤t cÑ chiêu thÑc nào
102	102	1000	FightSkillShaoLin1_6		Skills\Sl\Sl_ÂŞººÕó_Ğ§¹û.wav					0	0	0	1	0		La hán tr§n: Tång ngoÕi thü
103	103	8500	FightSkillShaoLin1_9				g01_buff5		ÉíÌåÖĞĞÄµã	0	0	0	1	0		L­ kính nhß lai: Phän ğòn sát thß½ng
104	104	1000	FightSkillShaoLin1_15							0	0	0	1	0		Bàn nhßşc chß·ng: Cß¶ng hoá ngoÕi thü
105	105	1000	FightSkillShaoLin1_12							0	0	0	1	0		Thiªt b¯ sam: Nâng cao tính kháng và khí thª mÕnh m¨
106	106	7500	FightSkillShaoLin1_13				g01_buff109		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Bách vô c¤m kÜ: mi­n d¸ch v¾i hi®u quä x¤u. Không th¬ mi­n d¸ch v¾i hi®u quä x¤u có c¤p cao h½n tâm pháp cüa mình.
107	23	1000	FightSkillShaoLin1_15				g01_buff100		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Nh¤t phách lßŞng tán: Cß½ng ngÕnh, t¯c ğµ di chuy¬n giäm
108	105	1000	FightSkillShaoLin1_16							0	0	0	1	0		Vi ğà xØ: M· rµng phÕm vi sát thß½ng
109	109	1000	FightSkillShaoLin2_1							0	0	0	1	0		Khí quan trß¶ng h°ng: Tång hµi công
110	110	7500	FightSkillShaoLin2_3	g01_sl_zdo_mingjingtai_01		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Minh kính thai: Mi­n d¸ch th¤t minh
111	111	8500	FightSkillShaoLin2_4				g01_buff7		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Kim cß½ng b¤t phôi th¬: sát thß½ng giäm
112	100	1000	FightSkillMingJiao_4				g01_buff45_01		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		QuÏ hoa trøc nh§t: Tång t¯c ğµ di chuy¬n
113	13	1000	FightSkillMingJiao_5	all_bj0000		ÉíÌåÊÜ»÷µã	buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	1	1	0	0		QuÏ hoa ği¬m huy®t thü: Phong huy®t, không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, không có cách nào ğánh tïnh
114	114	1000	FightSkillMingJiao_6							0	0	0	1	0		QuÏ hoa hß¾ng dß½ng: Tång ngoÕi công
115	115	8000	FightSkillMingJiao_7				g01_buff8		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Nµ phát trùng quan: TrÕng thái cu°ng bÕo, phòng ngñ hi sinh tång ngoÕi công
116	116	8000	FightSkillMingJiao_8	g01_mj_zdo_huiguangfanzhao		Í·¶¥×´Ì¬µã				0	0	0	1	0		Lı ğÕo ğào cß½ng: Sau khi chªt có th¬ phøc h°i ğü
117	117	1000	FightSkillMingJiao_12							0	0	0	1	0		ThuÖ th¥n hÕ phàm: TrÕng thái phòng ngñ, nâng cao khí thª sÑc mÕnh, trÕng thái này có th¬ khiªn møc tiêu r½i vào trÕng thái phá trán
118	117	1000	FightSkillMingJiao_16							0	0	0	1	0		Hoä th¥n hÕ phàm: TrÕng thái công kích, nâng cao chính xác và hµi công
119	119	7500	FightSkillMingJiao1_3				g01_buff18		ÉíÌåÊÜ»÷µã	0	0	0	1	0		ToÕ ğ¸a c¥u toàn: Mi­n d¸ch tán công
120	120	1000	FightSkillMingJiao_15							0	0	0	1	0		Nguy®t dÕ träm: NgoÕi công tång
121	121	8500	FightSkillMingJiao1_4				g01_mj_ÎŞÖĞÉú		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Vô trung sinh hæu: Công kích không quan tâm phòng ngñ cüa ğ¯i phß½ng
122	100	1000	FightSkillGaiBang1_4				g01_buff10		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Bát bµ cäm thi«m: Tång t¯c ğµ di chuy¬n
123	21	1000	FightSkillGaiBang1_5	g01_gb_zdo_qianlongwuyong		ÉíÌåÊÜ»÷µã	buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tuyªt Nê H°ng Träo: tän công, có th¬ di chuy¬n, nhßng không th¬ sØ døng b¤t cÑ chiêu thÑc nào
124	124	1000	FightSkillGaiBang1_6	g01_gb_buff113_01		½ÅÏÂ¹âÈ¦µã				0	0	0	1	0		Niêm y th§p bát ği®t: Tång né tránh
125	17	1000	FightSkillGaiBang1_8				g01_gb_buff101		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ti«m Long V§t Døng: trong trÕng thái th¤t binh không th¬ thñc hi®n b¤t cÑ thao tác nào, chÕy loÕn trong khu vñc nhö, có th¬ b¸ công kích.
126	126	1000	FightSkillGaiBang1_12							0	0	0	1	0		C¥m long thÑc: TrÕng thái phòng ngñ, có ğßşc sÑc mÕnh t¯c ğµ tång, trÕng thái này công kích có vài ği¬m hß nhßşc chính xác cüa møc tiêu
127	126	1000	FightSkillGaiBang1_16							0	0	0	1	0		Kh¯ng hÕc thÑc: TrÕng thái công kích, có ğßşc nång lñc 3 l¥n liên tiªp ra ğòn, KÛ nång khi xu¤t chiêu có th¬ có ğßşc 2 l¥n ğánh liên tiªp
128	128	8500	FightSkillGaiBang_1				g01_gb_zhanlongjue_2		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Lı Sß½ng Bång Chí: tång g¤p ğôi sát thß½ng gây ra
129	129	1000	FightSkillGaiBang1_9							0	0	0	1	0		Kiªn long tÕi ği«n: TrÕng thái trúng ğµc, khiªn cho muøctiêu công kích trúng ğµc
130	130	7500	FightSkillGaiBang_3							0	0	0	1	0		Th¥n long bái vî: Mi­n d¸ch hôn mê, ğ¸nh thân
131	131	8500	FightSkillGaiBang_4				g01_gb_buff114_01		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Long chiªn vu dã: Tång né tránh
132	23	1000	FightSkillWuDang1_4	g01_yanggetianjun		ÉíÌåÊÜ»÷µã	g01_buff116		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		Tam hoàn sáo nguy®t: Cß½ng ngÕnh, giäm t¯c ğµ di chuy¬n
133	15	1000	FightSkillWuDang1_5				buff_hunmi_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Lãm tß¾c vî: Hôn mê, không th¬ di chuy¬n, không th¬ thao tác, có th¬ b¸ công kích, có th¬ ğßşc ğánh tïnh
134	134	1000	FightSkillWuDang1_6							0	0	0	1	0		Thiên cß½ng b¡c ğ¦u tr§n: Tång khí
135	135	1000	FightSkillWuDang1_3				g01_wd_zhenwuqijiezhen_01		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	LßŞng nghi kiªm: liên ğä
136	136	8500	FightSkillWuDang1_8				g01_wd_zhinanzhen_01		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Nhß phong tñ bª: phong ¤n, không th¬ di chuy¬n, không có cách nào thñc hi®n ğßşc các kÛ nång môn phái
137	137	1000	FightSkillWuDang1_12							0	0	0	1	0		Thiêu liêm thÑc: TrÕng thái phòng ngñ, nâng cao sÑc mÕnh, trÕng thái này công kích có th¬ khôi phøc ğßşc khí cho bän thân
138	138	8500	FightSkillWuDang1_13				g01_buff118		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Lßu tinh cän nguy®t: TrÕng thái này có th¬ dùng giäm khí ğ¬ tiêu ği vªt thß½ng trên mình
139	19	1000	FightSkillWuDang1_15				g01_buff38		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ng÷c næ xuyên thoa:Ğ¸nh thân, không th¬ di chuy¬n
140	137	1000	FightSkillWuDang1_16							0	0	0	1	0		Tà phi thÑc: TrÕng thái công kích, tång hµi công
141	141	8000	FightSkillWuDang2_1				g01_buff119		Í·¶¥×´Ì¬µã	0	0	0	1	0		BÕch hÕc lßşng sí: Tång sát thß½ng cüa kÛ nång
142	142	7500	FightSkillWuDang2_3				g01_buff5_01		ÉíÌåÊÜ»÷µã	0	0	0	0	0		Vô giäi khä kích: Mi­n d¸ch phong huy®t
143	143	1000	FightSkillEMei1_4	all_em_bj00000		ÉíÌåÊÜ»÷µã	g01_em_piaoxuechuanyun_lx		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Kim ğính miên chß·ng: Khiªn cho møc tiêu liên tøc b¸ thß½ng
144	17	1000	FightSkillEMei1_5				g01_em_buff38		Í·¶¥×´Ì¬µã	0	0	0	1	0		Nguy®t lÕc tây san: Th¤t minh, không có cách nào kh¯ng chª, di chuy¬n tuÏ c½
145	145	1000	FightSkillEMei1_9				g01_em_jq_zdo_ÆĞÌá»¤Ìå		ÉíÌåÖĞĞÄµã	0	0	0	1	0		Duyên niên ích th÷: Bäo v® c½ th¬, tránh khöi b¸ thß½ng
146	146	1000	FightSkillEMei1_11	g01_em_sf_zdo_»ØĞÄ¾÷		ÉíÌåÊÜ»÷µã				0	0	0	1	0		H°i thiên thu§t: Liên tøc h°i phøc máu
147	147	1000	FightSkillEMei1_12							0	0	0	1	0		Tuy®t Kiªm ThÑc: trÕng thái phòng ngñ, tång khä nång chuy¬n hóa nµ khí, khi · trong trÕng thái này th¶i gian thi tri¬n Xung Hß DßŞng Khí b¸ giäm 50%. 
148	147	1000	FightSkillEMei1_16							0	0	0	1	0		Di®t kiªm thÑc: TrÕng thái công kích, trÕng thái này công kích có th¬ làm giäm máu và khí cüa møc tiêu
149	149	7500	FightSkillEMei2_3							0	0	0	1	0		Hành thi t¦u nhøc: Mi­n d¸ch vây ch£t, ğ¸nh thân
150	150	7600	FightSkillEMei2_4				g01_buff118_01		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Ng¯c nhßşc mµc kê: TrÕng thái, vô ğ¸ch, nhßng không có cách nào sØ døng ğßşc KÛ nång cüa môn phái
151	151	8500	FightSkillEMei2_1							0	0	0	1	0		Träm tình quyªt: TrÕng thái, Giäm th¶i gian tø khí
152	23	1000	FightSkillXinXiu1_4	g01_xx_sf_zdo_Ğ«Î²Õë		ÉíÌåÊÜ»÷µã	g01_xx_sf_zt_Ğ«Î²Õë		½ÅÏÂ¹âÈ¦µã	0	1	1	0	0		HÕt vî châm: Cß½ng ngÕnh, t¯c ğµ di chuy¬n giäm
153	17	1000	FightSkillXinXiu1_5				buff_shiming_01		Í·¶¥×´Ì¬µã	0	1	1	0	0		Ğµc Thi«m Công: th¤t minh, không th¬ tñ ği«u khi¬n nhân v§t - chÕy loÕn
154	154	1000	FightSkillXinXiu1_6	g01_xx_buff_wugongzhen		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Ngô công tr§n: Tång nµi thü
155	155	1000	FightSkillXinXiu1_7				g01_xx_lx_shixueyixiao		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Tiªu lı tàng ğao: Hút máu
156	116	8000	FightSkillXinXiu1_9	g01_xx_hanxiaojiuquan		ÉíÌåÊÜ»÷µã				0	0	0	1	0		Hàm tiªu cØu tuy«n: Sau khi chªt có th¬ s¯ng lÕi
157	37	1000	FightSkillXinXiu1_8				g01_buff100		ÉíÌåÊÜ»÷µã	0	1	1	0	0		Tiªu lı tàng ğao: Có thuµc tính hß nhßşc
158	158	1000	FightSkillXinXiu1_8							0	0	0	1	0		Ğàm tiªu tñ nhßşc: Dçn ğÕo không b¸ ğánh ğoÕn
159	159	1000	FightSkillXinXiu1_12							0	0	0	1	0		Mµc ğµn: TrÕng thái phòng ngñ, sÑc mÕnh tång lên, mÑc HP tång
160	160	1000	FightSkillXinXiu1_13				g01_xx_yd_huachenwuxing_01		ÉíÌåÊÜ»÷µã	0	0	1	0	1	×óÎäÆ÷°ó¶¨µã	Chï lµc vi mã: Liên tøc hút sÑc mÕnh
161	161	1000	FightSkillXinXiu1_16							0	0	0	1	0		ThuÖ ğµn: TrÕng thái công kích, nguy«n rüa b¸ ngß¶i công kích
162	33	8600	FightSkillXinXiu2_2							0	1	1	0	0		Hoá huyªt miên chß·ng: suy yªu, m¤t máu
163	163	7500	FightSkillXinXiu2_3							0	0	0	1	0		Kim ThÕch Câu Ph¥n: mi­n d¸ch vây kh¯n, hôn mê
164	100	1000	FightSkillDaLi_4				g01_buff10		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		Hàm mai t§t t¦u: Tång t¯c ğµ di chuy¬n
165	136	8000	FightSkillDaLi_5	g01_dl_zdo_bamenjinsuo		ÉíÌåÊÜ»÷µã	buff_dingshen		ÉíÌåÊÜ»÷µã	0	0	1	0	0		Bát môn kim toä: phong ¤n, không th¬ di chuy¬n, không th¬ thi tri¬n kÛ nång môn phái
166	166	1000	FightSkillDaLi_6				g01_dl_zdo_shaoyangjian		ÉíÌåÊÜ»÷µã	0	0	0	1	0		Dî d§t ğãi lao: Tång ğµ chính xác
167	167	8800	FightSkillDaLi_7	g01_dl_zdo_zhidianjiangshan		Í·¶¥×´Ì¬µã	g01_buff40		Í·¶¥×´Ì¬µã	0	0	1	0	0		Chï ği¬m giang s½n: ğánh d¤u, kë b¸ ğánh d¤u s¨ tång sát thß½ng
168	168	1000	FightSkillDaLi_8							0	0	0	1	0		Thiên cang chính khí: tång t¤t cä tính kháng
169	21	1000	FightSkillDaLi_11				buff_sangong_01		½ÅÏÂ¹âÈ¦µã	0	0	1	0	0		Døc c¥m c¯ tung: tän công, không th¬ thi tri¬n kÛ nång môn phái
170	13	1000	FightSkillDaLi_15				buff_fengxue_01		ÉíÌåÊÜ»÷µã	0	0	1	0	0		Tuyªt üng lam quan: ği¬m huy®t, không th¬ di chuy¬n, không cØ ğµng ğßşc
171	171	1000	FightSkillDaLi_12							0	0	0	1	0		Ti®t quy«n thÑc: trÕng thái phòng thü, tÖ l® chuy¬n hoá nµ khí tång, tång khä nång phòng thü
172	172	1000	FightSkillDaLi_16							0	0	0	1	0		Phá kiªm thÑc: TrÕng thái t¤n công, xác su¤t nh¤t ğ¸nh khiªn møc tiêu xu¤t hi®n s½ h·, th¶i gian xu¤t chiêu giäm
173	173	8500	FightSkillDaLi1_1							0	0	0	1	0		Kim ng÷c mãn ğß¶ng: Tång hµi công
174	100	1000	FightSkillTianShan_4				g01_buff10_01		½ÅÏÂ¹âÈ¦µã	0	0	0	1	0		BÕch câu quá khích: Tång t¯c ğµ di chuy¬n
175	19	1000	FightSkillTianShan_5	g01_buff42_01		ÉíÌåÊÜ»÷µã				0	1	1	0	0		Thiªt toä hoành giang: ğ¸nh thân, không th¬ di chuy¬n
176	99	1000	FightSkillTianShan_6							0	0	0	1	0		Th§p di®n mai phøc: tàng hình
177	99	1000	FightSkillTianShan_7							0	0	0	1	0		Kim thi«n thoát xác: tàng hình
178	178	8500	FightSkillTianShan_8							0	0	0	1	0		Di hoa tiªp mµc: T¤n công dß¾i hình thÑc này vçn mang hi®u quä phÕm vi sát thß½ng
179	179	1000	FightSkillTianShan_11							0	0	0	1	0		Tuyªt hoa løc xu¤t: Tång hµi công
180	99	1000	FightSkillTianShan_13							0	0	0	1	0		ĞÕp Tuyªt Vô Ngân: ¦n thân
