INT	INT	INT	STRING	INT	STRING	STRING
29	-1	1	Túc c¥u th§p tam muµi Tôn MÛ MÛ	4	#Y[Túc c¥u th§p tam muµi Tôn MÛ MÛ]	#Y[Túc C¥u Th§p Tam Muµi Tôn MÛ MÛ]#r#GHoành täo giäi Túc c¥u Mçu Ð½n Uy¬n#rChü nh§t thÑ nh¤t và thÑ ba m²i tháng lúc 19g-23g, t± ðµi c¤p 30 tr· lên ðªn LÕc Dß½ng Ð°ng Quán [203,58] tham gia hoÕt ðµng khiêu chiªn. #ccc33cc#rR½i: #W#rTân Mãng Th¥n Phù#rKý tên túc c¥u#r1 bình Kim Sa
30	-1	1	Vi­n C± KÏ H°n	26	#Y[Vi­n C± KÏ H°n]	#Y[Vi­n C± KÏ H°n]#r#GKÏ Cuµc#rT× c¤p 10 tr· lên, m²i ngày trong khoäng th¶i gian 11: 30?14: 30 và 20: 30?22: 00 có th¬ t± ðµi ðªn LÕc Dß½ng tìm Vß½ng Tích Tân [271,88], ðªn Tô Châu tìm Trß½ng D¸ch Qu¯c [174,147] ho£c ðªn ÐÕi Lý tìm Lßu Tr÷ng Phü [275,95] tham gia hoÕt ðµng khiêu chiªn.#ccc33cc#rR½i: #W#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rDßþc ph¦m#rGiám Ð¸nh Quy¬n Trøc#rBäo thÕch c¤p 1#rC¤p 60 tr· lên Vi­n C± KÏ H°n r½i Linh H°n Toái Phiªn
31	-1	1	Hoàng Kim KÏ TØ	120	#Y[Hoàng Kim KÏ TØ]	#Y[Hoàng Kim KÏ TØ]#r#GKÏ Cuµc#rT× c¤p 10 tr· lên, m²i ngày trong khoäng th¶i gian 11: 30?14: 30 và 20: 30?22: 00 có th¬ t± ðµi ðªn LÕc Dß½ng tìm Vß½ng Tích Tân [271,88], Tô Châu tìm Trß½ng D¸ch Qu¯c [174,147] ho£c ðªn ÐÕi Lý tìm Lßu Tr÷ng Phü [275,95] tham gia hoÕt ðµng khiêu chiªn s¨ có tÖ l® nh¤t ð¸nh xu¤t hi®n.#ccc33cc#rR½i: #W#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rDßþc ph¦m#rGiám Ð¸nh Quy¬n Trøc#rBäo thÕch c¤p 1#rLinh H°n Toái Phiªn
32	-1	1	T£c Binh Ð¥u Møc	29	#Y[T£c binh ð¥u møc]	#Y[T£c Binh Ð¥u Møc]#r#GT£c Binh Xâm Lßþc#rT× c¤p 20 tr· lên, vào 2: 00, 13: 00, 15: 00, 17: 00, 19: 00, 21: 00 hàng ngày t± ðµi khiêu chiªn · Tung S½n, Kiªm Các, Kính H°, Thái H°, Vô Lßþng S½n, Ðôn Hoàng.#ccc33cc#rR½i: #W#rGiám Ð¸nh Quy¬n Trøc#rBäo thÕch c¤p 1#rBäo thÕch Hþp Thành Phù c¤p th¤p#rTrang b¸ vû khí #rYªu Quyªt Chß·ng Cñ#rTrân Thú Huy­n Hoá Ðan toái phiªn#rC¤p 60 tr· lên T£c Binh Ð¥u Møc r½i Linh H°n Toái Phiªn#rC¤p 60 tr· lên T£c Binh Ð¥u Møc r½i Lân Mµc Ti­n
33	-1	1	Ác Bá	27	#Y[Ác Bá]	#Y[Ác Bá]#r#GThâu T§p Môn Phái#rT× c¤p 20 tr· lên, vào 0: 00, 4: 00,10: 00,12: 00,16: 00,20: 00,22: 00 hàng ngày có th¬ t± ðµi theo thông báo h® th¯ng ðªn môn phái tß½ng Ñng ð¬ khiêu chiªn#ccc33cc#rR½i: #W#rBäo thÕch c¤p 1#rGiám Ð¸nh Quy¬n Trøc#rTrang b¸ vû khí #rBí T¸ch 9 môn phái l¾n#rYªu Quyªt 9 môn phái l¾n#rLinh Thú Tinh Phách#rC¤p 60 tr· lên Ác Bá r½i Sách Khuªch Trß½ng Thuµc Tính Võ H°n#rC¤p 60 tr· lên Ác Bá r½i Linh H°n Toái Phiªn
34	-1	1	Lâu La	28	#Y[Lâu La]	#Y[Lâu La]#r#GThâu T§p Môn Phái#rT× c¤p 20 tr· lên, vào 0: 00, 4: 00, 10: 00, 12: 00, 16: 00, 20: 00, 22: 00 hàng ngày có th¬ t± ðµi theo thông báo h® th¯ng ðªn môn phái tß½ng Ñng ð¬ khiêu chiªn#ccc33cc#rR½i: #W#rDßþc ph¦m#rTrang b¸ vû khí #rDßþc Phß½ng Ph¯i Phß½ng#rHành Nang Cách Tß½ng#rBäo thÕch c¤p 1#rBí T¸ch 9 môn phái l¾n#rYªu Quyªt 9 môn phái l¾n#rC¤p 60 tr· lên Lâu La r½i Sách Khuªch Trß½ng Thuµc Tính Võ H°n#rC¤p 60 tr· lên Lâu La r½i Linh H°n Toái Phiªn
35	-1	1	Bäo Tàng Chü Nhân	25	#Y[Chü nhân bäo tàng]	#Y[Chü nhân bäo tàng] #r#Gphø bän mµ huy®t bäo tàng #rtrên 30 c¤p, sau khi ðào bäo tiªn vào phø bän, khiêu chiªn ðþn ðµc #ccc33cc#rr¾t ra: #W#rHành nang cách tß½ng #rDßþc phß½ng ð° tß¶ng, #rBäo tàng thßþc thi, #rVû khí trang b¸.
36	-1	1	Kính H° ThuÖ Phï Ð¥u Lînh	43	#Y[Thü lînh kính h° thüy phï]	#Y[Kính H° Thüy Phï Thü Lînh] #r#GKính H° #rtrên ðÆng c¤p 10 cüa m²i ngày thÑ 7 vào lúc 13:00-22:00 tÕi bang phái lînh nh§n Ngân bì l®nh ti­n t± ðµi khiêu chiªn #ccc33cc#rr¾t ra: #W#rTrân thú hoàn ð°ng quy¬n trøc #rGiám ð¸nh quy¬n trøc #rBäo ThÕch c¤p 1 #rTân mãng th¥n phù
37	-1	1	ÐÕi S½n QuÖ	68	#Y[ÐÕi S½n QuÖ]	#Y[ÐÕi S½n QuÖ] #r#Gbäo hµ bang phái chú ð¸a #rtrên c¤p 85, m²i ngày vào lúc 19:15 có th¬ l§p t± ðµi cån cÑ theo h® th¯ng thông báo nhæng bang phái tß½ng Ñng ð¬ khiêu chiªn #ccc33cc#rr¾t ra: #W#rHành nang cách tß½ng #rVû khí trang b¸ #r Miên b¯ toái phiªn
38	-1	1	S½n Th¥n	69	#Y[S½n Th¥n]	#Y[S½n Th¥n]#r#GBäo v® bang phái trú ð¸a#rC¤p 85 tr· lên, vào 19: 15 hàng ngày có th¬ t± ðµi theo thông báo h® th¯ng ðªn môn phái tß½ng Ñng ð¬ khiêu chiªn#ccc33cc#rR½i: #W#rHành Nang Cách Tß½ng#rThiên Cang Cß¶ng Hóa Tinh Hoa#rBµ trang b¸ môn phái#rDøc Höa ThÕch#rTrÑng Trân Thú
39	-1	1	Mông Di®n Ác Tång	118	#Y[Mông Di®n Ác Tång]	#Y[Mông Di®n Ác Tång]#r#GTàng Kinh Các#rC¤p 40 tr· lên, vào 10: 45, 16: 30, 21: 30, 23: 00 hàng ngày t± ðµi ðªn Tây H°, NhÕn Nam, Nhî Häi tham gia hoÕt ðµng khiêu chiªn.#ccc33cc#rR½i: #W#rYªu Quyªt: T× Hàng Ph± Ðµ#rYªu Quyªt: Nµ Höa Liên Träm#rYªu Quyªt: Hoành Täo Càn Khôn#rYªu Quyªt: Th¤t Tinh Tø Thü#rYªu Quyªt: Xuân Hoa Thu Nguy®t#rYªu Quyªt: Nh¤t Nh§t Tang M®nh Tán#rYªu Quyªt: Trung Xung Kiªm#rYªu Quyªt: Bång Ngßng Sß½ng Hoa#rYªu Quyªt: Bµ Bµ Sinh Hoa#rB¯i Di®p Kinh Tàn Phiªn#rBách Th¯i Th¥n Ng÷c#rÐiêu Vån Ð° Tß¶ng#rÐan Thanh#rC¤p 60 tr· lên Mông Di®n Ác Tång r½i Linh H°n Toái Phiªn#rC¤p 60 tr· lên Mông Di®n Ác Tång r½i Võ H°n Diên Th÷ Ðan
40	-1	2	QuÖ Kiªm	30	#Y[QuÖ Kiªm]	#Y[QuÖ Kiªm]#r#GT¥ng 1 Yªn Vß½ng C± Mµ#rBoss c¤p 51#ccc33cc#r½i: #W#rHành Nang Cách Tß½ng#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rPhát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu Trang phøc#rYên Huy«n Ng÷c#rTân Mãng Th¥n Phù
41	-1	2	Nham Ma	31	#Y[Nham ma]	#Y[Nham Ma]#r#GT¥ng 2 Yªn Vß½ng C± Mµ#rBoss c¤p 54#ccc33cc# r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rPhát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rYên Huy«n Ng÷c#rTân Mãng Th¥n Phù
42	-1	2	Ðµc Ty Tri Thù Vß½ng	32	#Y[Ðµc ty tri thù vß½ng]	#Y[Ðµc Ty Tri Thù Vß½ng]#r#GT¥ng 3 Yªn Vß½ng C± Mµ#rBoss c¤p 57#ccc33cc#r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTiên Ðan Thái Khê#rTrang b¸ vû khí#r Lßu Tß Phát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c
43	-1	2	Tri«n t½ tri chu vß½ng	33	#Y[Ðµc ty tri thù vß½ng]	#Y[Tri«n Ty Tri Thù Vß½ng]#r#GT¥ng 3 Yªn Vß½ng C± Mµ#r5 c¤p 7Boss#ccc33cc#r½i: #W#rVû khí bµ trang phøc Yên H¥u#rTrang b¸ vû khí#rTiên Ðan Thái Khê#rPhß½ng thu¯c#rThñc V§t Ph¯i Phß½ng#rMçu#rHành Nang Tß½ng Cách#rYên Huy«n Ng÷c#rMçu trang phøc
44	-1	2	Xuân Th§p Tam Nß½ng	34	#Y[Xuân th§p tam nß½ng] 	#Y[Xuân Tam Th§p Nß½ng]#r#GT¥ng 4 Yªn Vß½ng C± Mµ #rBoss c¤p 60#ccc33cc#r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rCänh DaoPhát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c
45	-1	2	Phøc Ð¸a Ma	35	#Y[Phøc ð¸a ma]	#Y[Phøc Ð¸a Ma]#r#GT¥ng 5 Yªn Vß½ng C± Mµ#rBoss c¤p 63#ccc33cc# r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rÐi®p VûPhát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c
46	-1	2	BÕch Ðª Âm Änh	36	#Y[BÕch ðª âm änh]	#Y[BÕch Ðª Ðích Âm Änh]#r#GT¥ng 6 Yªn Vß½ng C± Mµ#rBoss c¤p 66#ccc33cc# r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rÐi®p VûPhát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c
47	-1	2	BÕch Ðª	37	#Y[BÕch ðª]	#Y[BÕch Ðª]#r#GT¥ng 6 Yªn Vß½ng C± Mµ#rBoss c¤p 66#ccc33cc# r½i: #W#rVû khí bµ trang phøc HÕo Linh#rTrang b¸ vû khí#rPhß½ng thu¯c#rThñc V§t Ph¯i Phß½ng#rMçu#rHành Nang Tß½ng Cách#rYên Huy«n Ng÷c#rMçu trang phøc
48	-1	2	Minh Tß¾ng	38	#Y[Minh tß¾ng]	#Y[Minh Tß¾ng]#r#GT¥ng 7 Yªn Vß½ng C± Mµ#rBoss c¤p 69#ccc33cc#r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rHoàn Häi Phát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c
49	-1	2	Huyªt †m Cu°ng Ðao	39	#Y[Huyªt ¦m cu°ng ðao]	#Y[Huyªt †m Cu°ng Ðao]#r#GT¥ng 7 Yªn Vß½ng C± Mµ#rBoss c¤p 72#ccc33cc#r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rTrang b¸ vû khí#rM¤n Hoa Phát Hình Ð°#rTrân Thú Hoàn Ð°ng Quy¬n Trøc#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c#rBµ trang phøc môn phái
50	-1	2	Xích Tiêu	40	#Y[Xích tiêu]	#Y[Xích Tiêu]#r#GT¥ng 9 Yªn Vß½ng C± Mµ#rBoss c¤p 75#ccc33cc#r½i: #W#rHành Nang Tß½ng Cách#rMçu phß½ng thu¯c#rNguyên li®u ðøc l²#r Bäo thÕch c¤p 1#rMçu trang phøc#rTân Mãng Th¥n Phù#rYên Huy«n Ng÷c#rÐä TÕo Ð°#rBµ trang phøc môn phái
51	-1	2	Xích tiêu hoä h°n	41	#Y[Xích tiêu hoä h°n]	#Y[Xích Tiêu Höa H°n ]#r#GT¥ng 9 Yªn Vß½ng C± Mµ#rBoss c¤p 75#ccc33cc#r½i: #W#rVû khí bµ trang phøc Xích Luy®n#rTrang b¸ vû khíMçu#rYên Huy«n Ng÷c#rMçu trang phøc
52	-1	3	Hµ Ðäo Th¥n Thú	24	#Y[Hµ ðäo th¥n thú]	#Y[Hµ ðäo th¥n thú] #r#G Huy«n vû ðäo #rBoss t× 20~80 c¤p #ccc33cc#rr¾t ra: #W#rHành nang cách tß½ng #rDßþc ph¦m ph¯i phß½ng #rVû khí trang b¸ #rÐ° tß¶ng 
53	-1	3	Vô Ð¸ch Phi Thiên Miêu	3	#Y[Vô ð¸ch phi thiên miêu]	#Y[Vô Ð¸ch Phi Thiên Miêu]#r#GHuy«n Vû Ðäo#rrBoss c¤p 25, 45, 65 #ccc33cc#rR½i: #W#rHành Nang Cách Tß½ng#rTrang b¸ vû khí #rBµ trang b¸#rÐ° Tß¶ng#rCông thÑc phß½ng thu¯c#rSách kÛ nång ðánh t§p th¬ cüa Trân Thú (Vd: Sách kÛ nång Huyªt Bµc, Sách kÛ nång Bång Bµc, Sách kÛ nång Ngû Lôi Oanh Ðïnh,v.v)#rSách kÛ nång ðánh t§p th¬ cao c¤p cüa Trân Thú (Vd: Sách kÛ nång Huyªt Bµc cao c¤p, Sách kÛ nång Bång Bµc cao c¤p)#rSách kÛ nång Phu Thê D¸ch Chuy¬n: Hình Änh B¤t Ly#r#G (Sau khi Vô Ð¸ch Phi Thiên Miêu bi hÕ gøc, trên Huy«n Vû Ðäo s¨ xu¤t hi®n 5 Bäo Thß Thiªt T£c: Ph® Tâm QuÖ Báo và Lþi Träo Tà ¿ng.)
54	-1	3	Mãng C± Chu Cáp Vß½ng	5	#Y[Mãng c± ðµc cáp vß½ng]	#Y[Mãng C± Ðµc Cáp Vß½ng]#r#GHuy«n Vû Ðäo#rBoss c¤p 80#ccc33cc# r½i:  #W#rBí quyªt: Tiên Phong ÐÕo C¯t#rBí quyªt: Thß½ng Dß½ng Kiªm#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu#rTân Mãng Th¥n Phù (chßa c¯ ð¸nh) 
55	-1	3	Mãng C± Chu Cáp	6	#Y[Mãng c± ðµc cáp]	#Y[Mãng C± Ðµc Cáp]#r#GHuy«n Vû Ðäo#r50~7 c¤p 4Boss#ccc33cc#r½i:  #W#rBí quyªt: Tiên Phong ÐÕo C¯t#rBí quyªt: Thß½ng Dß½ng Kiªm#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu#rTân Mãng Th¥n Phù (chßa c¯ ð¸nh) 
56	-1	3	Mãng C± Chu Cáp Vß½ng	49	#Y[Mãng c± ðµc cáp vß½ng]	#Y[Mãng c± ðµc cáp vß½ng] #r#G Huy«n vû ðäo #rBoss c¤p 40 #ccc33cc#rr¾t ra: #W#rS½ c¤p khäm nÕm Bäo ThÕch  phù #rS½ c¤p kh¡c danh phù #rM§t ngân toái phiªn #rMiên b¯ toái phiªn #rTinh thiªt toái phiªn #rÐ¸a sát cß¶ng hóa tinh hoa #rThiên cang cß¶g hóa tinh hoa #rS½ c¤p Bäo ThÕch hþp thành phù #rCñc sÑc chi châu
57	-1	3	Ph® Tâm QuÖ Báo	113	#Y[Ph® Tâm QuÖ Báo]	#Y[Ph® Tâm QuÖ Báo]#r#GHuy«n Vû Ðäo#rBoss c¤p 35#r#S¨ phát ra khi Vô Ð¸ch Phi Thiên Miêu b¸ giªt #rcó th¬ t± ðµi khiêu chiªn #ccc33cc#r r½i: #W#rHành Nang Tß½ng Cách#rTrang b¸ vû khí#rSách kÛ nång trân thú#rMçu tÕo trang phøc#r Bäo thÕch c¤p 1
58	-1	3	Lþi Träo Tà ¿ng	114	#Y[Lþi Träo Tà ¿ng]	#Y[Lþi Träo Tà ¿ng]#r#GHuy«n Vû Ðäo#r3 c¤p 5Boss#r#S¨ phát ra khi Vô Ð¸ch Phi Thiên Miêu b¸ giªt #rcó th¬ t± ðµi khiêu chiªn#ccc33cc#r r½i: #W#rHành Nang Tß½ng Cách#rTrang b¸ vû khí#rSách kÛ nång trân thú#rMçu tÕo trang phøc#r Bäo thÕch c¤p 1
59	-1	4	Huy«n Kích Kim Cß½ng	7	#Y[Huy«n kích kim cang]	#Y[Huy«n Kích Kim Cang]#r#GThß½ng S½n#rBoss c¤p 80#ccc33cc# r½i: #W#rBí quyªt: Thanh Tâm Ph± Thi®n Chú#rBí quyªt: Ð¸nh Häi Th¥n Châm#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu
60	-1	4	Huy«n Kích Th¥n Tß¾ng	8	#Y[Huy«n kích th¥n tß¾ng]	#Y[Huy«n Kích Th¥n Tß¾ng]#r#GThß½ng S½n#r50~7 c¤p 4Boss#ccc33cc#r½i: #W#rBí quyªt: Thanh Tâm Ph± Thi®n Chú#rBí quyªt: Ð¸nh Häi Th¥n Châm#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu
61	-1	5	Bång phách ngàn nåm	9	#Y[Thiên niên bång phách]	#Y[Thiên Niên Bång Phách]#r#GVõ Di#rBoss c¤p 80#ccc33cc# r½i: #W#rBí quyªt: Ði®u H± Ly S½n#rBí quyªt: Hàm Tiêu Bán Bµ Ðiên#rBí quyªt: Thiên Ð¸a Minh Di®t#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu
62	-1	5	Bång Yêu	10	#Y[Bång yêu]	#Y[Bång Yêu]#r#GVõ Di#r50~7 c¤p 4Boss#ccc33cc#r½i: #W#rBí quyªt: Ði®u H± Ly S½n#rBí quyªt: Hàm Tiêu Bán Bµ Ðiên#rBí quyªt: Thiên Ð¸a Minh Di®t#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu
63	-1	6	BÕch Minh Kh·i	11	#Y[BÕch minh kh·i]	#Y[BÕch Minh Kh·i]#r#GThäo Nguyên#rBoss c¤p 80#ccc33cc# r½i:  #W#rBí quyªt: B±ng Ðä C¦u Ð¥u#rBí quyªt: Phong Höa Liên Thành#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu#rTân Mãng Th¥n Phù (không c¯ ð¸nh) 
64	-1	6	Minh Hß Nô	12	#Y[Minh hß nô]	#Y[Minh Hß Nô]#r#GThäo Nguyên#r50~7 c¤p 4Boss#ccc33cc#r½i:  #W#rBí quyªt: B±ng Ðä C¦u Ð¥u#rBí quyªt: Phong Höa Liên Thành#rBäo ThÕch Tß½ng Khäm Phù c¤p th¤p#rKh¡c Minh Phù c¤p th¤p#rBí Ngân Toái Phiªn#rMiên B¯ Toái Phiªn#rTinh Thiªt Toái Phiªn#rÐ¸a Sát Cß¶ng Hóa Tinh Hoa#r Thiên Cang Cß¶ng Hóa Tinh Hoa#rBäo ThÕch Hþp Thành Phù c¤p th¤p#rCñc Su¤t Chi Châu#rTân Mãng Th¥n Phù (không c¯ ð¸nh) 
65	-1	7	H²n Giang ti¬u long	13	#Y[H²n giang ti¬u long]	#Y[H²n giang ti¬u long] #r#G Kính H° #rBoss c¤p 55 #ccc33cc#rr¾t ra: #W#rBäo ThÕch c¤p 1 #rVû khí trang b¸ #rS½ c¤p Bäo ThÕch hþp thành phù #rCñc sÑc chi châu #rÐ¸a sát cß¶ng hóa tinh hoa #rTinh thiªt toái phiªn #rMiên b¯ toái phiªn #rM§t ngân toái phiªn #rS½ c¤p Bäo ThÕch khäm nÕm phù #rS½ c¤p kh¡c danh phù #rThiên cang cß¶ng hóa tinh hoa #rTân mãn th¥n phù
