INT	STRING	FLOAT	FLOAT
293	魂兽合体140210恶魔守卫5	0.9000	6.0000
294	宠物：红逗B	1.1000	5.5000
295	坐骑：醉猫	0.9500	9.0000
296	坐骑：仙龟	1.4000	9.0000
297	宠物：元元	1.6000	6.0000
298	宠物：变形金刚	0.6000	7.0000
299	坐骑：海龙	2.0000	20.0000
300	宠物：逗趣鲨	0.6000	7.0000
301	宠物：美人鱼	0.7000	4.0000
302	宠物：祝融	1.0000	6.0000
303	坐骑：乌鸦	2.6000	11.0000
304	坐骑：团羊羊	0.8000	8.0000
305	宠物：玉子金童	0.5000	3.0000
306	宠物：战斗羊	1.1000	9.0000
307	宠物：钻石羊	1.1000	9.0000
308	坐骑：荷花	1.6000	18.0000
309	坐骑：炼狱凤凰	3.2000	13.0000
310	坐骑：裂海魔龙	1.0000	11.0000
311	坐骑：噬魂花妖	2.0000	12.0000
312	坐骑：情人节风筝	2.8000	13.0000
313	锦鳞附体1级	0.1500	2.5000
314	锦鳞附体2级	0.1500	3.0000
315	锦鳞附体3级	0.1500	3.5000
316	锦鳞附体4级	0.1500	4.0000
317	锦鳞附体5级	0.1500	5.5000
318	宠物：邪灵	1.2500	7.0000
319	坐骑：钢鬃兽	0.9000	8.0000
320	坐骑：鬼马龙舟	1.6000	14.0000
321	宠物：狐妖剑君	0.9000	6.0000
322	坐骑：望月龙驹	2.2000	17.0000
323	坐骑：踏雪乌骓	2.2000	17.0000
324	坐骑：玉麟龙	1.4000	13.0000
325	宠物：九霄战龙	1.0000	7.5000
326	坐骑：梦幻灵驹	1.2000	11.0000
327	坐骑：云鹄锦车	1.7000	13.0000
328	宠物：牛郎织女	0.6000	5.0000
329	乌鸦附体1级	0.2000	2.5000
330	乌鸦附体2级	0.2000	3.0000
331	乌鸦附体3级	0.2000	3.5000
332	乌鸦附体4级	0.2000	4.0000
333	乌鸦附体5级	0.2000	5.5000
334	坐骑：岚马	1.4000	11.0000
335	宠物：通臂猿猴	0.7000	7.0000
336	坐骑：紫玉灵猫	1.4000	11.0000
337	宠物：齐天大圣	1.0000	7.5000
338	坐骑：圣诞白熊	1.0000	7.0000
339	宠物：月亮少女	1.0000	4.5000
340	宠物：二郎真君	0.7000	5.5000
341	坐骑：红薇梦椅	2.4000	9.5000
342	翅膀：灵巫雀羽	2.9000	7.0000
343	翅膀：琉璃雀羽	2.9000	8.0000
344	宠物：京东狗	0.4000	3.3000
345	宠物：太子龙	1.1000	7.0000
346	宠物：狐小仙	0.5000	3.7000
347	坐骑：地火离炎兽	1.4000	11.0000
348	宠物：萌宝猪	0.4000	3.3000
349	坐骑：甜心布丁	2.6000	10.0000
350	坐骑：鬼谷狐狸	1.1000	9.5000
351	家具：庭院桌	0.5000	5.5000
352	家具：庭院凳	0.5000	5.0000
353	家具：八仙桌	0.5000	6.5000
354	家具：条案	0.7000	10.0000
355	家具：茶几	0.6000	5.5000
356	家具：椅子	0.7000	5.5000
357	家具：凳子	0.5000	5.0000
358	家具：书架	1.3000	13.0000
359	家具：屏风	1.3000	13.0000
360	家具：灯烛	1.1000	10.0000
361	家具：墙	1.9000	21.0000
362	家具：盆景	0.7000	7.0000
363	家具：床	1.0000	16.5000
364	家具：树木	2.4000	21.5000
365	家具：花草	0.7000	5.0000
366	家具：影壁	2.0000	24.0000
367	家具：影壁	2.0000	24.0000
368	家具：影壁	2.0000	28.0000
369	家具：影壁	2.0000	30.0000
370	家具：影壁	2.0000	30.0000
371	家具：奇石	1.6000	15.0000
372	家具：鼎	1.0000	10.0000
373	家具：风灯	1.3000	12.0000
374	家具：喷泉	1.1000	19.0000
375	家具：栅栏	1.0000	9.0000
376	家具：私宠	1.6000	20.0000
377	家具：地毯	0.5000	20.0000
378	坐骑：战天狼	1.0000	9.5000
379	宠物：灵魅儿	0.9000	3.5000
380	家具：苗圃树苗	2.0000	20.0000
381	家具：石材	0.6000	9.0000
382	家具：鱼群	0.3500	2.0000
383	宠物：碧落青鸾	1.7500	10.5000
384	宠物：天命玄凤	1.7500	10.5000
385	坐骑：雪鹿橇	1.3500	15.5000
386	家具：幻彩圣诞灯	2.3000	17.0000
387	家具：炫光圣诞树	1.5000	10.0000
388	家具：璀璨圣诞树	2.8000	16.0000
389	家具：圣诞影壁	2.0000	30.0000
390	家具：圣诞糖果	0.5000	5.0000
391	家具：圣诞小熊	0.5000	5.0000
392	家具：欢乐圣诞树	1.6000	12.0000
393	宠物：太极鼠	1.0000	4.0000
394	家具：春节影壁	2.0000	30.0000
395	家具：腊梅树	3.0000	21.5000
396	家具：春节风灯	1.9000	13.0000
397	家具：巧克力喷泉	1.4000	13.0000
398	家具：丘比特雕像	1.4000	12.0000
399	家具：情人节圆地毯	0.4000	18.0000
400	家具：桃树	3.6000	22.0000
401	家具：揽明月	2.0000	19.0000
402	家具：凝香榻	1.0000	16.5000
403	家具：临江仙	0.5000	10.0000
404	家具：镜台春	1.3000	10.0000
405	坐骑：福瑞锦龙	1.3000	13.0000
406	家具：薰衣草	0.5000	7.0000
407	宠物：神机小子	0.5000	4.0000
408	家具：蟠龙池	2.0000	18.0000
409	家具：锦绣山河绣龙屏	2.5000	22.0000
410	坐骑：岐首龙君	1.8000	16.0000
411	家具：萃琉金狻猊	1.3000	10.0000
412	家具：萃琉金雕绾花栏	1.0000	9.0000
413	家具：萃琉金雕渲碧栏	1.0000	9.0000
414	家具：萃琉黄金尊	1.5000	10.0000
415	家具：萃琉瑶池盏	1.5000	10.0000
416	家具：舞罗衣	2.5000	22.0000
417	家具：锦衫阁	1.5000	15.0000
418	家具：浣溪沙	1.3000	15.0000
419	家具：华烛梦归	1.5000	15.0000
420	庄园萌宠：猫	0.3000	2.5000
421	神器展示：明教	1.7000	9.0000
422	神器展示：丐帮	1.5000	9.0000
423	神器展示：少林	1.5000	9.0000
424	神器展示：武当	1.0000	6.0000
425	神器展示：慕容	1.1000	6.3000
426	神器展示：峨眉	1.0000	6.0000
427	神器展示：星宿	1.2000	5.0000
428	神器展示：逍遥	1.2000	5.0000
429	神器展示：天龙	1.3000	6.0000
430	神器展示：天山	1.3000	6.0000
431	神器展示：唐门	1.0000	6.0000
432	神器展示：鬼谷	1.3000	9.0000
433	坐骑：猎鹰兽01	0.8500	12.0000
434	坐骑：猎鹰兽02	0.8500	12.0000
435	宠物：哪吒	0.7000	5.5000
436	家具：海石花景盆	1.4000	10.0000
437	家具：海帘青簟床	1.5000	20.0000
438	家具：苍影摇焰灯	2.0000	15.0000
439	坐骑：冰雪	2.8000	11.0000
440	家具：npc20151130圣诞树蓝4	2.8000	16.0000
441	家具：npc20151130圣诞树3	1.6000	12.0000
442	家具：npc20171128家园圣诞栅栏	1.0000	9.0000
443	家具：npc20171117家园圣诞隔断墙	2.5000	22.0000
444	宠物：噬月苍狗	0.8500	7.5000
445	宠物：紫霄玄狼	0.8500	7.5000
446	宠物：小狐仙	0.6100	5.2000
447	坐骑:骑乘180116翅膀	2.4000	7.0000
448	家具：npc20180403十一周年室内隔断	2.5000	22.0000
449	家具：npc20180403十一周年室内宫灯	1.1000	10.0000
450	宠物：蛋蛋鸡	0.4000	5.7500
451	坐骑：长歌行	1.4500	11.5000
452	坐骑：霜翎明王雀	2.9000	11.0000
453	宠物：狸美人	0.8000	7.5000
454	坐骑：羽毛	1.6000	16.0000
455	坐骑：兔子月亮	4.1000	15.6000
456	宠物：兔纸妖妖	0.7700	8.0000
457	坐骑：御锋行	2.0000	11.5000
458	宠物：凌霄神卫	1.2000	7.0000
459	宠物：天蓬元帅	1.0000	8.0000
460	宠物：帅哥哥	1.0000	8.0000
461	坐骑：栖凤歌	4.1000	12.0000
462	家具：嵌珠流光如意床	1.5000	20.0000
463	坐骑：霞上仙	2.6000	11.5000
464	宠物：九霄开明	1.0000	8.5000
465	霜鹤级别1	0.1500	2.5000
466	霜鹤级别2	0.1500	3.0000
467	霜鹤级别3	0.1500	3.5000
468	霜鹤级别4	0.1500	4.0000
469	霜鹤级别5	0.1500	6.0000
470	宠物：太白鹿灵	0.9000	9.5000
471	宠物：磨喝乐	0.5000	4.5000
472	坐骑：水客乘鲤去	2.6000	15.6000
473	骑乘：鸢	3.9000	13.0000
474	坐骑:乌夜兮游缰	1.2000	9.0000
475	神器展示：桃花岛	1.4000	6.0000
476	宠物：天平实则	1.0000	8.0000
477	坐骑：蔓萝纤	3.3000	11.6000
478	坐骑：海波晏	3.0000	16.0000
479	宠物：磨喝乐鹊驾曲风格	0.8000	8.0000
480	坐骑：并蒂莲	3.3000	9.0000
481	坐骑：小菩提	0.6000	4.8000
482	宠物：碧霄炽金麟	0.8000	7.8000
483	坐骑：金鞍映雪	1.3000	8.2000
484	坐骑：汴京白马	1.0000	6.2000
485	坐骑：汴京黑马	1.0000	6.2000
486	坐骑：白鸾	1.0000	15.0000
487	神器展示：丛刃	1.7000	6.0000
488	宠物：六合陵光	3.0000	11.0000
489	宠物：烛引沧溟	2.0000	14.0000
490	宠物：王子公主	0.6000	6.0000
491	宠物：熊猫珍兽	0.6000	4.0000
492	宠物：破阵将魂	1.4000	9.0000
493	宠物：兔八妹	1.5000	9.0000
494	宠物：天马	1.5000	5.5000
495	宠物：TVB小电视	0.8000	6.0000
496	宠物：怀旧企鹅	0.6000	5.0000
497	宠物：鸾凤和鸣	1.5000	7.5000

976	宠物：月神	1.6	7
977	宠物：VIP蛇	1.8000	12.0000
978	宠物：牛魔王	1.4000	7.0000
979	宠物：锦鲤	1.5000	7.0000
980	宠物：鹿蜀	1.1000	7.0000
981	宠物：仙鹤	1.9500	6.5000
982	宠物：朱雀	3.5000	12.0000
983	宠物：白虎	1.1000	8.2500
984	宠物：蝴蝶	2.3000	6.5000
985	宠物：金乌	1.9500	6.5000
986	宠物：青龙	1.5000	17.0000
987	宠物：九尾狐	1.4000	10.5000
988	宠物：玄武	1.4000	10.5000

989	宠物：锦鲤	2.5000	14.0000
990	宠物：鹿蜀	1.8000	14.3000
991	宠物：仙鹤	3.9000	13.0000
992	宠物：朱雀	4.0000	24.0000
993	宠物：白虎	2.8000	21.0000
994	宠物：蝴蝶	3.9000	13.0000
995	宠物：金乌	3.9000	13.0000
996	宠物：青龙	3.3000	28.0000
997	宠物：九尾狐	2.8000	21.0000
998	宠物：玄武	2.8000	21.0000

999	宠物:安琪儿	0.9500	5.4000
1000	INFANT	0.6000	4.5000
