INT	INT	STRING	INT	INT
64	1	set:ManProtagonist1 image:ManProtagonist1_7	2	2
65	0	set:GirlProtagonist1 image:GirlProtagonist1_8	2	2
66	1	set:ManProtagonist1 image:ManProtagonist1_8	2	2
67	0	set:GirlProtagonist1 image:GirlProtagonist1_9	2	2
68	1	set:ManProtagonist1 image:ManProtagonist1_9	2	2
69	0	set:GirlProtagonist1 image:GirlProtagonist1_10	2	2
70	1	set:ManProtagonist1 image:ManProtagonist1_10	2	2
71	0	set:GirlProtagonist1 image:GirlProtagonist1_11	2	2
72	1	set:ManProtagonist1 image:ManProtagonist1_11	2	2
73	0	set:GirlProtagonist1 image:GirlProtagonist1_12	2	2
74	1	set:ManProtagonist1 image:ManProtagonist1_12	2	2
75	0	set:GirlProtagonist1 image:GirlProtagonist1_13	2	2
76	1	set:ManProtagonist1 image:ManProtagonist1_13	2	2
77	0	set:GirlProtagonist1 image:GirlProtagonist1_14	2	2
78	1	set:ManProtagonist1 image:ManProtagonist1_14	2	2
79	0	set:GirlProtagonist1 image:GirlProtagonist1_15	2	2
80	1	set:ManProtagonist1 image:ManProtagonist1_15	2	2
81	0	set:GirlProtagonist1 image:GirlProtagonist1_16	2	2
82	1	set:ManProtagonist1 image:ManProtagonist1_16	2	2
83	0	set:GirlProtagonist1 image:GirlProtagonist1_17	2	2
84	1	set:ManProtagonist1 image:ManProtagonist1_17	2	2
85	0	set:GirlProtagonist1 image:GirlProtagonist1_18	2	2
86	1	set:ManProtagonist1 image:ManProtagonist1_18	2	2
87	0	set:GirlProtagonist1 image:GirlProtagonist1_19	2	2
88	1	set:ManProtagonist1 image:ManProtagonist1_19	2	2
89	0	set:GirlProtagonist1 image:GirlProtagonist1_21	2	2
90	1	set:ManProtagonist1 image:ManProtagonist1_21	2	2
91	0	set:GirlProtagonist1 image:GirlProtagonist1_22	2	2
92	1	set:ManProtagonist1 image:ManProtagonist1_22	2	2
93	0	set:GirlProtagonist1 image:GirlProtagonist1_23	2	2
94	1	set:ManProtagonist1 image:ManProtagonist1_23	2	2
95	0	set:GirlProtagonist1 image:GirlProtagonist1_24	2	2
96	1	set:ManProtagonist1 image:ManProtagonist1_24	2	2
97	0	set:GirlProtagonist1 image:GirlProtagonist1_25	2	2
98	1	set:ManProtagonist1 image:ManProtagonist1_25	2	2
99	0	set:GirlProtagonist2 image:GirlProtagonist2_1	2	2
100	1	set:ManProtagonist2 image:ManProtagonist2_1	2	2
