INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
203	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	0	-1	普通攻击3	
204	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	0	-1	连招1a	
205	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	0	-1	连招1b	
206	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	0	-1	连招1c	
450	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	npc_gaojidaji	0	-1	高级打击(NPC)	
451	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	npc_yuanchenggongji	0	-1	远程普通攻击(NPC)	
452	npc_magic	npc_magic	npc_magic	npc_magic	npc_magic	npc_magic	npc_magic	npc_magic	npc_magic	0	-1	寒冰咒(NPC)	
453	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	烈火咒(NPC)	
454	npc_magic1	npc_magic1	npc_magic1	npc_magic1	npc_magic1	npc_magic1	npc_magic1	npc_magic1	npc_magic1	0	-1	玄雷咒(NPC)	
455	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	血毒咒(NPC)	
456	npc_bingbao	npc_bingbao	npc_bingbao	npc_bingbao	npc_bingbao	npc_bingbao	npc_bingbao	npc_bingbao	npc_bingbao	0	-1	冰爆（NPC）	
457	npc_huobao	npc_huobao	npc_huobao	npc_huobao	npc_huobao	npc_huobao	npc_huobao	npc_huobao	npc_huobao	0	-1	火爆（NPC）	
458	npc_leibao	npc_leibao	npc_leibao	npc_leibao	npc_leibao	npc_leibao	npc_leibao	npc_leibao	npc_leibao	0	-1	雷爆（NPC）	
459	npc_dubao	npc_dubao	npc_dubao	npc_dubao	npc_dubao	npc_dubao	npc_dubao	npc_dubao	npc_dubao	0	-1	毒爆（NPC)	
460	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	npc_qunmoluanwu	0	-1	群魔乱舞（NPC）	
461	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	npc_zhendigongji	0	-1	震地攻击（NPC）	
462	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	封穴(NPC)	
463	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	麻痹(NPC)	
464	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	围困	
465	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	石化	
466	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	失明	
467	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	恐惧	
468	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	寸步难移	
469	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	缠绕	
470	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	就擒	
471	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	死缠烂打(NPC)	
472	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	软弱无力(NPC)	
473	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	反应迟钝(NPC)	
474	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	身体虚弱(NPC)	
475	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	无精打采(NPC)	
476	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	内力外泄(NPC)	
477	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	弱不禁风(NPC)	
478	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	噬血(NPC)	
479	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	中毒(NPC)	
480	npc_zhiliao	npc_zhiliao	npc_zhiliao	npc_zhiliao	npc_zhiliao	npc_zhiliao	npc_zhiliao	npc_zhiliao	npc_zhiliao	0	-1	治疗(NPC)	
481	npc_jinghua	npc_jinghua	npc_jinghua	npc_jinghua	npc_jinghua	npc_jinghua	npc_jinghua	npc_jinghua	npc_jinghua	0	-1	净化驱散SOT，DOT(NPC)	
482	npc_shixue	npc_shixue	npc_shixue	npc_shixue	npc_shixue	npc_shixue	npc_shixue	npc_shixue	npc_shixue	0	-1	嗜血增加物攻(NPC)	
483	npc_shifu	npc_shifu	npc_shifu	npc_shifu	npc_shifu	npc_shifu	npc_shifu	npc_shifu	npc_shifu	0	-1	石肤增加防御(NPC)	
484	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	0	-1	开膛(伤半血NPC)	
485	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	npc_magic2	0	-1	破抗(NPC)	
486	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	npc_attack	0	-1	宠物普通攻击	
487	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	cw_buff_bingjing	0	-1	冰精（特性，食冰与畏火）	
488	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	cw_buff_huoling	0	-1	火灵（特性，食火与畏冰）	
489	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	cw_buff_dugu	0	-1	毒蛊（特性，食毒与畏玄）	
490	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	cw_buff_xuanshou	0	-1	玄兽（特性，食玄与畏毒）	
491	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	cw_buff_chidun	0	-1	迟钝（特性，增强自身血上限，但命中和闪避削弱）	
492	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	cw_buff_jiaohua	0	-1	狡猾（特性，增强自身命中、闪避，但防御（外/内）被削弱）	
493	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	cw_buff_hanhou	0	-1	憨厚（特性，增强自身防御（外/内），削弱自身会心）	
494	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	cw_buff_pingming	0	-1	拼命（特性，增强宠物的会心，但血上限被削弱）	
495	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	cw_buff_fahun	0	-1	法魂（增强自身内攻，削弱自身外功）	
496	cw_buff_manli	cw_buff_manli	cw_buff_manli	cw_buff_manli	cw_buff_manli	cw_buff_manli	cw_buff_manli	cw_buff_manli	cw_buff_manli	0	-1	蛮力（增强自身外功，削弱自身内攻）	
497	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	借力（增强主人的力量）	
498	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级借力（增强主人的力量）	
499	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	移魂（增强主人的定力）	
500	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级移魂（增强主人的定力）	
501	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	加速（增强主人的身法）	
502	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级加速（增强主人的身法）	
503	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	强身（增强主人的体力）	
504	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级强身（增强主人的体力）	
505	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	凝神（增强主人的灵气）	
506	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级凝神（增强主人的灵气）	
507	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	极冰凝杀（手动冰系群杀）	
508	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	劫火焚杀（手动火系群杀）	
509	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	腐毒蚀杀（手动毒系群杀）	
510	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	玄雷击杀（手动雷系群杀）	
511	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	0	-1	血爆（手动，范围攻击）	
512	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	cw_fs_xuebao	0	-1	高级血爆（手动，范围攻击）	
513	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	0	-1	圣爆（手动，范围加血）	
514	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	cw_fs_shengbao	0	-1	高级圣爆（手动，范围加血）	
515	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	0	-1	冰爆（手动，范围冰封）	
516	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	cw_fs_bingbao	0	-1	高级冰爆（手动，范围冰封）	
517	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	0	-1	净化（手动，净化主人身上一个不良BUFF)	
518	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	cw_fs_jinghua	0	-1	高级净化（手动，净化主人身上一个不良BUFF)	
519	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	重生（手动，使宠物死后复活）	
520	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级重生（手动，使宠物死后复活）	
521	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	0	-1	共生（手动，让宠匀血给主人）	
522	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	cw_fs_gongsheng	0	-1	高级共生（手动，让宠匀血给主人	
523	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	治疗（手动，治疗主人）	
524	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级治疗（手动，治疗主人）	
525	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	肉墙（手动，一定时间内宠物为主人承受伤害）	
526	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级肉墙（手动，一定时间内宠物为主人承受伤害）	
527	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	神佑（手动，宠物令主人进入无敌状态）	
528	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级神佑（手动，宠物令主人进入无敌状态）	
529	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	嗜血（手动，宠物进入嗜血状态）	
530	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	高级嗜血（手动，宠物进入嗜血状态）	
531	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	0	-1	血祭（手动，用宠物的HP换取主人MP）	
532	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	cw_fs_xueji	0	-1	高级血祭（手动，用宠物的HP换取主人MP）	
533	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	cw_magic	0	-1	伪装(手动，令宠物进入无敌状态)	
