INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING
12	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	跑跳b	m01_跑跳b	0	-1	m01_跑跳b	m01_跑跳b
13	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	m01_跑跳b	跑跳b	m01_跑跳b	0	-1	m01_跑跳b	m01_跑跳b
14	扇子警戒	长枪警戒	大刀警戒	双短警戒	单短警戒	桃花岛警戒	双环警戒	站立	双手弩警戒	0	-1	杖警戒	空手警戒
15								行走		0	-1		
16	m01_扇子跑步	m01_长枪跑步	m01_长枪跑步	m01_双短跑步	m01_双短跑步	桃花岛跑步	m01_双环跑步	跑步	双手弩跑步	0	-1	杖跑步	m01_跑步
17	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃a	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
18	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃b1	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
19	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃c	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
20	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃a	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
21	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃b2	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
22	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	m01_跑跃	跳跃c	m01_跑跃	0	-1	m01_跑跃	m01_跑跃
23	扇子受击	长枪受击	大刀受击	双短受击	单短受击	桃花岛受击	双环受击	受击	双手弩受击	0	-1	杖受击	空手受击
24	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	倒地	0	-1	倒地	倒地
25	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	死亡	0	-1	死亡	死亡
26	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	倒飞a	0	-1	倒飞a	倒飞a
27	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	倒飞b	0	-1	倒飞b	倒飞b
28	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	倒飞c	0	-1	倒飞c	倒飞c
29	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	骑乘站立_马	0	-1	骑乘站立_马	骑乘站立_马
30	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	0	-1	骑乘休闲_马	骑乘休闲_马
31	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	骑乘休闲_马	0	-1	骑乘休闲_马	骑乘休闲_马
32	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	0	-1	骑乘跑步_马	骑乘跑步_马
33	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	骑乘跑步_马	0	-1	骑乘跑步_马	骑乘跑步_马
34										0	-1		
35	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	骑乘跳跃_马	0	-1	骑乘跳跃_马	骑乘跳跃_马
36										0	-1		
37										0	-1		
38	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	骑乘跑跳_马	0	-1	骑乘跑跳_马	骑乘跑跳_马
39										0	-1		
40	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	骑乘站立_虎	0	-1	骑乘站立_虎	骑乘站立_虎
41	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	0	-1	骑乘休闲_虎	骑乘休闲_虎
42	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	骑乘休闲_虎	0	-1	骑乘休闲_虎	骑乘休闲_虎
43	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	0	-1	骑乘跑步_虎	骑乘跑步_虎
44	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	骑乘跑步_虎	0	-1	骑乘跑步_虎	骑乘跑步_虎
45										0	-1		
46	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	骑乘跳跃_虎	0	-1	骑乘跳跃_虎	骑乘跳跃_虎
47										0	-1		
48										0	-1		
49	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	骑乘跑跳_虎	0	-1	骑乘跑跳_虎	骑乘跑跳_虎
50										0	-1		
51	扇子警戒	长枪警戒	大刀警戒	双短警戒	单短警戒	桃花岛警戒	双环警戒	站立	双手弩警戒	0	-1	杖警戒	空手警戒
52										0	-1		
53	扇子潜行	长枪潜行	长枪潜行	双短潜行	单短潜行	桃花岛潜行	双环潜行	站立	双手弩潜行	0	-1	长枪潜行	空手潜行
63	击飞	击飞	击飞	击飞	击飞	击飞	击飞	击飞	击飞	0	-1	击飞	击飞
64	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	融合受击	0	-1	融合受击	融合受击
65										0	-1		
88	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	开宝箱	1	-1	开宝箱	开宝箱
89	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	男掷雪球蓄力	1	-1	男掷雪球蓄力	男掷雪球蓄力
90	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	男掷雪球	1	-1	男掷雪球	男掷雪球
91	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	男休闲掷雪球	1	-1	男休闲掷雪球	男休闲掷雪球
92	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	0	-1	m01_升级_shengji	m01_升级_shengji
93	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	m01_升级_shengji	0	-1	m01_升级_shengji	m01_升级_shengji
95	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	鞠躬	站立	鞠躬	1	-1	鞠躬	鞠躬
96	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	打招呼	站立	打招呼	1	-1	打招呼	打招呼
97	高兴	高兴	高兴	高兴	高兴	高兴	高兴	站立	高兴	1	-1	高兴	高兴
98	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	悲伤	站立	悲伤	1	-1	悲伤	悲伤
99	m01_心法升级	m01_心法升级	m01_心法升级	m01_心法升级	m01_心法升级	m01_心法升级	m01_心法升级	m01_心法升级	m01_心法升级	0	-1	m01_心法升级	m01_心法升级
100	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	晕倒a	站立	晕倒a	1	-1	晕倒a	晕倒a
101	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	晕倒b	站立	晕倒b	1	-1	晕倒b	晕倒b
102	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	晕倒c	站立	晕倒c	1	-1	晕倒c	晕倒c
103	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	站立	下跪a	1	-1	下跪a	下跪a
104	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	站立	下跪b	1	-1	下跪b	下跪b
105	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	站立	下跪c	1	-1	下跪c	下跪c
106	称赞	称赞	称赞	称赞	称赞	称赞	称赞	站立	称赞	1	-1	称赞	称赞
107	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	站立	吃惊	1	-1	吃惊	吃惊
108	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	站立	抱拳	1	-1	抱拳	抱拳
109	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	站立	愤怒	1	-1	愤怒	愤怒
110	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	站立	哈欠	1	-1	哈欠	哈欠
111	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	站立	鼓掌	1	-1	鼓掌	鼓掌
112	摇头	摇头	摇头	摇头	摇头	摇头	摇头	站立	摇头	1	-1	摇头	摇头
113	点头	点头	点头	点头	点头	点头	点头	站立	点头	1	-1	点头	点头
114	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	站立	睡觉a	1	-1	睡觉a	睡觉a
115	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	站立	睡觉b	1	-1	睡觉b	睡觉b
116	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	站立	睡觉c	1	-1	睡觉c	睡觉c
117	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	站立	飞吻	1	-1	飞吻	飞吻
118	打开	打开	打开	打开	打开	打开	打开	攻击	打开	1	-1	打开	打开
119	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	攻击	钓鱼	1	362	钓鱼	钓鱼
120	采药	采药	采药	采药	采药	采药	采药	攻击	采药	1	-1	采药	采药
121	采药	采药	采药	采药	采药	采药	采药	攻击	采药	1	361	采药	采药
124	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	1	-1	g01_xuexipeifang	g01_xuexipeifang
125	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	0	-1	单短横扫	单短横扫
126	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	0	-1	单短法2蓄力	单短法2蓄力
127	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	0	-1	单短攻击01	单短攻击01
128	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	0	-1	单短法2发出	单短法2发出
129	单短攻击01	长枪攻击01	长枪攻击01	双短攻击01	单短攻击01	单短攻击01	双短攻击01	攻击	单短攻击01	0	-1	长枪攻击01	单短攻击01
130	单短凿地c	长枪凿地c	长枪凿地c	双短凿地c	单短凿地c	单短凿地c	双短凿地c	攻击	单短凿地c	0	-1	长枪凿地c	单短攻击01
131	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	攻击	维持1a	0	-1	维持1a	维持1a
132	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	攻击	维持1b	0	-1	维持1b	维持1b
133	单短丹凤朝阳	长枪丹凤朝阳	长枪丹凤朝阳	双短丹凤朝阳	单短丹凤朝阳	单短丹凤朝阳	双短丹凤朝阳	攻击	单短丹凤朝阳	0	-1	长枪丹凤朝阳	单短攻击01
134	单短慈航普渡	长枪慈航普渡	长枪慈航普渡	双短慈航普渡	单短慈航普渡	单短慈航普渡	双短慈航普渡	攻击	单短慈航普渡	0	-1	长枪慈航普渡	单短攻击01
135	单短少泽剑	长枪少泽剑	长枪少泽剑	双短少泽剑	单短少泽剑	单短少泽剑	双短少泽剑	攻击	单短少泽剑	0	-1	长枪少泽剑	单短攻击01
136	扇子站立02	长枪站立02	大刀站立02	双短站立02	单短站立02	单短站立02	双环站立02	攻击	单短站立02	0	-1	长枪站立02	空手站立02
137	扇子站立01	长枪站立02	大刀攻击01	双短站立01	单短站立01	桃花岛站立	双环站立01	攻击	双手弩站立01	0	-1	长枪站立02	空手站立02
138	扇子攻击01	长枪站立02	大刀站立01	双短站立01	单短站立01	桃花岛站立	双环站立01	攻击	双手弩站立01	0	-1	长枪站立02	空手站立02
139	扇子站立01	长枪站立02	大刀站立01	双短站立01	单短攻击02	桃花岛站立	双环站立01	攻击	双手弩站立01	0	-1	长枪站立02	空手站立02
140	扇子站立01	长枪站立02	大刀站立01	双短站立01	单短攻击03	桃花岛站立	双环站立01	攻击	双手弩站立01	0	-1	长枪站立02	空手站立02
141	扇子站立01	长枪站立02	大刀站立01	双短站立01	单短攻击03	桃花岛箫攻击03	双环攻击03	攻击	双手弩攻击03	0	-1	长枪站立02	空手站立02
142	采矿	采矿	采矿	采矿	采矿	采矿	采矿	攻击	采矿	1	363	采矿	采矿
143	打开	打开	打开	打开	打开	打开	打开	攻击	打开	1	-1	打开	打开
144	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	攻击	钓鱼	0	-1	钓鱼	钓鱼
145	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	攻击	跳跃	0	-1	跳跃	跳跃
146	m01_单短连招1_shan	m01_长枪连招1	m01_长枪连招1	m01_双短连招1	m01_单短连招1	m01_单短连招1	m01_双短连招1_huan	npc_attack	m01_单短连招1	0	-1	m01_长枪连招1	m01_普通攻击01_kongshou
147	m01_单短连招2_shan	m01_长枪连招2	m01_长枪连招2	m01_双短连招2	m01_单短连招2	m01_单短连招2	m01_双短连招2_huan	npc_attack	m01_单短连招2	0	-1	m01_长枪连招2	m01_普通攻击01_kongshou
148	m01_单短连招3_shan	m01_长枪连招3	m01_长枪连招3	m01_双短连招3	m01_单短连招3	m01_单短连招3	m01_双短连招3_huan	npc_attack	m01_单短连招3	0	-1	m01_长枪连招3	m01_普通攻击01_kongshou
149	m01_单短连招4_shan	m01_长枪连招4	m01_长枪连招4	m01_双短连招4	m01_单短连招4	m01_单短连招4	m01_双短连招4_huan	npc_attack	m01_单短连招4	0	-1	m01_长枪连招4	m01_普通攻击01_kongshou
150	m01_扫地	m01_扫地	m01_扫地	m01_扫地	m01_扫地	m01_扫地	m01_扫地	npc_attack	m01_扫地	0	364	m01_扫地	m01_扫地
151	m01_空手站立01	m01_空手站立01	m01_空手站立01	m01_空手站立01	m01_空手站立01	m01_空手站立01	m01_空手站立01	npc_attack	m01_空手站立01	0	364	m01_空手站立01	m01_空手站立01
152	m01_招宠成功	m01_招宠成功	m01_招宠成功	m01_招宠成功	m01_招宠成功	m01_招宠成功	m01_招宠成功	m_magic	m01_招宠成功	0	-1	m01_招宠成功	m01_招宠成功
153	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen	m_magic	m01_双手合十_luohanzhen	1	-1	m01_双手合十_luohanzhen	m01_双手合十_luohanzhen
154	m01_双手合十_shizihou	m01_双手合十_shizihou	m01_双手合十_shizihou	m01_双手合十_shizihou	m01_双手合十_shizihou	m01_双手合十_shizihou	m01_双手合十_shizihou	m_magic	m01_双手合十_shizihou	1	-1	m01_双手合十_shizihou	m01_双手合十_shizihou
155	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu	m_magic	m01_双手合十_cihangpudu	1	-1	m01_双手合十_cihangpudu	m01_双手合十_cihangpudu
156	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai	m_magic	m01_双手合十_lijingrulai	1	-1	m01_双手合十_lijingrulai	m01_双手合十_lijingrulai
157	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang	m_magic	m01_双手合十_yiweidujiang	1	-1	m01_双手合十_yiweidujiang	m01_双手合十_yiweidujiang
158	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen	m_magic	m01_双手合十_qiguanquanshen	1	-1	m01_双手合十_qiguanquanshen	m01_双手合十_qiguanquanshen
159	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang	m_magic	m01_摩诃无量_mokewuliang	0	-1	m01_摩诃无量_mokewuliang	m01_摩诃无量_mokewuliang
160	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi	m_magic	m01_多罗叶指_duoluoyezhi	0	-1	m01_多罗叶指_duoluoyezhi	m01_多罗叶指_duoluoyezhi
161	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao	m_magic	m01_金钟罩_jinzhongzhao	0	-1	m01_金钟罩_jinzhongzhao	m01_金钟罩_jinzhongzhao
162	m01_普通攻击01_shanzi	m01_普通攻击01_changqiang	m01_普通攻击01_dadao	m01_普通攻击01_shuangduan	m01_普通攻击01_danduan	桃花岛箫攻击01	m01_普通攻击01_shuanghuan	npc_attack	双手弩攻击01	0	-1	杖攻击01	m01_普通攻击01_kongshou
163	m01_普通攻击02_shanzi	m01_普通攻击02_changqiang	m01_普通攻击02_dadao	m01_普通攻击02_shuangduan	m01_普通攻击02_danduan	桃花岛箫攻击02	m01_普通攻击02_shuanghuan	npc_attack	双手弩攻击02	0	-1	杖攻击02	m01_普通攻击01_kongshou
164	m01_普通攻击03_shanzi	m01_普通攻击03_changqiang	m01_普通攻击03_dadao	m01_普通攻击03_shuangduan	m01_普通攻击03_danduan	桃花岛箫攻击03	m01_普通攻击03_shuanghuan	npc_attack	双手弩攻击03	0	-1	杖攻击03	m01_普通攻击01_kongshou
165	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	npc_attack	m01_普通攻击01_kongshou	0	-1	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou
166	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	npc_attack	m01_普通攻击01_kongshou	0	-1	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou
167	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou	npc_attack	m01_普通攻击01_kongshou	0	-1	m01_普通攻击01_kongshou	m01_普通攻击01_kongshou
168	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	npc_attack	轻功1a	0	-1	轻功1a	轻功1a
169	m01轻功1b	m01轻功1b	m01轻功1b	m01轻功1b	m01轻功1b	m01轻功1b	m01轻功1b	npc_attack	m01轻功1b	0	-1	m01轻功1b	m01轻功1b
170	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	npc_attack	轻功1c	0	-1	轻功1c	轻功1c
171	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	npc_attack	打坐a	1	-1	打坐a	打坐a
172	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	npc_attack	打坐b	1	-1	打坐b	打坐b
173	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	npc_attack	打坐c	1	-1	打坐c	打坐c
174	m01_攻击动作4_huoxingchongri	m01_攻击动作4_huoxingchongri	m01_攻击动作4_huoxingchongri	m01_攻击动作4_huoxingchongri	m01_攻击动作4_huoxingchongri	m01_攻击动作4_huoxingchongri	m01_攻击动作4_huoxingchongri	npc_attack	m01_攻击动作4_huoxingchongri	0	-1	m01_攻击动作4_huoxingchongri	m01_普通攻击01_kongshou
175	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong	npc_attack	m01_抬头挺胸_qixingluochangkong	0	-1	m01_抬头挺胸_qixingluochangkong	m01_抬头挺胸_qixingluochangkong
176	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian	npc_attack	m01_抬头挺胸_shenxingbaibian	0	-1	m01_抬头挺胸_shenxingbaibian	m01_抬头挺胸_shenxingbaibian
177	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima	npc_attack	m01_抬头挺胸_zhiluweima	0	-1	m01_抬头挺胸_zhiluweima	m01_抬头挺胸_zhiluweima
178	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu	npc_attack	m01_抬头挺胸_toulianghuanzhu	0	-1	m01_抬头挺胸_toulianghuanzhu	m01_抬头挺胸_toulianghuanzhu
179	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren	npc_attack	m01_抬头挺胸_qiannuyuren	0	-1	m01_抬头挺胸_qiannuyuren	m01_抬头挺胸_qiannuyuren
180	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan	npc_attack	m01_抬头挺胸_nufachongguan	0	-1	m01_抬头挺胸_nufachongguan	m01_抬头挺胸_nufachongguan
181	m01_攻击动作2_leitingzhinu	m01_攻击动作2_leitingzhinu	m01_攻击动作2_leitingzhinu	m01_攻击动作2_leitingzhinu	m01_攻击动作2_leitingzhinu	m01_攻击动作2_leitingzhinu	m01_攻击动作2_leitingzhinu	npc_attack	m01_攻击动作2_leitingzhinu	0	-1	m01_攻击动作2_leitingzhinu	m01_普通攻击01_kongshou
