INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	
103	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	下跪a	站立	站立	1	-1		
104	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	下跪b	站立	站立	1	-1		
105	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	下跪c	站立	站立	1	-1		
106	称赞	称赞	称赞	称赞	称赞	称赞	称赞	站立	站立	1	-1		
107	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	吃惊	站立	站立	1	-1		
108	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	抱拳	站立	站立	1	-1		
109	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	愤怒	站立	站立	1	-1		
110	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	哈欠	站立	站立	1	-1		
111	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	鼓掌	站立	站立	1	-1		
112	摇头	摇头	摇头	摇头	摇头	摇头	摇头	站立	站立	1	-1		
113	点头	点头	点头	点头	点头	点头	点头	站立	站立	1	-1		
114	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	睡觉a	站立	站立	1	-1		
115	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	睡觉b	站立	站立	1	-1		
116	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	睡觉c	站立	站立	1	-1		
117	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	飞吻	站立	站立	1	-1		
118	打开	打开	打开	打开	打开	打开	打开	攻击	攻击	1	-1	操作中	
119	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	攻击	攻击	1	362	钓鱼	
120	采药	采药	采药	采药	采药	采药	采药	攻击	攻击	1	-1	收割	
121	采药	采药	采药	采药	采药	采药	采药	攻击	攻击	1	361	采草药	
124	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	g01_xuexipeifang	1	-1	学习配方	
125	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	单短横扫	0	-1		
126	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	单短法2蓄力	0	-1		
127	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	单短攻击01	0	-1		
128	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	单短法2发出	0	-1		
129	单短攻击01	长枪攻击01	长枪攻击01	单短攻击01	单短攻击01	单短攻击01	双短攻击01	攻击	攻击	0	-1		
130	单短攻击01	长枪凿地c	长枪凿地c	单短凿地c	单短凿地c	单短凿地c	双短凿地c	攻击	攻击	0	-1		
131	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	维持1a	攻击	攻击	0	-1		
132	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	维持1b	攻击	攻击	0	-1		
133	单短攻击01	长枪丹凤朝阳	长枪丹凤朝阳	单短丹凤朝阳	单短丹凤朝阳	单短丹凤朝阳	双短丹凤朝阳	攻击	攻击	0	-1		
134	单短攻击01	长枪慈航普渡	长枪慈航普渡	单短慈航普渡	单短慈航普渡	单短慈航普渡	双短慈航普渡	攻击	攻击	0	-1		
135	单短攻击01	长枪少泽剑	长枪少泽剑	单短少泽剑	单短少泽剑	单短少泽剑	双短少泽剑	攻击	攻击	0	-1		
136	空手站立02	大刀站立02	长枪站立02	双手弩站立01	单短站立02	扇子站立02	双环站立02	攻击	攻击	0	-1		
137	空手站立02	大刀攻击01	长枪站立02	双手弩站立01	单短站立01	扇子站立01	双环站立01	攻击	攻击	0	-1		
138	空手站立02	大刀站立01	长枪站立02	双手弩站立01	单短站立01	扇子攻击01	双环站立01	攻击	攻击	0	-1		
139	空手站立02	大刀站立01	长枪站立02	双手弩站立01	单短攻击02	扇子站立01	双环站立01	攻击	攻击	0	-1		
140	空手站立02	大刀站立01	长枪站立02	双手弩站立01	单短攻击03	扇子站立01	双环站立01	攻击	攻击	0	-1		
141	空手站立02	大刀站立01	长枪站立02	双手弩攻击03	单短攻击03	扇子站立01	双环攻击03	攻击	攻击	0	-1		
142	采矿	采矿	采矿	采矿	采矿	采矿	采矿	攻击	攻击	1	363	采矿	
143	打开	打开	打开	打开	打开	打开	打开	攻击	攻击	1	-1		
144	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	钓鱼	攻击	攻击	0	-1		
145	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	跳跃	攻击	攻击	0	-1		
146	g01_普通攻击01_kongshou	g01_长枪连招1	g01_长枪连招1	g01_单短连招1	g01_单短连招1	g01_单短连招1_shan	g01_双短连招_huan	npc_attack	npc_attack	0	-1	连招1	
147	g01_普通攻击01_kongshou	g01_长枪连招2	g01_长枪连招2	g01_单短连招2	g01_单短连招2	g01_单短连招2_shan	g01_双短连招2_huan	npc_attack	npc_attack	0	-1	连招2	
148	g01_普通攻击01_kongshou	g01_长枪连招3	g01_长枪连招3	g01_单短连招3	g01_单短连招3	g01_单短连招3_shan	g01_双短连招3_huan	npc_attack	npc_attack	0	-1	连招3	
149	g01_普通攻击01_kongshou	g01_长枪连招4	g01_长枪连招4	g01_单短连招4	g01_单短连招4	g01_单短连招4_shan	g01_双短连招4_huan	npc_attack	npc_attack	0	-1	连招4	
150	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	g01_扫地	npc_attack	npc_attack	0	364	扫地	
151	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	g01_空手站立01	npc_attack	npc_attack	0	364	扫地完成	
152	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	g01_招宠成功	m_magic	m_magic	0	-1	捉宠成功	
153	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	g01_双手合十_luohanzhen	m_magic	m_magic	1	-1	罗汉阵	
154	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	g01_双手合十_shizihou	m_magic	m_magic	1	-1	狮子吼	
155	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	g01_双手合十_cihangpudu	m_magic	m_magic	1	-1	慈航普渡	
156	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	g01_双手合十_lijingrulai	m_magic	m_magic	1	-1	礼敬如来	
157	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	g01_双手合十_yiweidujiang	m_magic	m_magic	1	-1	一苇渡江	
158	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	g01_双手合十_qiguanquanshen	m_magic	m_magic	1	-1	气贯全身	
159	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	g01_摩诃无量_mokewuliang	m_magic	m_magic	0	-1	摩诃无量	
160	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	g01_多罗叶指_duoluoyezhi	m_magic	m_magic	0	-1	多罗叶指	
161	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	g01_金钟罩_jinzhongzhao	m_magic	m_magic	0	-1	金钟罩	
162	g01_普通攻击01_kongshou	g01_普通攻击01_dadao	杖攻击01	双手弩攻击01	g01_普通攻击01_danduan	g01_普通攻击01_shanzi	g01_普通攻击01_shuanghuan	npc_attack	npc_attack	0	-1	普通攻击1	
163	g01_普通攻击01_kongshou	g01_普通攻击02_dadao	杖攻击02	双手弩攻击02	g01_普通攻击02_danduan	g01_普通攻击02_shanzi	g01_普通攻击02_shuanghuan	npc_attack	npc_attack	0	-1	普通攻击2	
164	g01_普通攻击01_kongshou	g01_普通攻击03_dadao	杖攻击03	双手弩攻击03	g01_普通攻击03_danduan	g01_普通攻击03_shanzi	g01_普通攻击03_shuanghuan	npc_attack	npc_attack	0	-1	普通攻击3	
165	g01_普通攻击01_kongshou	g01_连招1a	g01_连招1a	g01_连招1a	g01_连招1a	g01_连招1a	g01_连招1a	npc_attack	npc_attack	0	-1	连招1a	
166	g01_普通攻击01_kongshou	g01_连招1b	g01_连招1b	g01_连招1b	g01_连招1b	g01_连招1b	g01_连招1b	npc_attack	npc_attack	0	-1	连招1b	
167	g01_普通攻击01_kongshou	g01_连招1c	g01_连招1c	g01_连招1c	g01_连招1c	g01_连招1c	g01_连招1c	npc_attack	npc_attack	0	-1	连招1c	
168	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	轻功1a	npc_attack	npc_attack	0	-1	轻功1a	
169	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	g01轻功1b	npc_attack	npc_attack	0	-1	g01轻功1b	
170	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	轻功1c	npc_attack	npc_attack	0	-1	轻功1c	
171	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	打坐a	npc_attack	npc_attack	1	-1	打坐a	
172	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	打坐b	npc_attack	npc_attack	1	-1	打坐b	
173	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	打坐c	npc_attack	npc_attack	1	-1	打坐c	
174	g01_普通攻击01_kongshou	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	g01_攻击动作4_huoxingchongri	npc_attack	npc_attack	0	-1		
175	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	g01_抬头挺胸_qixingluochangkong	npc_attack	npc_attack	0	-1		
176	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	g01_抬头挺胸_shenxingbaibian	npc_attack	npc_attack	0	-1		
177	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	g01_抬头挺胸_zhiluweima	npc_attack	npc_attack	0	-1		
178	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	g01_抬头挺胸_toulianghuanzhu	npc_attack	npc_attack	0	-1		
179	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	g01_抬头挺胸_qiannuyuren	npc_attack	npc_attack	0	-1		
180	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	g01_抬头挺胸_nufachongguan	npc_attack	npc_attack	0	-1		
181	g01_普通攻击01_kongshou	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	g01_攻击动作2_leitingzhinu	npc_attack	npc_attack	0	-1		
182	g01_义愤填膺_yiwentianying	g01_义愤填膺_yiwentianying	g01_义愤填膺_yiwentianying	g01_义愤填膺_yiwentianying	g01_义愤填膺_yiwentianying	g01_义愤填膺_yiwentianying	g01_义愤填膺_yiwentianying	npc_attack	npc_attack	0	-1		
183	g01_普通攻击01_kongshou	g01_厚积薄发_houjibofa	g01_厚积薄发_houjibofa	g01_厚积薄发_houjibofa	g01_厚积薄发_houjibofa	g01_厚积薄发_houjibofa	g01_厚积薄发_houjibofa	npc_attack	npc_attack	0	-1		
184	g01_普通攻击01_kongshou	g01_攻击动作19_renguitongtu	g01_攻击动作19_renguitongtu	g01_攻击动作19_renguitongtu	g01_攻击动作19_renguitongtu	g01_攻击动作19_renguitongtu	g01_攻击动作19_renguitongtu	npc_attack	npc_attack	0	-1		
185	站立喝药	站立喝药	站立喝药	站立喝药	站立喝药	站立喝药	站立喝药	npc_attack	npc_attack	1	-1		
186	坐着喝药	坐着喝药	坐着喝药	坐着喝药	坐着喝药	坐着喝药	坐着喝药	npc_attack	npc_attack	1	-1		
187	通用发招动作	通用发招动作	通用发招动作	通用发招动作	通用发招动作	通用发招动作	通用发招动作	npc_attack	npc_attack	0	-1		
188	g01l_捉宠_zhuachong	g01l_捉宠_zhuachong	g01l_捉宠_zhuachong	g01l_捉宠_zhuachong	g01l_捉宠_zhuachong	g01l_捉宠_zhuachong	g01l_捉宠_zhuachong	npc_attack	npc_attack	1	-1		
189	g01_普通攻击01_kongshou	g01_厚积薄发_houjibofa_yanshi	g01_厚积薄发_houjibofa_yanshi	g01_厚积薄发_houjibofa_yanshi	g01_厚积薄发_houjibofa_yanshi	g01_厚积薄发_houjibofa_yanshi	g01_厚积薄发_houjibofa_yanshi	npc_attack	npc_attack	0	-1		
190	g01_普通攻击01_kongshou	g01_攻击动作19_renguitongtu_yanshi	g01_攻击动作19_renguitongtu_yanshi	g01_攻击动作19_renguitongtu_yanshi	g01_攻击动作19_renguitongtu_yanshi	g01_攻击动作19_renguitongtu_yanshi	g01_攻击动作19_renguitongtu_yanshi	npc_attack	npc_attack	0	-1		
191	g01_普通攻击01_kongshou	g01_攻击动作17_tianditongshou_yanshi	g01_攻击动作17_tianditongshou_yanshi	g01_攻击动作17_tianditongshou_yanshi	g01_攻击动作17_tianditongshou_yanshi	g01_攻击动作17_tianditongshou_yanshi	g01_攻击动作17_tianditongshou_yanshi	npc_attack	npc_attack	0	-1		
192	g01_yanhuo	g01_yanhuo	g01_yanhuo	g01_yanhuo	g01_yanhuo	g01_yanhuo	g01_yanhuo	npc_attack	npc_attack	0	-1	施放焰火	
193	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	guid_chongwu_buff	0	-1	宠物释放buff动作	
194	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	guid_chongwu_hanbingzhou	0	-1	宠物释放寒冰咒的动作	
195	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	guid_chongwu_gongji	0	-1	宠物攻击动作	
196	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	guid_chongwu_mengji	0	-1	宠物释放猛击的动作	
197	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	guid_chongwu_fushen	0	-1	宠物附身动作	
198	g01_攻击动作5	g01_攻击动作5	g01_攻击动作5	g01_攻击动作5	g01_攻击动作5	g01_攻击动作5	g01_攻击动作5	npc_attack	npc_attack	0	-1	鲲跃北溟	
