INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	
9	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	Õ¾Á¢2	0	-1	Õ¾Á¢2
10	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	0	-1	ÅÜ²½
11	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	ÅÜ²½	0	-1	ÅÜ²½
12	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	ÊÜ»÷	0	-1	ÊÜ»÷
13	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	µ¹µØ	0	-1	µ¹µØ
14	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	ËÀÍö	0	-1	ËÀÍö
15	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	0	-1	ÒþÉí
16	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	0	-1	ÒþÉíÅÜ²½
17	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	cw_shengji	0	-1	
18	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	Ô¶³Ì¹¥»÷
19	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	Ç¿»¯¼¼ÄÜ	0	-1	Ç¿»¯¼¼ÄÜ
20	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_±§±§
21	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_Ç×Ç×
22	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_ÃþÃþ
23	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_¶öÁË
24	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_Éú²¡
25	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_ÔàÁË
26	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_Ï´Ôè
27	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_Î¹Ë®
28	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹	0	-1	npc_Å®º¢¶ùÍ¯ÆÚ_³Ô·¹
29	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
30	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
31	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
32	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
33	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
34	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
35	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
36	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
37	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
38	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
39	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
40	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
41	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
42	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
43	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
44	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
45	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
46	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
47	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
48	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
49	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
50	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
51	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	ÒþÉí	0	-1	ÒþÉí
52	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
53	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	ÒþÉíÅÜ²½	0	-1	ÒþÉíÅÜ²½
54	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	×ÓÅ®¼¼ÄÜ_Éñ±ø	0	-1	×ÓÅ®¼¼ÄÜ_Éñ±ø
55	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	×ÓÅ®¼¼ÄÜ_½õ×°	0	-1	×ÓÅ®¼¼ÄÜ_½õ×°
56	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	×ÓÅ®¼¼ÄÜ_Çá¹¦	0	-1	×ÓÅ®¼¼ÄÜ_Çá¹¦
57	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	×ÓÅ®¼¼ÄÜ_ÃûÊÎ	0	-1	×ÓÅ®¼¼ÄÜ_ÃûÊÎ
58	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	×ÓÅ®¼¼ÄÜ_Ãû¾Ô	0	-1	×ÓÅ®¼¼ÄÜ_Ãû¾Ô
59	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	×ÓÅ®¼¼ÄÜ_Îä¾÷	0	-1	×ÓÅ®¼¼ÄÜ_Îä¾÷
60	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
61	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
62	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
63	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
64	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
65	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
66	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
67	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
68	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
69	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	Ô¶³Ì¹¥»÷	0	-1	
